trial,bits,batch,publish_group,output_group,data_space,weights,ctas,kernel_ms
3,64,1,1,4,"16,16,32","8,8,4",2,0.646697
3,64,1,2,1,"16,8,16","8,8,4",2,0.649851
3,64,1,2,2,"16,8,8","8,8,4",2,0.709181
3,64,1,2,4,"16,8,32","8,8,4",2,0.649134
3,64,1,4,1,"16,32,16","8,8,4",2,0.705966
3,64,1,4,2,"16,32,8","8,8,4",2,0.695644
3,64,1,4,4,"16,32,32","8,8,4",2,0.684319
3,64,4,1,1,"16,16,16","5,7,8",2,1.778995
3,64,4,1,2,"16,16,8","5,7,8",2,1.855570
3,64,4,1,4,"16,16,32","5,7,8",2,1.901588
3,64,4,2,1,"16,8,16","5,7,8",2,1.825423
3,64,4,2,2,"16,8,8","5,7,8",2,1.942938
3,64,4,2,4,"16,8,32","5,7,8",2,1.972736
3,64,4,4,1,"16,32,16","5,7,8",2,1.932677
3,64,4,4,2,"16,32,8","5,7,8",2,2.019553
3,64,4,4,4,"16,32,32","5,7,8",2,2.041672
