trial,variant,a_group,roles,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
1,grouped,32,5-16-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped+appt-online-register-tail-grouped+appt-online-register-tail-grouped","256+256+256","8+8+8","32+16+16","4+4+4","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.785088,0.214067,0.214481,0.000414,5,16,2,16,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw16-v1",0.708928,4671.430479,585.451581,4898349885.670459,fused,shoup,-1
1,grouped,32,6-14-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped+appt-online-register-tail-grouped+appt-online-register-tail-grouped","256+256+256","8+8+8","32+16+16","4+4+4","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.791136,0.203520,0.203964,0.000444,6,14,2,16,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw16-v1",0.711424,4913.521653,586.138973,5152200881.114852,fused,shoup,-1
1,grouped,32,6-16-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped+appt-online-register-tail-grouped+appt-online-register-tail-grouped","256+256+256","8+8+8","32+16+16","4+4+4","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.783680,0.221440,0.221920,0.000480,6,16,2,16,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw16-v1",0.718528,4515.895906,580.164861,4735260065.949212,fused,shoup,-1
1,grouped,32,7-13-3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped+appt-online-register-tail-grouped+appt-online-register-tail-grouped","256+256+256","8+8+8","32+16+16","4+4+4","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.794976,0.193382,0.193871,0.000488,7,13,3,16,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw16-v1",0.720480,5171.101476,585.192836,5422292900.866280,fused,shoup,-1
2,v06,0,9-11,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,3,20,0.788992,0.147456,0.147885,0.000429,0,0,0,0,0,natural,natural,"",0.743808,6781.683788,595.147419,7111110859.585038,fused,shoup,-1
2,radix4-matched,1,7-13-3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail+appt-online-register-tail+appt-online-register-tail","256+256+256","8+8+8","16+16+16","4+4+4","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.784096,0.212582,0.213003,0.000421,7,13,3,16,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw16-v1",0.707456,4704.058407,586.808180,4932562748.488434,fused,shoup,-1
2,grouped,8,4-16-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped+appt-online-register-tail-grouped+appt-online-register-tail-grouped","256+256+256","8+8+8","8+16+16","4+4+4","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.790976,0.233011,0.233448,0.000436,4,16,2,16,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw16-v1",0.716064,4291.639181,574.695745,4500109846.186097,fused,shoup,-1
2,grouped,8,5-15-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped+appt-online-register-tail-grouped+appt-online-register-tail-grouped","256+256+256","8+8+8","8+16+16","4+4+4","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.781408,0.224051,0.224480,0.000429,5,15,2,16,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw16-v1",0.722592,4463.265691,578.686557,4680073284.835195,fused,shoup,-1
2,grouped,8,5-16-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped+appt-online-register-tail-grouped+appt-online-register-tail-grouped","256+256+256","8+8+8","8+16+16","4+4+4","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.783680,0.222515,0.223058,0.000543,5,16,2,16,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw16-v1",0.708064,4494.075100,583.342343,4712379292.273582,fused,shoup,-1
2,grouped,8,6-14-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped+appt-online-register-tail-grouped+appt-online-register-tail-grouped","256+256+256","8+8+8","8+16+16","4+4+4","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.785312,0.214170,0.214556,0.000386,6,14,2,16,2,natural,natural,"appt-ntt-log20-7x7x6-xor-fw16-v1",0.722400,4669.196930,580.760025,4896007840.547461,fused,shoup,-1
