word_bits,batch,variant,a_group,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_radix4
32,1,grouped,8,4-16-2,0.233011,2,0.6337082798666157,0.9104591628721391
32,1,grouped,8,5-15-2,0.224384,2,0.6580727681118083,0.9454640259555048
32,1,grouped,8,5-16-2,0.2226175,2,0.6632946646153155,0.9529664109964401
32,1,grouped,8,6-14-2,0.21278750000000002,2,0.6939364389355577,0.9969899547670797
32,1,grouped,8,6-16-2,0.2306305,2,0.6402492298286653,0.9198566538250579
32,1,grouped,8,7-13-3,0.200832,2,0.7352463750796685,1.0563406230082855
32,1,grouped,16,4-16-2,0.2297855,2,0.6426036455738068,0.923239281851988
32,1,grouped,16,5-15-2,0.21672950000000002,2,0.6813147264216453,0.9788561317218006
32,1,grouped,16,5-16-2,0.217702,2,0.6782712147798365,0.9744834682272097
32,1,grouped,16,6-14-2,0.208333,2,0.7087739340382945,1.018307229291567
32,1,grouped,16,6-16-2,0.2246915,2,0.6571721671714328,0.9441701176947059
32,1,grouped,16,7-13-3,0.196659,2,0.7508479144102227,1.0787556125069282
32,1,grouped,32,4-16-2,0.2259715,2,0.653449660687299,0.9388219310842297
32,1,grouped,32,5-15-2,0.21514250000000001,2,0.6863404487723253,0.9860766701139941
32,1,grouped,32,5-16-2,0.2146815,2,0.687814273703137,0.9881941387590454
32,1,grouped,32,6-14-2,0.2035455,2,0.7254446794451364,1.042258364837346
32,1,grouped,32,6-16-2,0.2219265,2,0.6653599277238185,0.9559336086497107
32,1,grouped,32,7-13-3,0.19379200000000002,2,0.7619561178996036,1.0947149521136061
32,1,radix4-matched,1,7-13-3,0.212147,2,0.6960315253102801,1.0
32,1,v06,0,9-11,0.147661,2,1.0,1.4367165331400982
32,4,grouped,8,4-16-2,0.7305470000000001,2,0.47839700936421603,0.9604371792643046
32,4,grouped,8,5-15-2,0.7470595,2,0.4678228440974246,0.9392083227641173
32,4,grouped,8,5-16-2,0.7507710000000001,2,0.46551012226098226,0.9345652669056209
32,4,grouped,8,6-14-2,0.6741505000000001,2,0.5184176233645157,1.0407831782369068
32,4,grouped,8,6-16-2,0.690304,2,0.506286360791767,1.0164282692842572
32,4,grouped,8,7-13-3,0.7053055,2,0.495517899690276,0.9948093414839385
32,4,grouped,16,4-16-2,0.698931,2,0.5000371996663475,1.0038823574859321
32,4,grouped,16,5-15-2,0.7008509999999999,2,0.49866733442629035,1.0011321950029324
32,4,grouped,16,5-16-2,0.705587,2,0.4953202085639333,0.9944124537441875
32,4,grouped,16,6-14-2,0.6391294999999999,2,0.5468242351510922,1.097812728093446
32,4,grouped,16,6-16-2,0.6620415,2,0.5278996860468717,1.0598195128251024
32,4,grouped,16,7-13-3,0.6568959999999999,2,0.5320347513152767,1.068121133330086
32,4,grouped,32,4-16-2,0.6683905,2,0.5228851995951468,1.0497523528536088
32,4,grouped,32,5-15-2,0.677018,2,0.5162218729782664,1.0363749560572983
32,4,grouped,32,5-16-2,0.6857215,2,0.5096697420162558,1.0232207973645278
32,4,grouped,32,6-14-2,0.6042879999999999,2,0.578352540510485,1.161109437883923
32,4,grouped,32,6-16-2,0.6394880000000001,2,0.546517682896317,1.097197289081265
32,4,grouped,32,7-13-3,0.619597,2,0.5640626084374197,1.1324207509074449
32,4,radix4-matched,1,6-14-2,0.7016445,2,0.49810338426368334,1.0
32,4,v06,0,9-11,0.34949149999999995,2,1.0,2.007615349729536
32,16,grouped,8,4-16-2,2.5596414999999997,2,0.41739849115589045,1.2477645795319385
32,16,grouped,8,5-15-2,2.6384385000000004,2,0.4049328798075073,1.2105000741916099
32,16,grouped,8,5-16-2,2.5695745,2,0.41578498696963256,1.2429411951278315
32,16,grouped,8,6-14-2,2.4970239999999997,2,0.42786553112825515,1.2790545865798648
32,16,grouped,8,6-16-2,2.37568,2,0.4497198696794181,1.3443856074892242
32,16,grouped,8,7-13-3,2.8493820000000003,2,0.37495516571663606,1.1208851603610888
32,16,grouped,16,4-16-2,2.2677505,2,0.47112347676695476,1.4083692187478296
32,16,grouped,16,5-15-2,2.3310589999999998,2,0.45832838207870336,1.37011976101849
32,16,grouped,16,5-16-2,2.3175935,2,0.4609913257005597,1.3780803234044279
32,16,grouped,16,6-14-2,2.2129659999999998,2,0.48278667634297145,1.4432350067737147
32,16,grouped,16,6-16-2,2.1313535,2,0.5012732519499933,1.4984984893402247
32,16,grouped,16,7-13-3,2.4452865,2,0.4369183324735159,1.3061168905974823
32,16,grouped,32,4-16-2,2.168704,2,0.492640074440772,1.47269060231364
32,16,grouped,32,5-15-2,2.206157,2,0.48427673098514745,1.447689353024286
32,16,grouped,32,5-16-2,2.1937664999999997,2,0.4870119495397528,1.4558659729738788
32,16,grouped,32,6-14-2,2.0555009999999996,2,0.5197713355527437,1.5537963737307843
32,16,grouped,32,6-16-2,2.025088,2,0.5275773200967069,1.5771314629290183
32,16,grouped,32,7-13-3,2.2566655,2,0.47343768936955877,1.4152872900303568
32,16,radix4-matched,1,6-16-2,3.19383,2,0.3345170218828178,1.0
32,16,v06,0,9-11,1.0683905,2,1.0,2.9893844993941823
64,1,grouped,8,10-9-3,0.329651,2,0.655899724253832,0.9509208223242155
64,1,grouped,8,6-12-2,0.40721949999999996,2,0.5309618031553008,0.7697863191718471
64,1,grouped,8,7-11-2,0.40458249999999996,2,0.5344225219825376,0.7748036556203
64,1,grouped,8,8-10-2,0.359526,2,0.6013973954595773,0.871903561912073
64,1,grouped,8,9-11-2,0.36364799999999997,2,0.5945804734248504,0.8620204153467089
64,1,grouped,16,10-9-3,0.32432649999999996,2,0.6666676944375499,0.9665321828466068
64,1,grouped,16,6-12-2,0.4075265,2,0.5305618162254478,0.7692064197052215
64,1,grouped,16,7-11-2,0.398669,2,0.542349668522007,0.7862964012752434
64,1,grouped,16,8-10-2,0.3563775,2,0.6067105807745999,0.8796065969372364
64,1,grouped,16,9-11-2,0.360243,2,0.600200420271872,0.870168192025938
64,1,grouped,32,10-9-3,0.3158785,2,0.6844973621186626,0.9923815644306275
64,1,grouped,32,6-12-2,0.3940095,2,0.5487634181409331,0.7955950300690718
