variant,producer_dt,consumer_dt,producer_blocks,consumer_blocks,kernel_ms,trials,relative_range,throughput_vs_v06,throughput_vs_d7
d7,1,1,85,75,1.229551,2,0.05319014827363802,1.2065680886762729,1.0
lane32,1,1,86,74,1.173521,2,0.004391911180115313,1.264175928679589,1.0477452043891844
lane32,1,1,84,76,1.180604,2,0.0,1.2565915412788708,1.0414592869412607
lane32,1,1,85,75,1.193745,2,0.0033742549707013814,1.2427587131255,1.029994680605992
lane32,1,1,82,78,1.195008,2,0.0010861851970865644,1.2414452455548415,1.0289060826371037
lane32,1,1,80,80,1.196817,2,0.0004562100972829893,1.2395687895476084,1.027350881546636
lane32,1,1,88,72,1.205692,2,0.0004528519721454032,1.230444425276107,1.019788635903697
lane32,1,2,86,74,1.2158805,2,0.037813748966284054,1.220133886512696,1.0112432924123713
lane32,2,1,86,74,1.2300455000000001,2,0.0018592808152219978,1.2060830270099765,0.9995979823510593
lane32,2,1,82,78,1.2336985,2,0.006833922550768972,1.2025117968450152,0.9966381575401121
lane32,1,1,78,82,1.2357805,2,0.0023475042695689425,1.200485846798845,0.9949590562401657
lane32,1,2,88,72,1.239962,2,0.040851251893203336,1.1964374714709,0.9916037749543938
lane32,2,1,84,76,1.2411905,2,0.007754651683202533,1.1952532669239735,0.9906223097904794
lane32,1,2,82,78,1.2429825,2,0.043579857318988904,1.1935300778570896,0.9891941358788237
lane32,2,1,85,75,1.2482045,2,0.015395714404170183,1.1885368142800319,0.9850557340563987
lane32,1,2,84,76,1.2492969999999999,2,0.044508231429355866,1.187497448565073,0.9841943108804393
lane32,2,2,86,74,1.2507475000000001,2,0.002183494270426316,1.1861203000605638,0.9830529343452615
lane32,1,2,78,82,1.251857,2,0.005861691870556976,1.1850690614023807,0.9821816709096967
lane32,1,1,76,84,1.255612,2,0.0036157666540300574,1.1815250252466527,0.9792443844117451
lane32,2,2,82,78,1.2589394999999999,2,0.00542281817355015,1.1784021392608621,0.9766561459069322
lane32,1,2,76,84,1.2631725,2,0.0037833312552324316,1.1744532120514024,0.9733832869224116
lane32,1,1,90,70,1.265374,2,0.006393366704231439,1.1724098962046006,0.9716897928991746
lane32,1,2,85,75,1.2678145,2,0.050508177655327384,1.170153046837688,0.9698193229372278
lane32,2,2,84,76,1.2689235,2,0.005514122797788771,1.1691303691672508,0.9689717307623351
lane32,2,2,85,75,1.2747095000000002,2,0.0009107957538560491,1.1638236005929194,0.9645734969418521
lane32,2,1,88,72,1.277167,2,0.009461566106859937,1.1615841937663596,0.9627174833048459
lane32,2,1,80,80,1.277457,2,0.0019507505927792,1.161320498459048,0.9624989334278962
lane32,1,2,90,70,1.2778835,2,0.03824996566588417,1.1609329019429393,0.962177694602051
lane32,2,2,76,84,1.282884,2,0.009551915839623839,1.1564077500381953,0.9584272623245751
lane32,1,2,74,86,1.2832595,2,0.004654553502233964,1.1560693686662753,0.9581468128620907
lane32,2,2,88,72,1.284557,2,0.0018870318716880463,1.1549016509193444,0.9571790119083856
lane32,2,2,80,80,1.290189,2,0.001561011603726245,1.1498602142786833,0.9530006843958521
lane32,2,2,78,82,1.2937725,2,0.006094579997642491,1.1466753235209437,0.9503610565226885
lane32,1,2,72,88,1.3034325,2,0.0018589378429645126,1.138177082434265,0.9433177398906349
lane32,2,2,74,86,1.3044055,2,0.009943993643081132,1.1373280778101595,0.9426140874137682
lane32,2,1,90,70,1.3081260000000001,2,0.012890195592779236,1.1340933518636584,0.9399331562861681
lane32,1,1,74,86,1.311232,2,0.07533525722374067,1.1314069516302228,0.9377066758590396
lane32,1,2,80,80,1.3122729999999998,2,0.10958390517826708,1.13050942905935,0.936962811853936
lane32,2,2,90,70,1.316932,2,0.012129707532355455,1.1265099488811876,0.9336480547211246
lane32,2,1,78,82,1.3192705,2,0.004062093406924427,1.1245131305520741,0.9319930977005854
lane32,1,1,72,88,1.321728,2,0.07130211359674603,1.1224223138194849,0.9302602350861903
lane32,2,2,72,88,1.3352789999999999,2,0.003143912246054888,1.1110314773167258,0.920819544080301
lane32,2,1,76,84,1.3682345,2,0.10128453857873036,1.0842710076379452,0.8986405473623126
lane32,2,1,74,86,1.4023504999999998,2,0.06004704244766193,1.057893158664685,0.8767786655333315
lane32,2,1,72,88,1.4218410000000001,2,0.09513721998451302,1.0433916309910882,0.8647598430485546
v06,1,1,91,69,1.483537,4,0.11333724740265996,1.0,0.8287969898964435
