trial,variant,producer_dt,consumer_dt,producer_blocks,consumer_blocks,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
1,lane32,1,1,86,74,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+1","0+0","0+0","6+6","86+74","full-scratch","1",8,0,5,30,10.871392,1.170944,1.171152,0.000208,0,0,0,0,0,7,natural,natural,"",10.108800,13664.189180,722.310580,14327940833.866425,fused,shoup,-1
1,lane32,1,1,88,72,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+1","0+0","0+0","6+6","88+72","full-scratch","1",8,0,5,30,10.868704,1.205965,1.206188,0.000224,0,0,0,0,0,7,natural,natural,"",10.110560,13267.385541,721.200577,13911862061.468317,fused,shoup,-1
1,lane32,1,1,90,70,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+1","0+0","0+0","6+6","90+70","full-scratch","1",8,0,5,30,10.881312,1.269419,1.269667,0.000249,0,0,0,0,0,7,natural,natural,"",10.123872,12604.194182,718.306857,13216455518.454910,fused,shoup,-1
1,lane32,1,2,72,88,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+2","0+0","0+0","6+6","72+88","full-scratch","1",8,0,5,30,10.866592,1.302221,1.302462,0.000241,0,0,0,0,0,7,natural,natural,"",10.114464,12286.702637,718.027244,12883541504.284033,fused,shoup,-1
1,lane32,1,2,74,86,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+2","0+0","0+0","6+6","74+86","full-scratch","1",8,0,5,30,10.868256,1.286246,1.286483,0.000237,0,0,0,0,0,7,natural,natural,"",10.110432,12439.296051,718.618803,13043547296.059610,fused,shoup,-1
1,lane32,1,2,76,84,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+2","0+0","0+0","6+6","76+84","full-scratch","1",8,0,5,30,10.867648,1.265562,1.265772,0.000210,0,0,0,0,0,7,natural,natural,"",10.108384,12642.608819,719.372906,13256736184.483107,fused,shoup,-1
1,lane32,1,2,78,82,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+2","0+0","0+0","6+6","78+82","full-scratch","1",8,0,5,30,10.867968,1.248188,1.248405,0.000217,0,0,0,0,0,7,natural,natural,"",10.109184,12818.584072,719.899009,13441259611.505709,fused,shoup,-1
1,lane32,1,2,80,80,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+2","0+0","0+0","6+6","80+80","full-scratch","1",8,0,5,30,10.893632,1.384175,1.384396,0.000221,0,0,0,0,0,7,natural,natural,"",10.112320,11559.232510,714.600687,12120733788.171370,fused,shoup,-1
1,lane32,1,2,82,78,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+2","0+0","0+0","6+6","82+78","full-scratch","1",8,0,5,30,10.895168,1.270067,1.270339,0.000272,0,0,0,0,0,7,natural,natural,"",10.128480,12597.758458,717.691047,13209707173.215635,fused,shoup,-1
1,lane32,1,2,84,76,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io-10x10","experimental",0.000000,"all 32 lanes issue aligned stage-6 coefficient pairs from a prepacked side table",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,16,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io+homogeneous-warp128-vector-radix4-packed-stage6-distributed-static-io","256+256","8+8","4+4","1+2","0+0","0+0","6+6","84+76","full-scratch","1",8,0,5,30,10.886336,1.277099,1.277342,0.000243,0,0,0,0,0,7,natural,natural,"",10.128576,12528.396640,717.745910,13136976034.749294,fused,shoup,-1
