batch,comparison,base,candidate,base_time_us,candidate_time_us,ratio_time_us,delta_pct_time_us,base_dram_read_mib,candidate_dram_read_mib,ratio_dram_read_mib,delta_pct_dram_read_mib,base_dram_write_mib,candidate_dram_write_mib,ratio_dram_write_mib,delta_pct_dram_write_mib,base_global_load_sectors,candidate_global_load_sectors,ratio_global_load_sectors,delta_pct_global_load_sectors,base_global_store_sectors,candidate_global_store_sectors,ratio_global_store_sectors,delta_pct_global_store_sectors,base_shared_load_bank_conflicts,candidate_shared_load_bank_conflicts,ratio_shared_load_bank_conflicts,delta_pct_shared_load_bank_conflicts,base_shared_store_bank_conflicts,candidate_shared_store_bank_conflicts,ratio_shared_store_bank_conflicts,delta_pct_shared_store_bank_conflicts,base_warp_instructions,candidate_warp_instructions,ratio_warp_instructions,delta_pct_warp_instructions,base_integer_thread_instructions,candidate_integer_thread_instructions,ratio_integer_thread_instructions,delta_pct_integer_thread_instructions,base_adu_warp_instructions,candidate_adu_warp_instructions,ratio_adu_warp_instructions,delta_pct_adu_warp_instructions,base_cbu_warp_instructions,candidate_cbu_warp_instructions,ratio_cbu_warp_instructions,delta_pct_cbu_warp_instructions,base_lsu_warp_instructions,candidate_lsu_warp_instructions,ratio_lsu_warp_instructions,delta_pct_lsu_warp_instructions,base_active_warps_pct,candidate_active_warps_pct,ratio_active_warps_pct,delta_pct_active_warps_pct,base_barrier_stall_pct,candidate_barrier_stall_pct,ratio_barrier_stall_pct,delta_pct_barrier_stall_pct,base_long_scoreboard_stall_pct,candidate_long_scoreboard_stall_pct,ratio_long_scoreboard_stall_pct,delta_pct_long_scoreboard_stall_pct,base_mio_throttle_stall_pct,candidate_mio_throttle_stall_pct,ratio_mio_throttle_stall_pct,delta_pct_mio_throttle_stall_pct,base_registers_per_thread,candidate_registers_per_thread,ratio_registers_per_thread,delta_pct_registers_per_thread,base_shared_mem_bytes,candidate_shared_mem_bytes,ratio_shared_mem_bytes,delta_pct_shared_mem_bytes,base_waves_per_sm,candidate_waves_per_sm,ratio_waves_per_sm,delta_pct_waves_per_sm,base_occupancy_register_block_limit,candidate_occupancy_register_block_limit,ratio_occupancy_register_block_limit,delta_pct_occupancy_register_block_limit,base_occupancy_shared_block_limit,candidate_occupancy_shared_block_limit,ratio_occupancy_shared_block_limit,delta_pct_occupancy_shared_block_limit,base_occupancy_warp_block_limit,candidate_occupancy_warp_block_limit,ratio_occupancy_warp_block_limit,delta_pct_occupancy_warp_block_limit
1,boundary-lowering,m4_g4_generic,m4_g2_generic,1099.872,437.344,2.5148898807346165,-60.236827558115856,51.708038330078125,21.038177490234375,2.4578192837321704,-59.313526156344935,42.925445556640625,5.4561767578125,7.867312123856188,-87.28917851158235,13543162.0,4964508.0,2.727996812574378,-63.34306567402797,4187940.0,2062935.0,2.030088199579725,-50.74105646212696,72891.0,500032.0,0.14577267054908485,585.9996433030142,3964.0,2490368.0,0.0015917326274671052,62724.62159434914,100579886.0,20070799.0,5.0112547088932535,-80.0449177283816,907946931.0,336186496.0,2.700723978514592,-62.97289141891488,4757460.0,692789.0,6.867112497455936,-85.43783867862263,24937428.0,3042942.0,8.195170331869619,-87.79769108506298,11020303.0,2592245.0,4.251258272269789,-76.47755238671749,24.96,22.65,1.1019867549668876,-9.254807692307699,0.08,0.27,0.2962962962962963,237.5,26.98,45.78,0.5893403232852774,69.68124536693847,0.14,1.1,0.1272727272727273,685.7142857142857,72.0,72.0,1.0,0.0,1024.0,32768.0,0.03125,3100.0,0.67,0.67,1.0,0.0,3.0,3.0,1.0,0.0,8.0,3.0,2.6666666666666665,-62.5,8.0,8.0,1.0,0.0
1,physical-core,m4_g2_generic,m4_g2_dataflow,437.344,143.616,3.045231729055258,-67.16177654203555,21.038177490234375,13.550872802734375,1.5525330210456383,-35.589131667776364,5.4561767578125,6.188568115234375,0.8816541494277247,13.423160391077694,4964508.0,1881972.0,2.637928725825889,-62.09147009129605,2062935.0,524291.0,3.9347137372184533,-74.58519051739391,500032.0,741357.0,0.6744820646463175,48.2619112376808,2490368.0,1707621.0,1.4583845010104701,-31.430977269222858,20070799.0,13911946.0,1.4427024803000241,-30.685639370908945,336186496.0,267505394.0,1.2567466060142323,-20.429464840848333,692789.0,316105.0,2.1916420176839972,-54.37211041168379,3042942.0,1559229.0,1.9515683712911958,-48.75916136423237,2592245.0,1826346.0,1.419361391543552,-29.545779816336804,22.65,43.73,0.5179510633432426,93.06843267108167,0.27,4.94,0.05465587044534413,1729.6296296296298,45.78,21.53,2.126335346028797,-52.97072957623416,1.1,4.28,0.25700934579439255,289.09090909090907,72.0,40.0,1.8,-44.44444444444444,32768.0,16416.0,1.996101364522417,-49.90234375,0.67,0.8,0.8375,19.402985074626855,3.0,6.0,0.5,100.0,3.0,5.0,0.6,66.66666666666667,8.0,8.0,1.0,0.0
1,logical-equivalence,m2_g2_dataflow,m4_g2_dataflow,145.088,143.616,1.0102495543672012,-1.0145566828407504,13.542510986328125,13.550872802734375,0.999382931525668,0.06174494829422894,6.184967041015625,6.188568115234375,0.9994181086558803,0.058223013879765695,1878927.0,1881972.0,0.9983820163105509,0.16206058032057769,524291.0,524291.0,1.0,0.0,750635.0,741357.0,1.0125148882387298,-1.2360201695897466,1708217.0,1707621.0,1.0003490235831018,-0.034890180814262095,14091056.0,13911946.0,1.0128745468103455,-1.2710899736684045,267513872.0,267505394.0,1.0000316928188746,-0.003169181447160163,322764.0,316105.0,1.0210657851030511,-2.063117324112973,1582442.0,1559229.0,1.014887486058815,-1.4669100036525773,1833742.0,1826346.0,1.0040496160092338,-0.40332827627878043,43.41,43.73,0.9926823690830093,0.737157337019112,4.66,4.94,0.9433198380566801,6.008583690987135,21.49,21.53,0.9981421272642823,0.18613308515589289,4.09,4.28,0.9556074766355139,4.645476772616153,40.0,40.0,1.0,0.0,16416.0,16416.0,1.0,0.0,0.8,0.8,1.0,0.0,6.0,6.0,1.0,0.0,5.0,5.0,1.0,0.0,8.0,8.0,1.0,0.0
16,boundary-lowering,m4_g4_generic,m4_g2_generic,10964.128,4339.232,2.5267439030685614,-60.42337338637418,1637.3437805175781,861.0322265625,1.9016056890859332,-47.41286241730368,732.9240112304688,155.11676025390625,4.724982716443833,-78.8359014199182,199958616.0,78114831.0,2.559803477011939,-60.93450106696078,62963662.0,35244117.0,1.7865013329742379,-44.024670928447584,1342385.0,8318978.0,0.16136417237790507,519.7162512989939,84653.0,39845888.0,0.002124510313335218,46969.6703011116,1279112128.0,260740593.0,4.90568849783969,-79.61550146446584,13525297959.0,4561931778.0,2.964818111534679,-66.2711180794032,39215593.0,5784681.0,6.779214445878693,-85.24902836481397,270027326.0,29396587.0,9.185669275144084,-89.11347698195551,121439035.0,33546978.0,3.6199694351008307,-72.37545736426512,24.99,24.82,1.0068493150684932,-0.6802721088435271,0.01,0.02,0.5,100.0,39.43,46.41,0.8496013790131438,17.70225716459548,0.21,3.03,0.06930693069306931,1342.857142857143,72.0,72.0,1.0,0.0,1024.0,32768.0,0.03125,3100.0,0.67,0.67,1.0,0.0,3.0,3.0,1.0,0.0,8.0,3.0,2.6666666666666665,-62.5,8.0,8.0,1.0,0.0
16,physical-core,m4_g2_generic,m4_g2_dataflow,4339.232,1125.536,3.855258294714696,-74.06140072713328,861.0322265625,273.8901062011719,3.1437142381845407,-68.19049302084504,155.11676025390625,152.26947021484375,1.0186990211172675,-1.8355785889299425,78114831.0,29767771.0,2.624141088696228,-61.89229289889906,35244117.0,8388611.0,4.20142464586807,-76.19854967568062,8318978.0,12021718.0,0.6919957696562172,44.50955393799574,39845888.0,27298142.0,1.4596556791301034,-31.490692339445413,260740593.0,182931036.0,1.4253491299311287,-29.841750417434998,4561931778.0,4145741788.0,1.1003897520112509,-9.123108592002271,5784681.0,579723.0,9.978353455012135,-89.97830649607126,29396587.0,8847434.0,3.3226116182386893,-69.90319318361686,33546978.0,24210006.0,1.385665827592112,-27.8325278658483,24.82,49.48,0.5016168148746969,99.35535858178885,0.02,5.92,0.0033783783783783786,29500.0,46.41,42.98,1.0798045602605864,-7.390648567119151,3.03,6.16,0.49188311688311687,103.30033003300332,72.0,40.0,1.8,-44.44444444444444,32768.0,16416.0,1.996101364522417,-49.90234375,0.67,0.8,0.8375,19.402985074626855,3.0,6.0,0.5,100.0,3.0,5.0,0.6,66.66666666666667,8.0,8.0,1.0,0.0
16,logical-equivalence,m2_g2_dataflow,m4_g2_dataflow,1110.112,1125.536,0.9862963068262588,1.3894093568937116,265.7038879394531,273.8901062011719,0.9701113034886116,3.08095539180977,149.70538330078125,152.26947021484375,0.9831608600828208,1.7127553181643718,29810202.0,29767771.0,1.0014254006455505,-0.14233717705099957,8388611.0,8388611.0,1.0,0.0,11973032.0,12021718.0,0.9959501628635774,0.40663050094578157,27297480.0,27298142.0,0.9999757492652797,0.002425132283279119,182207204.0,182931036.0,0.9960431427283887,0.397257618859026,4145676654.0,4145741788.0,0.9999842889395117,0.0015711307329580038,645722.0,579723.0,1.1138457504704833,-10.220961961958864,9078307.0,8847434.0,1.0260949106825776,-2.543128360827629,24280539.0,24210006.0,1.0029133821776004,-0.2904919038247078,49.25,49.48,0.9953516572352467,0.46700507614212405,6.02,5.92,1.0168918918918919,-1.661129568106301,40.72,42.98,0.9474174034434621,5.550098231827105,6.26,6.16,1.0162337662337662,-1.5974440894568676,40.0,40.0,1.0,0.0,16416.0,16416.0,1.0,0.0,0.8,0.8,1.0,0.0,6.0,6.0,1.0,0.0,5.0,5.0,1.0,0.0,8.0,8.0,1.0,0.0
