label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,local_load_sectors,local_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,memory_thread_instructions,control_thread_instructions,misc_thread_instructions,conversion_thread_instructions,global_warp_instructions,shared_warp_instructions,adu_warp_instructions,alu_warp_instructions,cbu_warp_instructions,lsu_warp_instructions,xu_warp_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,short_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
b1_m4_g4_generic,0,void cuntt::<unnamed>::hierarchical_streaming_kernel<unsigned int>,160,256,1099.872,51.708038330078125,42.925445556640625,13543162.0,4187940.0,,,10.04,,,72891.0,3964.0,100579886.0,,907946931.0,,,,,,,4757460.0,,24937428.0,11020303.0,,,,,,24.96,0.08,,26.98,,0.14,72.0,1024.0,0.67,3.0,8.0,8.0
b1_m4_g2_generic,0,void cuntt::<unnamed>::hierarchical_streaming_kernel<unsigned int>,160,256,437.344,21.038177490234375,5.4561767578125,4964508.0,2062935.0,,,7.07,,,500032.0,2490368.0,20070799.0,,336186496.0,,,,,,,692789.0,,3042942.0,2592245.0,,,,,,22.65,0.27,,45.78,,1.1,72.0,32768.0,0.67,3.0,3.0,8.0
b1_m4_g2_dataflow,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,143.616,13.550872802734375,6.188568115234375,1881972.0,524291.0,,,16.04,,,741357.0,1707621.0,13911946.0,,267505394.0,,,,,,,316105.0,,1559229.0,1826346.0,,,,,,43.73,4.94,,21.53,,4.28,40.0,16416.0,0.8,6.0,5.0,8.0
b1_m2_g2_dataflow,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,145.088,13.542510986328125,6.184967041015625,1878927.0,524291.0,,,15.87,,,750635.0,1708217.0,14091056.0,,267513872.0,,,,,,,322764.0,,1582442.0,1833742.0,,,,,,43.41,4.66,,21.49,,4.09,40.0,16416.0,0.8,6.0,5.0,8.0
b16_m4_g4_generic,0,void cuntt::<unnamed>::hierarchical_streaming_kernel<unsigned int>,160,256,10964.128,1637.3437805175781,732.9240112304688,199958616.0,62963662.0,,,25.23,,,1342385.0,84653.0,1279112128.0,,13525297959.0,,,,,,,39215593.0,,270027326.0,121439035.0,,,,,,24.99,0.01,,39.43,,0.21,72.0,1024.0,0.67,3.0,8.0,8.0
b16_m4_g2_generic,0,void cuntt::<unnamed>::hierarchical_streaming_kernel<unsigned int>,160,256,4339.232,861.0322265625,155.11676025390625,78114831.0,35244117.0,,,27.33,,,8318978.0,39845888.0,260740593.0,,4561931778.0,,,,,,,5784681.0,,29396587.0,33546978.0,,,,,,24.82,0.02,,46.41,,3.03,72.0,32768.0,0.67,3.0,3.0,8.0
b16_m4_g2_dataflow,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,1125.536,273.8901062011719,152.26947021484375,29767771.0,8388611.0,,,44.19,,,12021718.0,27298142.0,182931036.0,,4145741788.0,,,,,,,579723.0,,8847434.0,24210006.0,,,,,,49.48,5.92,,42.98,,6.16,40.0,16416.0,0.8,6.0,5.0,8.0
b16_m2_g2_dataflow,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,1110.112,265.7038879394531,149.70538330078125,29810202.0,8388611.0,,,43.67,,,11973032.0,27297480.0,182207204.0,,4145676654.0,,,,,,,645722.0,,9078307.0,24280539.0,,,,,,49.25,6.02,,40.72,,6.26,40.0,16416.0,0.8,6.0,5.0,8.0
