label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,packet_readiness,packet_compute_layout,packet_fold_wave_barriers,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
m3_p6-6-8_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"6+6+8","radix4+radix4+radix4","256+256+256","1+1+1","0+0+0","0+0+0","0+0+0","0+0+0","0+0+0","6+6+8","full-scratch+full-scratch","1+1",8,per-packet,interleaved-rows,0,0,2,5,0.810976,0.573645,0.575447,0.001802,0,0,0,0,0,7,natural,natural,"",0.740544,1743.239152,470.551741,1827918736.656345,fused,shoup,-1
m4_p5-5-5-5_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"5+5+5+5","radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","5+5+5+5","full-scratch+full-scratch+full-scratch","1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.775712,1.108787,1.110555,0.001767,0,0,0,0,0,7,natural,natural,"",0.745184,901.886330,380.273944,945696360.731825,fused,shoup,-1
m5_p4-4-4-4-4_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"4+4+4+4+4","radix4+radix4+radix4+radix4+radix4","256+256+256+256+256","1+1+1+1+1","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","0+0+0+0+0","4+4+4+4+4","full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.780992,2.189107,2.190756,0.001649,0,0,0,0,0,7,natural,natural,"",0.736832,456.807236,269.764922,478997104.276828,fused,shoup,-1
m6_p3-3-3-3-4-4_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3+4+4","radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256","1+1+1+1+1+1","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","0+0+0+0+0+0","3+3+3+3+4+4","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.779904,4.889805,4.891417,0.001612,0,0,0,0,0,7,natural,natural,"",0.740416,204.507139,156.003202,214441278.188344,fused,shoup,-1
m7_p2-3-3-3-3-3-3_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+3+3+3+3+3+3","radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256","1+1+1+1+1+1+1","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","0+0+0+0+0+0+0","2+3+3+3+3+3+3","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.785888,8.332289,8.333830,0.001541,0,0,0,0,0,7,natural,natural,"",0.754720,120.015044,101.287396,125844894.777383,fused,shoup,-1
m8_p2-2-2-2-3-3-3-3_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"2+2+2+2+3+3+3+3","radix4+radix4+radix4+radix4+radix4+radix4+radix4+radix4","256+256+256+256+256+256+256+256","1+1+1+1+1+1+1+1","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","0+0+0+0+0+0+0+0","2+2+2+2+3+3+3+3","full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch+full-scratch","1+1+1+1+1+1+1",8,per-packet,interleaved-rows,0,0,2,5,0.778208,12.722177,12.723763,0.001586,0,0,0,0,0,7,natural,natural,"",0.757536,78.602902,70.136455,82421116.837126,fused,shoup,-1
m2_p10-10_b1_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","radix4+radix4","256+256","1+1","0+0","0+0","0+0","0+0","0+0","10+10","full-scratch","1",8,per-packet,interleaved-rows,0,0,2,5,0.774176,0.391987,0.393569,0.001582,0,0,0,0,0,7,natural,natural,"",0.740640,2551.103680,524.437973,2675026092.239982,fused,shoup,-1
