batch,segment_count,partition,trials,kernel_ms,min_kernel_ms,max_kernel_ms
1,2,10+10,1,0.391987,0.391987,0.391987
1,3,6+6+8,1,0.573645,0.573645,0.573645
1,4,5+5+5+5,1,1.108787,1.108787,1.108787
1,5,4+4+4+4+4,1,2.189107,2.189107,2.189107
1,6,3+3+3+3+4+4,1,4.889805,4.889805,4.889805
1,7,2+3+3+3+3+3+3,1,8.332289,8.332289,8.332289
1,8,2+2+2+2+3+3+3+3,1,12.722177,12.722177,12.722177
