variant,trial,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,logical_subgraphs,execution_stage_partition,execution_groups,materialized_boundaries,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,execution_group_cores,boundary_storage,boundary_buffers,ready_window,packet_readiness,packet_compute_layout,packet_fold_wave_barriers,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
v06_hybrid2d,3,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,1,998244353,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,10,50,0.011264,0.007127,0.007285,0.000158,0,0,0,0,0,7,natural,natural,"",0.024160,140310.702727,23501.188376,574712638.370144,fused,shoup,-1
v07_full,3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,12,4096,1,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"3+3+3+3",4,3,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.010240,0.036516,0.036677,0.000161,0,0,0,0,0,7,natural,natural,"",0.023936,27385.376223,14145.904479,112170501.008249,fused,shoup,-1
v06_hybrid2d,1,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,4,998244353,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,10,50,0.027648,0.007455,0.007620,0.000166,0,0,0,0,0,7,natural,natural,"",0.034624,536572.778750,57366.817591,2197802101.759210,fused,shoup,-1
v07_full,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,12,4096,4,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"3+3+3+3",4,3,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.027648,0.053596,0.053754,0.000158,0,0,0,0,0,7,natural,natural,"",0.031712,74632.215826,35411.969634,305693556.023243,fused,shoup,-1
v07_resident_generic,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m4-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,12,4096,4,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"6+6",2,1,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","radix4+radix4","resident-fused+full-scratch+resident-fused","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.027648,0.021750,0.021934,0.000185,0,0,0,0,0,7,natural,natural,"",0.033760,183910.067250,48101.343168,753295635.453986,fused,shoup,-1
v07_resident_core,1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m4-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,12,4096,4,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"6+6",2,1,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","dataflow-radix4+dataflow-radix4","resident-fused+full-scratch+resident-fused","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.025600,0.031621,0.031766,0.000145,0,0,0,0,0,7,natural,natural,"",0.032864,126497.729680,44402.449165,518134700.768476,fused,shoup,-1
v07_full,2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,12,4096,4,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"3+3+3+3",4,3,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","radix4+radix4+radix4+radix4","full-scratch+full-scratch+full-scratch","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.024576,0.053740,0.053897,0.000158,0,0,0,0,0,7,natural,natural,"",0.030656,74433.120249,36706.838834,304878060.540184,fused,shoup,-1
v07_resident_generic,2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m4-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,12,4096,4,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"6+6",2,1,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","radix4+radix4","resident-fused+full-scratch+resident-fused","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.025600,0.021770,0.022178,0.000408,0,0,0,0,0,7,natural,natural,"",0.031072,183737.074394,50992.935543,752587056.718249,fused,shoup,-1
v07_resident_core,2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-warp-radix4-resident-fused-m4-g2","experimental",0.000000,"warp-parallel subgraphs with dependency-wave readiness; logical subgraphs are lowered into resident physical execution groups",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,12,4096,4,998244353,30,0,0,0,dataflow-radix4,"3+3+3+3",4,"6+6",2,1,"radix4+radix4+radix4+radix4","256+256+256+256","1+1+1+1","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","0+0+0+0","3+3+3+3","dataflow-radix4+dataflow-radix4","resident-fused+full-scratch+resident-fused","1+1+1",8,per-packet,interleaved-rows,0,0,10,50,0.027648,0.031601,0.031748,0.000148,0,0,0,0,0,7,natural,natural,"",0.030848,126579.717949,44396.772439,518470524.720574,fused,shoup,-1
v06_hybrid2d,2,"Tesla V100-SXM2-16GB",7.0,0,"","","",0.000000,"",hybrid2d,0,named-barrier,0,0,0,0,0,0,0,hermes-xor,inplace,radix4,32,12,4096,4,998244353,30,6,4,256,dataflow-radix4,"",0,"",0,0,"","","","","","","","","","","","",0,per-packet,interleaved-rows,0,0,10,50,0.030720,0.007496,0.007664,0.000168,0,0,0,0,0,7,natural,natural,"",0.042208,533640.718029,49736.594910,2185792381.045484,fused,shoup,-1
