word_bits,batch,variant,fragment_width,writer_tiles,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_grouped
32,4,writer-final,16,2,6-11-5,0.577843,1,0.6081876911202524,1.0407584759181994
32,4,writer-final,16,2,6-12-4,0.513946,1,0.6838014110431835,1.170152117148494
32,4,writer-final,16,2,6-13-3,0.534528,1,0.6574716385296935,1.1250954112787357
32,4,writer-final,16,2,6-14-2,0.581427,1,0.6044387343553017,1.0343430903621607
32,4,writer-final,16,2,7-11-5,0.569037,1,0.6175995585524315,1.056864492115627
32,4,writer-final,16,2,7-12-4,0.582758,1,0.6030582162750232,1.031980684949842
32,4,writer-final,16,2,7-13-3,0.53248,1,0.6600003756009616,1.1294227013221154
32,4,writer-final,32,1,6-10-6,0.585626,1,0.6001048450717694,1.0269267416405692
32,4,writer-final,32,1,6-11-5,0.60672,1,0.579240835970464,0.9912232990506329
32,4,writer-final,32,1,6-12-4,0.611942,1,0.5742978909765958,0.982764706459109
32,4,writer-final,32,1,6-13-3,0.70144,1,0.5010221829379562,0.8573719776459855
32,4,writer-final,32,1,6-14-2,0.859238,1,0.409010076369993,0.6999166703521027
32,4,writer-final,32,1,7-11-5,0.601498,1,0.5842696068814859,0.9998287608603853
32,4,writer-final,32,1,7-12-4,0.671334,1,0.5234905427104839,0.8958208581719384
32,4,writer-final,32,1,7-13-3,0.710554,1,0.49459576612052003,0.8463748005077728
32,4,writer-final,32,2,6-10-6,0.6016,1,0.5841705452127659,0.9996592420212765
32,4,writer-final,32,2,6-11-5,0.62249,1,0.5645664990602258,0.9661119054121352
32,4,writer-final,32,2,6-12-4,0.602214,1,0.5835749417980983,0.9986400183323536
32,4,writer-final,32,2,6-13-3,0.699699,1,0.5022688327409358,0.8595053015653875
32,4,writer-final,32,2,6-14-2,0.858726,1,0.4092539413037453,0.7003339831331531
32,4,writer-final,32,2,7-11-5,0.625459,1,0.5618865505173001,0.9615258554117856
32,4,writer-final,32,2,7-12-4,0.671437,1,0.5234102380416927,0.8956834371653634
32,4,writer-final,32,2,7-13-3,0.692224,1,0.5076925966161243,0.8687866933247043
32,16,grouped,32,2,6-16-2,2.164838,1,0.5055108049655448,1.0
32,16,v06,0,0,9-11,1.094349,1,1.0,1.9781970833801648
32,16,writer-final,8,1,6-10-6,2.125721,1,0.5148130916521971,1.0184017563923018
32,16,writer-final,8,1,6-11-5,2.058752,1,0.5315594107498135,1.05152927598856
32,16,writer-final,8,1,6-12-4,1.93065,1,0.566829306192215,1.1213000802838422
32,16,writer-final,8,1,6-13-3,1.953382,1,0.5602329703048354,1.108251227870432
32,16,writer-final,8,1,6-14-2,2.124493,1,0.5151106640501992,1.0189904132421241
32,16,writer-final,8,1,7-11-5,2.083533,1,0.5252371812685472,1.039022660068259
32,16,writer-final,8,1,7-12-4,2.042163,1,0.5358774005796795,1.0600711108760663
32,16,writer-final,8,1,7-13-3,2.019226,1,0.5419645943544704,1.0721127798473276
32,16,writer-final,8,2,6-10-6,2.112921,1,0.5179318109858343,1.0245711978819843
