case,backend,word_bits,logN,batch,stage_space,role_stages,target_ctas_per_sm,data_space,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,kernel_ms,kernel_ntt_s,correct
w32_n12_b160_ur1,hybrid-dataflow,32,12,160,6,1,1,32,4,1,2,hermes-xor,inplace,0.090542,1767134.171229,1
w32_n12_b256_td12_ti1,hybrid-dataflow,32,12,256,6,6,1,32,12,1,2,hermes-xor,inplace,0.179886,1423122.957269,1
w32_n12_b256_ti1,hybrid-dataflow,32,12,256,6,6,1,32,8,1,2,hermes-xor,inplace,0.230661,1109853.258193,1
w32_n12_b256_ti2,hybrid-dataflow,32,12,256,6,6,1,32,12,2,2,hermes-xor,inplace,0.191795,1334757.073451,1
w32_n12_b256_ur1,hybrid-dataflow,32,12,256,6,1,1,32,4,1,2,hermes-xor,inplace,0.194319,1317418.862637,1
w32_n12_b512_td12_ti1,hybrid-dataflow,32,12,512,6,6,1,32,12,1,2,hermes-xor,inplace,0.314865,1626095.605306,1
w32_n12_b512_ti1,hybrid-dataflow,32,12,512,6,6,1,32,8,1,2,hermes-xor,inplace,0.446408,1146933.683763,1
w32_n12_b512_ti2,hybrid-dataflow,32,12,512,6,6,1,32,12,2,2,hermes-xor,inplace,0.337608,1516553.170070,1
w32_n12_b512_ur1,hybrid-dataflow,32,12,512,6,1,1,32,4,1,2,hermes-xor,inplace,0.285445,1793689.774711,1
w64_n10_b1_td10_ti1,hybrid-dataflow,64,10,1,5,5,1,16,10,1,2,hermes-xor,inplace,0.032758,30527.118693,1
w64_n10_b1_ti1,hybrid-dataflow,64,10,1,5,5,1,16,4,1,2,hermes-xor,inplace,0.044114,22668.580237,1
w64_n10_b1_ti2,hybrid-dataflow,64,10,1,5,5,1,16,10,2,2,hermes-xor,inplace,0.034714,28807.153533,1
w64_n10_b1_ur1,hybrid-dataflow,64,10,1,5,1,1,16,4,1,2,hermes-xor,inplace,0.044268,22589.925820,1
w64_n10_b16_td10_ti1,hybrid-dataflow,64,10,16,5,5,1,16,10,1,2,hermes-xor,inplace,0.032968,485323.819784,1
w64_n10_b16_ti1,hybrid-dataflow,64,10,16,5,5,1,16,4,1,2,hermes-xor,inplace,0.044631,358494.912213,1
w64_n10_b16_ti2,hybrid-dataflow,64,10,16,5,5,1,16,10,2,2,hermes-xor,inplace,0.035067,456270.984748,1
w64_n10_b16_ur1,hybrid-dataflow,64,10,16,5,1,1,16,4,1,2,hermes-xor,inplace,0.044401,360355.167415,1
w64_n10_b80_td10_ti1,hybrid-dataflow,64,10,80,5,5,1,16,10,1,2,hermes-xor,inplace,0.033147,2413500.113174,1
w64_n10_b80_ti1,hybrid-dataflow,64,10,80,5,5,1,16,4,1,2,hermes-xor,inplace,0.044826,1784694.367827,1
w64_n10_b80_ti2,hybrid-dataflow,64,10,80,5,5,1,16,10,2,2,hermes-xor,inplace,0.035246,2269756.089466,1
w64_n10_b80_ur1,hybrid-dataflow,64,10,80,5,1,1,16,4,1,2,hermes-xor,inplace,0.044652,1791652.353223,1
w64_n10_b160_td10_ti1,hybrid-dataflow,64,10,160,5,5,1,16,10,1,2,hermes-xor,inplace,0.036060,4437029.900850,1
