configuration,label,time_us,dram_read_mib,dram_write_mib,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,fp32_thread_instructions,dram_peak_pct,l2_hit_pct,l1_hit_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,kernel_count,shared_bank_conflicts,time_us_vs_pre_vector,dram_read_mib_vs_pre_vector,dram_write_mib_vs_pre_vector,warp_instructions_vs_pre_vector,shared_bank_conflicts_vs_pre_vector,cuda_event_ms,cuda_event_ms_vs_pre_vector
pre-vector fixed,fft20_online_b16,917.6,274.488037109375,256.626708984375,5085525.0,14680064.0,138739712.0,1572864000.0,67.55001987794246,66.82936878814299,6.65994106364429,48.59744481255449,11.92259912816042,32.78359511769835,2,19765589.0,1.0,1.0,1.0,1.0,1.0,0.926618,1.0
post-vector fixed,post_vector_fixed_b16,832.3520000000001,268.849365234375,256.66021728515625,5193417.0,14680064.0,111607808.0,1572864000.0,73.67827649840451,66.19297374187843,6.675425781400176,48.21416516089346,13.33954980585137,27.862626581061857,2,19873481.0,0.9070967741935485,0.9794574949991239,1.000130572148604,0.8044402456306093,1.0054585775308795,0.829174,0.8948390814769408
post-vector selected,post_vector_selected_b16,855.552,263.101806640625,259.73687744140625,5061796.0,13049427.0,94928896.0,1459617792.0,71.31516943447038,72.15325291741472,4.225166068222621,36.177709829443444,10.578160906642728,25.90875561041293,2,18111223.0,0.9323801220575414,0.9585182997821762,1.0121194261865416,0.6842229570146434,0.9163006981476747,0.764334,0.8248641835146737
cuFFT,post_vector_cufft_b16,773.568,256.01446533203125,257.27374267578125,0.0,2097152.0,69468160.0,1608515584.0,77.44232026143791,62.2724183006536,1.6847058823529413,24.105032679738564,4.7003594771241834,21.34699346405229,2,2097152.0,0.8430340017436792,0.9326980804996517,1.0025213030006384,0.5007085498346717,0.10610116399769316,0.729416,0.7871809095010025
