word_bits,batch,variant,data_time,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_writer_final
32,1,data-time,1,6-11-5,0.219853,2,0.6762927956407236,0.7933164432598144
32,1,data-time,1,6-12-4,0.1776895,2,0.8367686329242865,0.9815605311512497
32,1,data-time,1,7-11-4,0.22553600000000001,2,0.6592517380817253,0.7733266529511917
32,1,data-time,2,6-11-5,0.31045100000000003,2,0.47893226306244785,0.5618052446279767
32,1,data-time,2,6-12-4,0.26475550000000003,2,0.5615936212845436,0.6587700727652493
32,1,data-time,2,7-11-4,0.3618305,2,0.4109244521951577,0.482029569093816
32,1,data-time,4,6-11-5,0.465203,2,0.3196131581266673,0.3749180465302244
32,1,data-time,4,6-12-4,0.3173375,2,0.46853901603182735,0.5496135817544412
32,1,data-time,4,7-11-4,0.6121725,2,0.24288088733159363,0.28490825706806494
32,1,data-time,8,6-11-5,0.7725310000000001,2,0.1924647684041158,0.22576828632119614
32,1,data-time,8,6-12-4,0.424397,2,0.3503441353261215,0.4109666185199235
32,1,data-time,8,7-11-4,0.9153534999999999,2,0.16243451300508494,0.19054168690019757
32,1,v06,0,9-11,0.148685,2,1.0,1.17303695732589
32,1,writer-final,1,6-12-4,0.17441299999999998,2,0.8524880599496598,1.0
32,4,data-time,1,6-11-5,0.5945345,2,0.5869356614292359,0.8546762214808391
32,4,data-time,1,6-12-4,0.5145345,2,0.6781926187651168,0.9875615726447885
32,4,data-time,1,7-11-4,0.5810945000000001,2,0.6005107602980237,0.8744438297041185
32,4,data-time,2,6-11-5,0.635648,2,0.5489728591925092,0.7993960493858235
32,4,data-time,2,6-12-4,0.5874945,2,0.5939689648158408,0.8649178843376405
32,4,data-time,2,7-11-4,0.6394365,2,0.5457203334498423,0.794659829396664
32,4,data-time,4,6-11-5,0.7431935000000001,2,0.46953249725677093,0.6837176320837035
32,4,data-time,4,6-12-4,0.693811,2,0.5029518125253132,0.7323817293182149
32,4,data-time,4,7-11-4,0.74688,2,0.46721494751499576,0.6803428931019708
32,4,data-time,8,6-11-5,1.032858,2,0.3378523475637503,0.49196937042652517
32,4,data-time,8,6-12-4,0.766413,2,0.4553073864874422,0.6630034981139411
32,4,data-time,8,7-11-4,1.0422785,2,0.3347987126281507,0.48752276862661936
32,4,v06,0,9-11,0.3489535,2,1.0,1.4561667958624858
32,4,writer-final,1,6-12-4,0.5081344999999999,2,0.6867345161566476,1.0
32,16,data-time,1,6-11-5,1.9168,2,0.5584907136894826,0.9412886060100167
32,16,data-time,1,6-12-4,1.8115325,2,0.5909444075665218,0.9959865473018011
32,16,data-time,1,7-11-4,1.899853,2,0.5634725423493292,0.9496850545805386
32,16,data-time,2,6-11-5,1.9378175,2,0.552433343181182,0.9310794231138898
32,16,data-time,2,6-12-4,1.7978115,2,0.595454529020423,1.0035879734888782
32,16,data-time,2,7-11-4,1.9360255,2,0.5529446797059233,0.9319412373442396
32,16,data-time,4,6-11-5,1.9523329999999999,2,0.5483260283978195,0.9241568933168677
32,16,data-time,4,6-12-4,1.8495485,2,0.5787980147587372,0.9755148351070545
32,16,data-time,4,7-11-4,1.942042,2,0.551231641746162,0.9290540575332562
32,16,data-time,8,6-11-5,2.0619775000000002,2,0.5191690985958867,0.8750153675294711
32,16,data-time,8,6-12-4,1.986304,2,0.5389482173927053,0.9083513903209176
32,16,data-time,8,7-11-4,2.0013055,2,0.5349083385819907,0.9015425181212964
32,16,v06,0,9-11,1.070515,2,1.0,1.685414963825822
32,16,writer-final,1,6-12-4,1.804262,2,0.5933256921666588,1.0
64,1,data-time,1,8-7-5,0.343245,2,0.5938236536584656,0.8343515564684115
64,1,data-time,1,8-8-4,0.289792,2,0.7033562003091873,0.9882501932420493
64,1,data-time,1,9-8-3,0.3112705,2,0.6548227345668799,0.9200582772861544
64,1,data-time,2,8-7-5,0.5340925000000001,2,0.3816323951375464,0.5362123602185013
64,1,data-time,2,8-8-4,0.5136125,2,0.3968497651439558,0.5575935165129352
64,1,data-time,2,9-8-3,0.5314814999999999,2,0.3835072340241382,0.5388466014339163
64,1,data-time,4,8-7-5,0.9654525,2,0.2111206921106942,0.2966349975788554
64,1,data-time,4,8-8-4,0.9620225,2,0.21187342291890263,0.2976926215343196
64,1,data-time,4,9-8-3,0.910848,2,0.2237771834598089,0.3144179929033164
64,1,data-time,8,8-7-5,1.7933055,2,0.11365994249167251,0.15969783174144056
64,1,data-time,8,8-8-4,1.7191934999999998,2,0.11855966184143904,0.16658217937655068
64,1,data-time,8,9-8-3,1.7349635,2,0.11748201042846146,0.16506802592677017
64,1,v06,0,9-11,0.203827,2,1.0,1.4050493801115649
64,1,writer-final,1,8-8-4,0.28638699999999995,2,0.7117187581838563,1.0
64,4,data-time,1,8-7-5,1.0818815000000002,2,0.5542700378923199,0.8553275012096979
64,4,data-time,1,8-8-4,0.931891,2,0.6434813728214994,0.9929948888872195
64,4,data-time,1,9-8-3,0.9681150000000001,2,0.6194042030130718,0.9558399570298982
64,4,data-time,2,8-7-5,1.0854655,2,0.5524399439687396,0.8525033729768472
64,4,data-time,2,8-8-4,0.9991680000000001,2,0.6001538279848834,0.9261335431078657
64,4,data-time,2,9-8-3,1.0460669999999999,2,0.5732467423214765,0.8846115975362955
64,4,data-time,4,8-7-5,1.2380925,2,0.48433739805386106,0.7474102298495467
64,4,data-time,4,8-8-4,1.1922175,2,0.5029740798134569,0.7761696167016505
64,4,data-time,4,9-8-3,1.225344,2,0.4893764526532957,0.7551862987046902
64,4,data-time,8,8-7-5,2.068915,2,0.28984008526208177,0.44726970416861006
64,4,data-time,8,8-8-4,2.1673985,2,0.2766701647159025,0.42694640602547246
64,4,data-time,8,9-8-3,2.0758525,2,0.2888714395651907,0.44577492861366597
