case,word_bits,logN,batch,role_stages,data_time,full_replica_rounds,tail_replicas,tokens_per_replica,kernel_ms,token_count,packet_count,serial_slots_per_packet,serial_token_slots,token_capacity_utilization,adjacent_speedup,regret,correct
w32_n10_b16_td1,32,10,16,5,1,0,1,0.2,0.10112,32,32,1,32,0.2,,4.681264756261284,1
w32_n10_b16_td2,32,10,16,5,2,0,2,0.4,0.044805,32,16,1,16,0.4,2.2568909719897334,2.0742095273366976,1
w32_n10_b16_td3,32,10,16,5,3,0,3,0.6,0.031913,32,11,1,11,0.5818181818181818,1.4039733024159433,1.4773853062358224,1
w32_n10_b16_td4,32,10,16,5,4,0,4,0.8,0.025441,32,8,1,8,0.8,1.254392516017452,1.1777695477061247,1
w32_n10_b16_td5,32,10,16,5,5,1,0,1.0,0.024387,32,7,1,7,0.9142857142857143,1.0432197482265142,1.1289755103930375,1
w32_n10_b16_td6,32,10,16,5,6,1,1,1.2,0.03029,32,6,2,12,0.5333333333333333,0.8051172003961703,1.4022498958381557,1
w32_n10_b16_td7,32,10,16,5,7,1,2,1.4,0.025498,32,5,2,10,0.64,1.1879363087300965,1.1804083144298876,1
w32_n10_b16_td8,32,10,16,5,8,1,3,1.6,0.022461,32,4,2,8,0.8,1.1352121454966386,1.0398129716216842,1
w32_n10_b16_td9,32,10,16,5,9,1,4,1.8,0.02177,32,4,2,8,0.8,1.0317409278824068,1.0078237118651916,1
w32_n10_b16_td10,32,10,16,5,10,2,0,2.0,0.021601,32,4,2,8,0.8,1.0078237118651916,1.0,1
w32_n10_b16_td11,32,10,16,5,11,2,1,2.2,0.02345,32,3,3,9,0.7111111111111111,0.9211513859275053,1.085597888986621,1
w32_n10_b16_td12,32,10,16,5,12,2,2,2.4,0.022625,32,3,3,9,0.7111111111111111,1.03646408839779,1.0474052127216333,1
w32_n10_b16_td13,32,10,16,5,13,2,3,2.6,0.022579,32,3,3,9,0.7111111111111111,1.0020372912883653,1.0452756816814037,1
w32_n10_b16_td14,32,10,16,5,14,2,4,2.8,0.022098,32,3,3,9,0.7111111111111111,1.0217666757172594,1.0230081940650897,1
w32_n10_b16_td15,32,10,16,5,15,3,0,3.0,0.021852,32,3,3,9,0.7111111111111111,1.0112575507962658,1.011619832415166,1
w32_n10_b16_td16,32,10,16,5,16,3,1,3.2,0.022006,32,2,4,8,0.8,0.9930019085703898,1.0187491319846305,1
w32_n10_b80_td1,32,10,80,5,1,0,1,0.2,0.091914,32,32,1,32,0.2,,4.456868544828589,1
w32_n10_b80_td2,32,10,80,5,2,0,2,0.4,0.042486,32,16,1,16,0.4,2.1633950007061147,2.060127042622315,1
w32_n10_b80_td3,32,10,80,5,3,0,3,0.6,0.03049,32,11,1,11,0.5818181818181818,1.3934404722859954,1.4784463948019202,1
w32_n10_b80_td4,32,10,80,5,4,0,4,0.8,0.024381,32,8,1,8,0.8,1.2505639637422583,1.1822237307860157,1
w32_n10_b80_td5,32,10,80,5,5,1,0,1.0,0.023383,32,7,1,7,0.9142857142857143,1.0426805799084804,1.1338311593851527,1
w32_n10_b80_td6,32,10,80,5,6,1,1,1.2,0.028677,32,6,2,12,0.5333333333333333,0.8153921260940824,1.3905348397420356,1
w32_n10_b80_td7,32,10,80,5,7,1,2,1.4,0.024351,32,5,2,10,0.64,1.1776518418134778,1.1807690442709597,1
w32_n10_b80_td8,32,10,80,5,8,1,3,1.6,0.021499,32,4,2,8,0.8,1.1326573328992047,1.0424768462396354,1
w32_n10_b80_td9,32,10,80,5,9,1,4,1.8,0.020813,32,4,2,8,0.8,1.032960169125066,1.0092130145953548,1
w32_n10_b80_td10,32,10,80,5,10,2,0,2.0,0.020623,32,4,2,8,0.8,1.0092130145953548,1.0,1
w32_n10_b80_td11,32,10,80,5,11,2,1,2.2,0.022252,32,3,3,9,0.7111111111111111,0.9267930972496853,1.0789894777675413,1
