case,word_bits,logN,batch,role_stages,data_time,full_replica_rounds,tail_replicas,tokens_per_replica,kernel_ms,token_count,packet_count,serial_slots_per_packet,serial_token_slots,token_capacity_utilization,adjacent_speedup,regret,correct
w32_n12_b512_td12,32,12,512,6,12,2,0,2.0,0.297764,64,6,2,12,0.8888888888888888,1.0382584865866928,1.3261539557835853,1
w32_n12_b512_td13,32,12,512,6,13,2,1,2.1666666666666665,0.351703,64,5,3,15,0.7111111111111111,0.8466348026601991,1.5663825200862236,1
w32_n12_b512_td14,32,12,512,6,14,2,2,2.3333333333333335,0.349548,64,5,3,15,0.7111111111111111,1.0061651046494329,1.5567847790070013,1
w32_n12_b512_td15,32,12,512,6,15,2,3,2.5,0.334075,64,5,3,15,0.7111111111111111,1.0463159470178853,1.4878725526873675,1
w32_n12_b512_td16,32,12,512,6,16,2,4,2.6666666666666665,0.307031,64,4,3,12,0.8888888888888888,1.0880823109067164,1.3674264692783211,1
w64_n10_b1_td1,64,10,1,5,1,0,1,0.2,0.119583,32,32,1,32,0.2,,4.092505133470226,1
w64_n10_b1_td2,64,10,1,5,2,0,2,0.4,0.069842,32,16,1,16,0.4,1.712193236161622,2.390212183436003,1
w64_n10_b1_td3,64,10,1,5,3,0,3,0.6,0.048727,32,11,1,11,0.5818181818181818,1.4333326492499026,1.6675906913073237,1
w64_n10_b1_td4,64,10,1,5,4,0,4,0.8,0.041533,32,8,1,8,0.8,1.1732116630149518,1.4213894592744696,1
w64_n10_b1_td5,64,10,1,5,5,1,0,1.0,0.02922,32,7,1,7,0.9142857142857143,1.4213894592744696,1.0,1
w64_n10_b1_td6,64,10,1,5,6,1,1,1.2,0.042158,32,6,2,12,0.5333333333333333,0.6931068836282556,1.4427789185489392,1
w64_n10_b1_td7,64,10,1,5,7,1,2,1.4,0.035661,32,5,2,10,0.64,1.182187824233757,1.2204312114989733,1
w64_n10_b1_td8,64,10,1,5,8,1,3,1.6,0.03351,32,4,2,8,0.8,1.064189794091316,1.1468172484599588,1
w64_n10_b1_td9,64,10,1,5,9,1,4,1.8,0.031427,32,4,2,8,0.8,1.0662805867566105,1.0755304585900067,1
w64_n10_b1_td10,64,10,1,5,10,2,0,2.0,0.030853,32,4,2,8,0.8,1.018604349658056,1.055886379192334,1
w64_n10_b1_td11,64,10,1,5,11,2,1,2.2,0.033761,32,3,3,9,0.7111111111111111,0.9138651106306093,1.155407255304586,1
w64_n10_b1_td12,64,10,1,5,12,2,2,2.4,0.032553,32,3,3,9,0.7111111111111111,1.0371087150185851,1.1140657084188912,1
w64_n10_b1_td13,64,10,1,5,13,2,3,2.6,0.031283,32,3,3,9,0.7111111111111111,1.0405971294313205,1.070602327173169,1
w64_n10_b1_td14,64,10,1,5,14,2,4,2.8,0.030684,32,3,3,9,0.7111111111111111,1.019521574762091,1.0501026694045175,1
w64_n10_b1_td15,64,10,1,5,15,3,0,3.0,0.030833,32,3,3,9,0.7111111111111111,0.99516751532449,1.055201916495551,1
w64_n10_b1_td16,64,10,1,5,16,3,1,3.2,0.031667,32,2,4,8,0.8,0.9736634351217355,1.0837440109514032,1
w64_n10_b16_td1,64,10,16,5,1,0,1,0.2,0.120074,32,32,1,32,0.2,,4.080679694137638,1
w64_n10_b16_td2,64,10,16,5,2,0,2,0.4,0.070303,32,16,1,16,0.4,1.707949874116325,2.389226847918437,1
w64_n10_b16_td3,64,10,16,5,3,0,3,0.6,0.04906,32,11,1,11,0.5818181818181818,1.433000407664085,1.6672897196261682,1
w64_n10_b16_td4,64,10,16,5,4,0,4,0.8,0.042076,32,8,1,8,0.8,1.1659853598250784,1.4299405267629568,1
w64_n10_b16_td5,64,10,16,5,5,1,0,1.0,0.029425,32,7,1,7,0.9142857142857143,1.4299405267629568,1.0,1
w64_n10_b16_td6,64,10,16,5,6,1,1,1.2,0.042399,32,6,2,12,0.5333333333333333,0.6940022170334206,1.4409175870858113,1
w64_n10_b16_td7,64,10,16,5,7,1,2,1.4,0.035963,32,5,2,10,0.64,1.1789617106470538,1.2221920135938829,1
w64_n10_b16_td8,64,10,16,5,8,1,3,1.6,0.033905,32,4,2,8,0.8,1.060699011945141,1.152251486830926,1
w64_n10_b16_td9,64,10,16,5,9,1,4,1.8,0.031672,32,4,2,8,0.8,1.0705039151300833,1.0763636363636364,1
w64_n10_b16_td10,64,10,16,5,10,2,0,2.0,0.031053,32,4,2,8,0.8,1.0199336618040125,1.0553271028037383,1
w64_n10_b16_td11,64,10,16,5,11,2,1,2.2,0.034038,32,3,3,9,0.7111111111111111,0.9123038956460428,1.1567714528462192,1
w64_n10_b16_td12,64,10,16,5,12,2,2,2.4,0.032937,32,3,3,9,0.7111111111111111,1.0334274524091447,1.119354290569244,1
w64_n10_b16_td13,64,10,16,5,13,2,3,2.6,0.03157,32,3,3,9,0.7111111111111111,1.0433006018371873,1.0728971962616822,1
w64_n10_b16_td14,64,10,16,5,14,2,4,2.8,0.031068,32,3,3,9,0.7111111111111111,1.0161581048023691,1.0558368734069667,1
w64_n10_b16_td15,64,10,16,5,15,3,0,3.0,0.03094,32,3,3,9,0.7111111111111111,1.004137039431157,1.0514868309260832,1
w64_n10_b16_td16,64,10,16,5,16,3,1,3.2,0.03199,32,2,4,8,0.8,0.9671772428884027,1.0871707731520814,1
w64_n10_b80_td1,64,10,80,5,1,0,1,0.2,0.120371,32,32,1,32,0.2,,4.050713420379593,1
w64_n10_b80_td2,64,10,80,5,2,0,2,0.4,0.070467,32,16,1,16,0.4,1.7081896490555863,2.371348768340288,1
w64_n10_b80_td3,64,10,80,5,3,0,3,0.6,0.049213,32,11,1,11,0.5818181818181818,1.431877755877512,1.6561111858931217,1
w64_n10_b80_td4,64,10,80,5,4,0,4,0.8,0.04223,32,8,1,8,0.8,1.165356381719157,1.4211199353883428,1
w64_n10_b80_td5,64,10,80,5,5,1,0,1.0,0.029716,32,7,1,7,0.9142857142857143,1.4211199353883428,1.0,1
w64_n10_b80_td6,64,10,80,5,6,1,1,1.2,0.042563,32,6,2,12,0.5333333333333333,0.6981650729506849,1.4323260196527123,1
w64_n10_b80_td7,64,10,80,5,7,1,2,1.4,0.036188,32,5,2,10,0.64,1.1761633690726208,1.2177951272041998,1
w64_n10_b80_td8,64,10,80,5,8,1,3,1.6,0.034048,32,4,2,8,0.8,1.0628524436090225,1.1457800511508953,1
w64_n10_b80_td9,64,10,80,5,9,1,4,1.8,0.031918,32,4,2,8,0.8,1.0667335046055517,1.0741014941445686,1
w64_n10_b80_td10,64,10,80,5,10,2,0,2.0,0.031237,32,4,2,8,0.8,1.0218010692448058,1.051184547045363,1
w64_n10_b80_td11,64,10,80,5,11,2,1,2.2,0.034222,32,3,3,9,0.7111111111111111,0.9127754076325171,1.1516354825683135,1
w64_n10_b80_td12,64,10,80,5,12,2,2,2.4,0.033178,32,3,3,9,0.7111111111111111,1.0314666345168486,1.116502894063804,1
w64_n10_b80_td13,64,10,80,5,13,2,3,2.6,0.035994,32,3,3,9,0.7111111111111111,0.921764738567539,1.2112666576928255,1
w64_n10_b80_td14,64,10,80,5,14,2,4,2.8,0.03542,32,3,3,9,0.7111111111111111,1.0162055335968379,1.1919504643962848,1
w64_n10_b80_td15,64,10,80,5,15,3,0,3.0,0.035236,32,3,3,9,0.7111111111111111,1.0052219321148823,1.1857585139318887,1
w64_n10_b80_td16,64,10,80,5,16,3,1,3.2,0.036485,32,2,4,8,0.8,0.9657667534603264,1.227789742899448,1
w64_n10_b160_td1,64,10,160,5,1,0,1,0.2,0.138803,32,32,1,32,0.2,,4.16438150670547,1
w64_n10_b160_td2,64,10,160,5,2,0,2,0.4,0.072791,32,16,1,16,0.4,1.9068703548515615,2.183882871801026,1
w64_n10_b160_td3,64,10,160,5,3,0,3,0.6,0.051538,32,11,1,11,0.5818181818181818,1.4123753347044898,1.5462482373766164,1
w64_n10_b160_td4,64,10,160,5,4,0,4,0.8,0.045051,32,8,1,8,0.8,1.1439923642094516,1.3516246137229606,1
w64_n10_b160_td5,64,10,160,5,5,1,0,1.0,0.033331,32,7,1,7,0.9142857142857143,1.3516246137229606,1.0,1
w64_n10_b160_td6,64,10,160,5,6,1,1,1.2,0.045153,32,6,2,12,0.5333333333333333,0.7381790800168316,1.3546848279379555,1
w64_n10_b160_td7,64,10,160,5,7,1,2,1.4,0.038666,32,5,2,10,0.64,1.167770133967827,1.1600612042843,1
w64_n10_b160_td8,64,10,160,5,8,1,3,1.6,0.036413,32,4,2,8,0.8,1.0618735067146348,1.0924664726530857,1
w64_n10_b160_td9,64,10,160,5,9,1,4,1.8,0.034458,32,4,2,8,0.8,1.0567357362586336,1.0338123668656807,1
w64_n10_b160_td10,64,10,160,5,10,2,0,2.0,0.033976,32,4,2,8,0.8,1.0141864845773487,1.0193513545948216,1
w64_n10_b160_td11,64,10,160,5,11,2,1,2.2,0.036639,32,3,3,9,0.7111111111111111,0.9273178853134638,1.09924694728631,1
w64_n10_b160_td12,64,10,160,5,12,2,2,2.4,0.035656,32,3,3,9,0.7111111111111111,1.0275689925959164,1.0697548828417989,1
w64_n10_b160_td13,64,10,160,5,13,2,3,2.6,0.034396,32,3,3,9,0.7111111111111111,1.0366321665309919,1.031952236656566,1
w64_n10_b160_td14,64,10,160,5,14,2,4,2.8,0.033874,32,3,3,9,0.7111111111111111,1.0154100490051368,1.0162911403798267,1
w64_n10_b160_td15,64,10,160,5,15,3,0,3.0,0.03392,32,3,3,9,0.7111111111111111,0.9986438679245284,1.017671236986589,1
w64_n10_b160_td16,64,10,160,5,16,3,1,3.2,0.034703,32,2,4,8,0.8,0.9774371091836441,1.041162881401698,1
w64_n10_b256_td1,64,10,256,5,1,0,1,0.2,0.126771,32,32,1,32,0.2,,3.1405390675320812,1
w64_n10_b256_td2,64,10,256,5,2,0,2,0.4,0.07746,32,16,1,16,0.4,1.6365995352439968,1.9189416835951048,1
w64_n10_b256_td3,64,10,256,5,3,0,3,0.6,0.057303,32,11,1,11,0.5818181818181818,1.3517616878697452,1.4195857900213051,1
w64_n10_b256_td4,64,10,256,5,4,0,4,0.8,0.050012,32,8,1,8,0.8,1.1457850115972166,1.2389634841202992,1
w64_n10_b256_td5,64,10,256,5,5,1,0,1.0,0.045558,32,7,1,7,0.9142857142857143,1.097765485754423,1.1286230986473766,1
w64_n10_b256_td6,64,10,256,5,6,1,1,1.2,0.051092,32,6,2,12,0.5333333333333333,0.8916855867846238,1.265718674131695,1
w64_n10_b256_td7,64,10,256,5,7,1,2,1.4,0.045123,32,5,2,10,0.64,1.1322828712629922,1.1178467026705645,1
w64_n10_b256_td8,64,10,256,5,8,1,3,1.6,0.042127,32,4,2,8,0.8,1.0711182851852732,1.0436258237130258,1
w64_n10_b256_td9,64,10,256,5,9,1,4,1.8,0.040366,32,4,2,8,0.8,1.0436258237130258,1.0,1
w64_n10_b256_td10,64,10,256,5,10,2,0,2.0,0.040387,32,4,2,8,0.8,0.999480030702949,1.000520239805777,1
w64_n10_b256_td11,64,10,256,5,11,2,1,2.2,0.042788,32,3,3,9,0.7111111111111111,0.9438861362998971,1.0600009909329633,1
w64_n10_b256_td12,64,10,256,5,12,2,2,2.4,0.0429,32,3,3,9,0.7111111111111111,0.9973892773892774,1.0627756032304414,1
w64_n10_b256_td13,64,10,256,5,13,2,3,2.6,0.043489,32,3,3,9,0.7111111111111111,0.9864563452827152,1.077367091116286,1
w64_n10_b256_td14,64,10,256,5,14,2,4,2.8,0.042834,32,3,3,9,0.7111111111111111,1.0152915907923612,1.0611405638408562,1
w64_n10_b256_td15,64,10,256,5,15,3,0,3.0,0.04224,32,3,3,9,0.7111111111111111,1.0140624999999999,1.0464252093345885,1
w64_n10_b256_td16,64,10,256,5,16,3,1,3.2,0.041267,32,2,4,8,0.8,1.023578161727288,1.0223207650002477,1
w64_n10_b512_td1,64,10,512,5,1,0,1,0.2,0.255084,32,32,1,32,0.2,,3.1064239176764294,1
w64_n10_b512_td2,64,10,512,5,2,0,2,0.4,0.155131,32,16,1,16,0.4,1.6443135156738498,1.8891919868477136,1
w64_n10_b512_td3,64,10,512,5,3,0,3,0.6,0.11712,32,11,1,11,0.5818181818181818,1.3245474726775954,1.4262923948121538,1
w64_n10_b512_td4,64,10,512,5,4,0,4,0.8,0.101381,32,8,1,8,0.8,1.155246052021582,1.2346221762162821,1
w64_n10_b512_td5,64,10,512,5,5,1,0,1.0,0.082115,32,7,1,7,0.9142857142857143,1.2346221762162821,1.0,1
w64_n10_b512_td6,64,10,512,5,6,1,1,1.2,0.105917,32,6,2,12,0.5333333333333333,0.7752768677360574,1.2898617792120808,1
w64_n10_b512_td7,64,10,512,5,7,1,2,1.4,0.096579,32,5,2,10,0.64,1.0966876857287815,1.1761432137855448,1
w64_n10_b512_td8,64,10,512,5,8,1,3,1.6,0.08832,32,4,2,8,0.8,1.0935122282608696,1.0755647567435913,1
w64_n10_b512_td9,64,10,512,5,9,1,4,1.8,0.085571,32,4,2,8,0.8,1.0321253695761414,1.0420873165682274,1
w64_n10_b512_td10,64,10,512,5,10,2,0,2.0,0.08556,32,4,2,8,0.8,1.000128564749883,1.0419533580953542,1
w64_n10_b512_td11,64,10,512,5,11,2,1,2.2,0.091924,32,3,3,9,0.7111111111111111,0.9307688960445585,1.1194544236741157,1
w64_n10_b512_td12,64,10,512,5,12,2,2,2.4,0.092503,32,3,3,9,0.7111111111111111,0.9937407435434527,1.1265055105644524,1
w64_n10_b512_td13,64,10,512,5,13,2,3,2.6,0.091254,32,3,3,9,0.7111111111111111,1.0136870712516712,1.1112951348718263,1
w64_n10_b512_td14,64,10,512,5,14,2,4,2.8,0.089564,32,3,3,9,0.7111111111111111,1.018869188513242,1.0907142422212752,1
w64_n10_b512_td15,64,10,512,5,15,3,0,3.0,0.089226,32,3,3,9,0.7111111111111111,1.0037881335036873,1.086598063691165,1
w64_n10_b512_td16,64,10,512,5,16,3,1,3.2,0.089667,32,2,4,8,0.8,0.9950818026698786,1.0919685806490897,1
w64_n12_b1_td1,64,12,1,6,1,0,1,0.16666666666666666,0.510684,64,64,1,64,0.16666666666666666,,5.285216041397154,1
w64_n12_b1_td2,64,12,1,6,2,0,2,0.3333333333333333,0.273659,64,32,1,32,0.3333333333333333,1.8661326687592956,2.832175937904269,1
w64_n12_b1_td3,64,12,1,6,3,0,3,0.5,0.185938,64,22,1,22,0.48484848484848486,1.4717755380825865,1.924326002587322,1
w64_n12_b1_td4,64,12,1,6,4,0,4,0.6666666666666666,0.15127,64,16,1,16,0.6666666666666666,1.2291796126132082,1.5655368693402327,1
w64_n12_b1_td5,64,12,1,6,5,0,5,0.8333333333333334,0.116116,64,13,1,13,0.8205128205128205,1.302748975162768,1.2017179818887451,1
w64_n12_b1_td6,64,12,1,6,6,1,0,1.0,0.106214,64,11,1,11,0.9696969696969697,1.0932268815786996,1.0992393272962484,1
w64_n12_b1_td7,64,12,1,6,7,1,1,1.1666666666666667,0.154414,64,10,2,20,0.5333333333333333,0.6878521377595296,1.5980750323415265,1
w64_n12_b1_td8,64,12,1,6,8,1,2,1.3333333333333333,0.127355,64,8,2,16,0.6666666666666666,1.2124690824859645,1.3180336351875808,1
w64_n12_b1_td9,64,12,1,6,9,1,3,1.5,0.122173,64,8,2,16,0.6666666666666666,1.042415263601614,1.2644036222509702,1
w64_n12_b1_td10,64,12,1,6,10,1,4,1.6666666666666667,0.109092,64,7,2,14,0.7619047619047619,1.119907967586991,1.1290245795601552,1
w64_n12_b1_td11,64,12,1,6,11,1,5,1.8333333333333333,0.101161,64,6,2,12,0.8888888888888888,1.078399778570793,1.0469443725743854,1
w64_n12_b1_td12,64,12,1,6,12,2,0,2.0,0.096625,64,6,2,12,0.8888888888888888,1.0469443725743854,1.0,1
w64_n12_b1_td13,64,12,1,6,13,2,1,2.1666666666666665,0.114237,64,5,3,15,0.7111111111111111,0.8458292847326173,1.1822716688227684,1
w64_n12_b1_td14,64,12,1,6,14,2,2,2.3333333333333335,0.113224,64,5,3,15,0.7111111111111111,1.0089468663887515,1.1717878395860284,1
w64_n12_b1_td15,64,12,1,6,15,2,3,2.5,0.106563,64,5,3,15,0.7111111111111111,1.062507624597656,1.1028512289780077,1
w64_n12_b1_td16,64,12,1,6,16,2,4,2.6666666666666665,0.096783,64,4,3,12,0.8888888888888888,1.101050804376802,1.0016351875808538,1
w64_n12_b16_td1,64,12,16,6,1,0,1,0.16666666666666666,0.510351,64,64,1,64,0.16666666666666666,,5.253930016368634,1
w64_n12_b16_td2,64,12,16,6,2,0,2,0.3333333333333333,0.274289,64,32,1,32,0.3333333333333333,1.860632398674391,2.8237334898133564,1
w64_n12_b16_td3,64,12,16,6,3,0,3,0.5,0.18623,64,22,1,22,0.48484848484848486,1.4728507759222467,1.9171891246383974,1
w64_n12_b16_td4,64,12,16,6,4,0,4,0.6666666666666666,0.151788,64,16,1,16,0.6666666666666666,1.226908583023691,1.5626177460699837,1
w64_n12_b16_td5,64,12,16,6,5,0,5,0.8333333333333334,0.116434,64,13,1,13,0.8205128205128205,1.3036398302901215,1.198657566117957,1
w64_n12_b16_td6,64,12,16,6,6,1,0,1.0,0.106593,64,11,1,11,0.9696969696969697,1.0923231356655692,1.0973470459248278,1
w64_n12_b16_td7,64,12,16,6,7,1,1,1.1666666666666667,0.154988,64,10,2,20,0.5333333333333333,0.6877500193563373,1.5955609088195022,1
w64_n12_b16_td8,64,12,16,6,8,1,2,1.3333333333333333,0.127749,64,8,2,16,0.6666666666666666,1.2132228040923998,1.3151425306525835,1
w64_n12_b16_td9,64,12,16,6,9,1,3,1.5,0.122547,64,8,2,16,0.6666666666666666,1.0424490195598424,1.2615893017078972,1
w64_n12_b16_td10,64,12,16,6,10,1,4,1.6666666666666667,0.10985,64,7,2,14,0.7619047619047619,1.1155848884842967,1.1308770087608224,1
w64_n12_b16_td11,64,12,16,6,11,1,5,1.8333333333333333,0.10153,64,6,2,12,0.8888888888888888,1.0819462227912933,1.0452247856120735,1
w64_n12_b16_td12,64,12,16,6,12,2,0,2.0,0.097137,64,6,2,12,0.8888888888888888,1.0452247856120735,1.0,1
w64_n12_b16_td13,64,12,16,6,13,2,1,2.1666666666666665,0.114627,64,5,3,15,0.7111111111111111,0.8474181475568583,1.1800549739028383,1
w64_n12_b16_td14,64,12,16,6,14,2,2,2.3333333333333335,0.113894,64,5,3,15,0.7111111111111111,1.0064358087344374,1.1725089306855265,1
w64_n12_b16_td15,64,12,16,6,15,2,3,2.5,0.107131,64,5,3,15,0.7111111111111111,1.0631283195340284,1.1028856151620907,1
w64_n12_b16_td16,64,12,16,6,16,2,4,2.6666666666666665,0.098084,64,4,3,12,0.8888888888888888,1.0922372660168835,1.0097491172261857,1
w64_n12_b80_td1,64,12,80,6,1,0,1,0.16666666666666666,0.510776,64,64,1,64,0.16666666666666666,,4.980313770610088,1
w64_n12_b80_td2,64,12,80,6,2,0,2,0.3333333333333333,0.275686,64,32,1,32,0.3333333333333333,1.852745514824837,2.6880722315935217,1
w64_n12_b80_td3,64,12,80,6,3,0,3,0.5,0.186962,64,22,1,22,0.48484848484848486,1.4745563269541404,1.82297019276709,1
w64_n12_b80_td4,64,12,80,6,4,0,4,0.6666666666666666,0.152643,64,16,1,16,0.6666666666666666,1.224831797068978,1.4883432950789302,1
w64_n12_b80_td5,64,12,80,6,5,0,5,0.8333333333333334,0.117192,64,13,1,13,0.8205128205128205,1.3025035838623797,1.1426788482727017,1
w64_n12_b80_td6,64,12,80,6,6,1,0,1.0,0.108375,64,11,1,11,0.9696969696969697,1.081356401384083,1.0567088212638578,1
w64_n12_b80_td7,64,12,80,6,7,1,1,1.1666666666666667,0.1555,64,10,2,20,0.5333333333333333,0.6969453376205788,1.516200430971441,1
w64_n12_b80_td8,64,12,80,6,8,1,2,1.3333333333333333,0.128829,64,8,2,16,0.6666666666666666,1.2070263682866436,1.2561452432258504,1
w64_n12_b80_td9,64,12,80,6,9,1,3,1.5,0.123136,64,8,2,16,0.6666666666666666,1.046233432952183,1.2006357316276484,1
w64_n12_b80_td10,64,12,80,6,10,1,4,1.6666666666666667,0.111841,64,7,2,14,0.7619047619047619,1.1009915862697937,1.0905040025741282,1
w64_n12_b80_td11,64,12,80,6,11,1,5,1.8333333333333333,0.102559,64,6,2,12,0.8888888888888888,1.0905040025741282,1.0,1
w64_n12_b80_td12,64,12,80,6,12,2,0,2.0,0.114719,64,6,2,12,0.8888888888888888,0.8940018654276972,1.1185658986534581,1
w64_n12_b80_td13,64,12,80,6,13,2,1,2.1666666666666665,0.131067,64,5,3,15,0.7111111111111111,0.8752699001274158,1.2779668288497352,1
w64_n12_b80_td14,64,12,80,6,14,2,2,2.3333333333333335,0.134835,64,5,3,15,0.7111111111111111,0.9720547335632438,1.3147066566561687,1
w64_n12_b80_td15,64,12,80,6,15,2,3,2.5,0.128435,64,5,3,15,0.7111111111111111,1.049830653638027,1.252303552101717,1
w64_n12_b80_td16,64,12,80,6,16,2,4,2.6666666666666665,0.114657,64,4,3,12,0.8888888888888888,1.120167107110774,1.1179613685780867,1
w64_n12_b160_td1,64,12,160,6,1,0,1,0.16666666666666666,0.57068,64,64,1,64,0.16666666666666666,,4.170661833489242,1
w64_n12_b160_td2,64,12,160,6,2,0,2,0.3333333333333333,0.294426,64,32,1,32,0.3333333333333333,1.938279907345139,2.151733512628625,1
w64_n12_b160_td3,64,12,160,6,3,0,3,0.5,0.208947,64,22,1,22,0.48484848484848486,1.409094172206349,1.5270331501403178,1
w64_n12_b160_td4,64,12,160,6,4,0,4,0.6666666666666666,0.182584,64,16,1,16,0.6666666666666666,1.144388336327389,1.3343662301216088,1
w64_n12_b160_td5,64,12,160,6,5,0,5,0.8333333333333334,0.150943,64,13,1,13,0.8205128205128205,1.2096221752582101,1.1031264616463985,1
w64_n12_b160_td6,64,12,160,6,6,1,0,1.0,0.149023,64,11,1,11,0.9696969696969697,1.0128839172476731,1.0890946562207668,1
w64_n12_b160_td7,64,12,160,6,7,1,1,1.1666666666666667,0.189348,64,10,2,20,0.5333333333333333,0.7870323425650125,1.3837991113189896,1
w64_n12_b160_td8,64,12,160,6,8,1,2,1.3333333333333333,0.164316,64,8,2,16,0.6666666666666666,1.1523406119915285,1.2008594480823198,1
w64_n12_b160_td9,64,12,160,6,9,1,3,1.5,0.160108,64,8,2,16,0.6666666666666666,1.0262822594748544,1.170106407857811,1
w64_n12_b160_td10,64,12,160,6,10,1,4,1.6666666666666667,0.152479,64,7,2,14,0.7619047619047619,1.050033119314791,1.1143519059869036,1
w64_n12_b160_td11,64,12,160,6,11,1,5,1.8333333333333333,0.142746,64,6,2,12,0.8888888888888888,1.0681840471887127,1.0432208840037418,1
w64_n12_b160_td12,64,12,160,6,12,2,0,2.0,0.136832,64,6,2,12,0.8888888888888888,1.0432208840037418,1.0,1
w64_n12_b160_td13,64,12,160,6,13,2,1,2.1666666666666665,0.159227,64,5,3,15,0.7111111111111111,0.8593517431088948,1.163667855472404,1
w64_n12_b160_td14,64,12,160,6,14,2,2,2.3333333333333335,0.165688,64,5,3,15,0.7111111111111111,0.9610050214861668,1.2108863423760523,1
w64_n12_b160_td15,64,12,160,6,15,2,3,2.5,0.162949,64,5,3,15,0.7111111111111111,1.0168089402205598,1.19086909494855,1
w64_n12_b160_td16,64,12,160,6,16,2,4,2.6666666666666665,0.148367,64,4,3,12,0.8888888888888888,1.0982833109788566,1.0843004560336762,1
w64_n12_b256_td1,64,12,256,6,1,0,1,0.16666666666666666,1.051044,64,64,1,64,0.16666666666666666,,4.090349747233973,1
w64_n12_b256_td2,64,12,256,6,2,0,2,0.3333333333333333,0.56725,64,32,1,32,0.3333333333333333,1.8528761568973116,2.2075678031732937,1
w64_n12_b256_td3,64,12,256,6,3,0,3,0.5,0.401239,64,22,1,22,0.48484848484848486,1.4137459220065847,1.5615025082017615,1
w64_n12_b256_td4,64,12,256,6,4,0,4,0.6666666666666666,0.348887,64,16,1,16,0.6666666666666666,1.1500543155806895,1.3577641395252902,1
w64_n12_b256_td5,64,12,256,6,5,0,5,0.8333333333333334,0.287452,64,13,1,13,0.8205128205128205,1.2137226389101485,1.1186774440859755,1
w64_n12_b256_td6,64,12,256,6,6,1,0,1.0,0.356332,64,11,1,11,0.9696969696969697,0.8066971251529472,1.3867378588635453,1
w64_n12_b256_td7,64,12,256,6,7,1,1,1.1666666666666667,0.361298,64,10,2,20,0.5333333333333333,0.9862551135074094,1.4060640496269805,1
w64_n12_b256_td8,64,12,256,6,8,1,2,1.3333333333333333,0.310605,64,8,2,16,0.6666666666666666,1.163207289000499,1.2087820141113106,1
w64_n12_b256_td9,64,12,256,6,9,1,3,1.5,0.300795,64,8,2,16,0.6666666666666666,1.0326135740288238,1.1706044201948185,1
w64_n12_b256_td10,64,12,256,6,10,1,4,1.6666666666666667,0.282148,64,7,2,14,0.7619047619047619,1.066089428243333,1.0980358581396887,1
w64_n12_b256_td11,64,12,256,6,11,1,5,1.8333333333333333,0.263306,64,6,2,12,0.8888888888888888,1.0715593264110959,1.0247084142482983,1
w64_n12_b256_td12,64,12,256,6,12,2,0,2.0,0.256957,64,6,2,12,0.8888888888888888,1.0247084142482983,1.0,1
w64_n12_b256_td13,64,12,256,6,13,2,1,2.1666666666666665,0.294154,64,5,3,15,0.7111111111111111,0.8735458297354446,1.1447596290429918,1
w64_n12_b256_td14,64,12,256,6,14,2,2,2.3333333333333335,0.299894,64,5,3,15,0.7111111111111111,0.9808599038326876,1.1670979969411224,1
w64_n12_b256_td15,64,12,256,6,15,2,3,2.5,0.29334,64,5,3,15,0.7111111111111111,1.0223426740301358,1.1415917838393195,1
w64_n12_b256_td16,64,12,256,6,16,2,4,2.6666666666666665,0.268774,64,4,3,12,0.8888888888888888,1.0914002098417257,1.045988239277389,1
w64_n12_b512_td1,64,12,512,6,1,0,1,0.16666666666666666,1.582423,64,64,1,64,0.16666666666666666,,3.0890650560451016,1
w64_n12_b512_td2,64,12,512,6,2,0,2,0.3333333333333333,1.132431,64,32,1,32,0.3333333333333333,1.3973681398690074,2.210630805089543,1
w64_n12_b512_td3,64,12,512,6,3,0,3,0.5,0.804736,64,22,1,22,0.48484848484848486,1.407208078177191,1.5709338507728408,1
w64_n12_b512_td4,64,12,512,6,4,0,4,0.6666666666666666,0.705003,64,16,1,16,0.6666666666666666,1.1414646462497322,1.3762439826184054,1
w64_n12_b512_td5,64,12,512,6,5,0,5,0.8333333333333334,0.574111,64,13,1,13,0.8205128205128205,1.2279907544011524,1.1207282935037657,1
w64_n12_b512_td6,64,12,512,6,6,1,0,1.0,0.546253,64,11,1,11,0.9696969696969697,1.0509983469198338,1.0663463903518875,1
w64_n12_b512_td7,64,12,512,6,7,1,1,1.1666666666666667,0.721106,64,10,2,20,0.5333333333333333,0.7575210856656303,1.4076788231114303,1
w64_n12_b512_td8,64,12,512,6,8,1,2,1.3333333333333333,0.617252,64,8,2,16,0.6666666666666666,1.1682521887332888,1.204944306278379,1
w64_n12_b512_td9,64,12,512,6,9,1,3,1.5,0.599178,64,8,2,16,0.6666666666666666,1.0301646589160485,1.1696618553642053,1
w64_n12_b512_td10,64,12,512,6,10,1,4,1.6666666666666667,0.553933,64,7,2,14,0.7619047619047619,1.0816795533033778,1.081338601429726,1
w64_n12_b512_td11,64,12,512,6,11,1,5,1.8333333333333333,0.519485,64,6,2,12,0.8888888888888888,1.066311828060483,1.0140922879910046,1
w64_n12_b512_td12,64,12,512,6,12,2,0,2.0,0.512671,64,6,2,12,0.8888888888888888,1.0132911750420834,1.0007906048810578,1
w64_n12_b512_td13,64,12,512,6,13,2,1,2.1666666666666665,0.575729,64,5,3,15,0.7111111111111111,0.8904727745171772,1.1238868088063625,1
