implementation,label,cuda_event_ms,time_us,dram_read_mib,dram_write_mib,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,integer_thread_instructions,fp64_thread_instructions,dram_peak_pct,l2_hit_pct,l1_hit_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,kernel_count,shared_bank_conflicts,dram_total_mib,cuda_event_ms_vs_cufft,time_us_vs_cufft,dram_total_mib_vs_cufft,warp_instructions_vs_cufft,integer_thread_instructions_vs_cufft,fp64_thread_instructions_vs_cufft,shared_bank_conflicts_vs_cufft
scalar,fp64_scalar_b64,0.521226,597.6320000000001,130.94012451171875,129.1727294921875,5051402.0,4194304.0,38076416.0,512769792.0,285212672.0,50.793611587063616,83.36955718569287,16.139459734418505,56.91732705076033,34.87696776611694,24.289221996144786,2,9245706.0,260.11285400390625,1.5202475674918916,1.6612702366127023,1.0184619862748527,2.342741935483871,4.724392761833385,1.0421455938697317,154.02835437976876
cufftdx,fp64_cufftdx_b64,0.369459,387.616,128.50518798828125,128.82125854492188,2487689.0,7398945.0,30507008.0,409993216.0,268656384.0,77.48858581689095,63.823377363163544,13.821574341616445,42.53328737719805,18.433020721538842,23.801044332535295,2,9886634.0,257.3264465332031,1.0775923419744733,1.0774773172033445,1.0075519138063052,1.877016129032258,3.7774631272959063,0.9816501661278736,164.7058607936561
cufft,fp64_cufft_b64,0.342856,359.744,128.0013427734375,127.3963623046875,46550.0,13476.0,16252928.0,108536656.0,273678336.0,82.85999644191423,50.245001779042866,0.5849839886141256,18.195001779042872,4.019839886141256,39.78024550791674,2,60026.0,255.397705078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recurrence,fp64_recurrence_b64,0.345027,362.656,128.2322998046875,128.76986694335938,2716488.0,7398132.0,29392896.0,381681664.0,279969792.0,82.71430689137917,55.3118591723286,16.849328509662048,42.183833053913354,19.089824406600197,19.72007588458484,2,10114620.0,257.0021667480469,1.0063321044403482,1.0080946450809465,1.006282208641738,1.8084677419354838,3.516615289861151,1.0229885057471264,168.50398160796988
xor_swizzle,fp64_xor_swizzle_b64,0.342098,350.88,128.328857421875,128.76119995117188,1002389.0,5824136.0,29753344.0,393216000.0,279969792.0,85.51303875968993,55.22118650250799,16.645330597355223,42.030871865025084,17.683655266757867,24.196005471956227,2,6826525.0,257.0900573730469,0.9977891592971977,0.9753602561821739,1.006626341040943,1.8306451612903225,3.6228866310382735,1.0229885057471264,113.72613534135208
