batch,logical_subgraphs,execution_groups,logical_partition,execution_partition,materialized_boundaries,trials,kernel_ms,min_kernel_ms,max_kernel_ms
1,2,2,10+10,10+10,1,3,0.427008,0.426359,0.427213
1,3,2,5+5+10,10+10,1,3,0.427315,0.426769,0.427861
1,4,2,5+5+5+5,10+10,1,3,0.426633,0.425779,0.427145
1,5,2,3+3+4+5+5,10+10,1,3,0.42711,0.42694,0.427861
1,6,2,3+3+4+3+3+4,10+10,1,3,0.427315,0.426633,0.427486
1,7,2,2+2+3+3+3+3+4,10+10,1,3,0.427486,0.427247,0.42752
1,8,2,2+2+3+3+2+2+3+3,10+10,1,3,0.427349,0.426871,0.427452
4,2,2,10+10,10+10,1,3,1.112508,1.093803,1.116672
4,3,2,5+5+10,10+10,1,3,1.111586,1.103804,1.128926
4,4,2,5+5+5+5,10+10,1,3,1.124659,1.119573,1.12541
4,5,2,3+3+4+5+5,10+10,1,3,1.109231,1.107456,1.112849
4,6,2,3+3+4+3+3+4,10+10,1,3,1.110494,1.103497,1.117252
4,7,2,2+2+3+3+3+3+4,10+10,1,3,1.114692,1.11162,1.115785
4,8,2,2+2+3+3+2+2+3+3,10+10,1,3,1.112644,1.108105,1.115887
16,2,2,10+10,10+10,1,3,3.759753,3.731593,3.791223
16,3,2,5+5+10,10+10,1,3,3.795934,3.737259,3.824128
16,4,2,5+5+5+5,10+10,1,3,3.759104,3.734733,3.780813
16,5,2,3+3+4+5+5,10+10,1,3,3.740979,3.735245,3.761732
16,6,2,3+3+4+3+3+4,10+10,1,3,3.722001,3.677696,3.741798
16,7,2,2+2+3+3+3+3+4,10+10,1,3,3.741867,3.728077,3.937451
16,8,2,2+2+3+3+2+2+3+3,10+10,1,3,3.756715,3.720363,3.792008
