"File Path","/home/wt/git/Hermes/cuNTT-v05/src/hybrid_dataflow.cuh"
"Function Name","void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int, (unsigned int)4>(const T1 *, T1 *, T1 *, unsigned int *, unsigned long, const T1 *, const T1 *, unsigned long long *, unsigned int, cuntt::<unnamed>::NttStageOperatorT<T1>)"
"Line No","Source","Address","Source","Warp Stall Sampling (All Cycles)","Warp Stall Sampling (Not-issued Cycles)","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Theoretical Sectors Local","stall_barrier","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)","smsp__pcsamp_sample_count"
"","","0x771c2d25dce0","     IMAD.IADD R7, R13, 0x1, R24 ","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","0x771c2d25dd00","     IMAD.WIDE.U32 R6, R7, 0x3ff, R2 ","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","0x771c2d25dd20","     IADD3 R19, P0, R17, R6, RZ ","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","0x771c2d25dd30","     IMAD.X R20, RZ, RZ, R7, P0 ","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"463","op.apply_coefficient(fused_twiddles[index], fused_twiddles_shoup[index], left, right);","-","-","8636","4637","20971520","671088640","671088640","1024","1024","0","Global(6)","Load(6)","32(6)","5898240","0","0","0","1376256","11796480","10420224","0","0","79","0","5","580","5914","246","0","335","11","1","348","374","160","0","0","583","0","9","0","4","418","3589","70","0","243","4","0","0","0","89","0","0","211","8636"
"","","0x771c2d25d530","     IMAD.SHL.U32 R16, R14, 0x4, RZ ","32","4","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","4","10","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","32"
"","","0x771c2d25d540","     SHF.L.U64.HI R14, R14, 0x2, R15 ","87","17","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","6","0","0","0","0","20","0","0","0","0","25","12","0","0","0","24","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","8","87"
"","","0x771c2d25d550","     IADD3 R18, P0, R16, c[0x0][0x190], RZ ","30","8","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","1","0","3","0","0","2","0","0","0","0","4","9","0","0","0","11","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","5","30"
"","","0x771c2d25d560","     IADD3.X R19, R14, c[0x0][0x194], RZ, P0, !PT ","104","28","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","9","0","1","0","0","20","0","0","1","0","23","11","0","0","0","39","0","0","0","1","0","0","10","0","0","0","0","0","0","0","0","0","17","104"
"","","0x771c2d25d570","     IADD3 R16, P0, R16, c[0x0][0x188], RZ ","27","6","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","1","0","2","13","0","0","0","7","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","27"
"","","0x771c2d25d580","     IADD3.X R17, R14, c[0x0][0x18c], RZ, P0, !PT ","92","19","655360","20971520","20971520","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","4","0","0","0","0","18","0","0","0","0","22","10","0","0","0","38","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","13","92"
"","","0x771c2d25d590","     LDG.E.SYS R28, [R18] ","292","192","655360","20971520","20971520","32","32","0","Global","Load","32","983040","0","0","0","229376","1966080","1736704","0","0","2","0","0","125","0","0","0","119","1","0","11","18","0","0","0","16","0","0","0","0","96","0","0","0","87","0","0","0","0","0","0","0","9","292"
