implementation,category,address,file,line,theoretical_sectors,theoretical_ideal,theoretical_excessive,l1_tag_requests,instructions,stall_long_scoreboard,source,sass
v06,ready/trace,0x771c2d25cdd0,/usr/local/cuda-11.8/targets/x86_64-linux/include/cuda/std/detail/libcxx/include/support/atomic/atomic_cuda_generated.h,918,58601.0,58601.0,0.0,58601.0,58601.0,0.0,"template<class _CUDA_A, class _CUDA_B> static inline __device__ void __cuda_load_acquire_32_device(_CUDA_A __ptr, _CUDA_B& __dst) {asm volatile(ld.acquire.gpu.b32 %0","LD.E.STRONG.GPU R2, [R6]"
v06,ready/trace,0x771c2d25cca0,/usr/local/cuda-11.8/targets/x86_64-linux/include/cuda/std/detail/libcxx/include/support/atomic/atomic_cuda_generated.h,1103,4096.0,4096.0,0.0,4096.0,4096.0,0.0,"template<class _CUDA_A, class _CUDA_B, class _CUDA_C> static inline __device__ void __cuda_fetch_add_release_32_device(_CUDA_A __ptr, _CUDA_B& __dst, _CUDA_C __op) { asm volatile(atom.add.release.gpu.u32 %0","@P0  ATOM.E.ADD.STRONG.GPU PT, RZ, [R2], R7"
v07-d6,stage 7-9 coefficients,0x71b3e3261b50,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3954,327680.0,262144.0,65536.0,131072.0,65536.0,0.0,"op.apply_coefficient(coefficients[127U + offset],","LDG.E.SYS R78, [R44]"
v07-d6,stage 7-9 coefficients,0x71b3e3261b80,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3963,327680.0,262144.0,65536.0,131072.0,65536.0,0.0,"op.apply_coefficient(coefficients[383U + offset],","LDG.E.SYS R68, [R44+0x400]"
v07-d6,unclassified global load,0x71b3e3261b90,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,135,327680.0,262144.0,65536.0,131072.0,65536.0,0.0,"const std::uint32_t quotient = __umulhi(value, twiddle_shoup);","LDG.E.SYS R72, [R44+0x200]"
v07-d6,stage 7-9 coefficients,0x71b3e3267b00,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3954,319488.0,262144.0,57344.0,129024.0,65536.0,0.0,"op.apply_coefficient(coefficients[127U + offset],","LDG.E.SYS R85, [R68]"
v07-d6,stage 7-9 coefficients,0x71b3e3267b30,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3963,319488.0,262144.0,57344.0,129024.0,65536.0,0.0,"op.apply_coefficient(coefficients[383U + offset],","LDG.E.SYS R61, [R68+0x400]"
v07-d6,unclassified global load,0x71b3e3267b40,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,135,319488.0,262144.0,57344.0,129024.0,65536.0,0.0,"const std::uint32_t quotient = __umulhi(value, twiddle_shoup);","LDG.E.SYS R73, [R68+0x200]"
v07-d6,unclassified global load,0x71b3e3261b60,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,234,327680.0,262144.0,65536.0,131072.0,65536.0,0.0,right = u >= v ? u - v : modulus + u - v;,"LDG.E.SYS R88, [R54+0x200]"
v07-d6,stage 7-9 coefficients,0x71b3e3261b70,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3960,327680.0,262144.0,65536.0,131072.0,65536.0,0.0,"op.apply_coefficient(coefficients[255U + offset],","LDG.E.SYS R71, [R54+0x400]"
v07-d6,unclassified global load,0x71b3e3267b10,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,234,319488.0,262144.0,57344.0,129024.0,65536.0,0.0,right = u >= v ? u - v : modulus + u - v;,"LDG.E.SYS R89, [R70+0x200]"
v07-d6,stage 7-9 coefficients,0x71b3e3267b20,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3960,319488.0,262144.0,57344.0,129024.0,65536.0,0.0,"op.apply_coefficient(coefficients[255U + offset],","LDG.E.SYS R72, [R70+0x400]"
v07-d6,unclassified global load,0x71b3e3261b40,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3612,327680.0,262144.0,65536.0,131072.0,65536.0,0.0,asm volatile(bar.sync %0,"LDG.E.SYS R74, [R54]"
v07-d6,stage 0-1 coefficients,0x71b3e325c970,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3837,65536.0,65536.0,0.0,65536.0,65536.0,0.0,const Word stage0_coefficient = coefficients[0];,"LDG.E.SYS R66, [R54]"
v07-d6,stage 0-1 coefficients,0x71b3e325f320,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3837,65536.0,65536.0,0.0,65536.0,65536.0,0.0,const Word stage0_coefficient = coefficients[0];,"LDG.E.SYS R74, [R54]"
v07-d6,stage 0-1 coefficients,0x71b3e3263390,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3837,65536.0,65536.0,0.0,65536.0,65536.0,0.0,const Word stage0_coefficient = coefficients[0];,"LDG.E.SYS R98, [R68]"
v07-d6,stage 0-1 coefficients,0x71b3e3265470,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3837,65536.0,65536.0,0.0,65536.0,65536.0,0.0,const Word stage0_coefficient = coefficients[0];,"LDG.E.SYS R84, [R68]"
v07-d6,stage 0-1 coefficients,0x71b3e325c960,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3838,65536.0,65536.0,0.0,65536.0,65536.0,0.0,const Word stage0_coefficient_shoup = coefficients_shoup[0];,"LDG.E.SYS R60, [R44]"
v07-d6,stage 0-1 coefficients,0x71b3e325f2f0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3838,65536.0,65536.0,0.0,65536.0,65536.0,0.0,const Word stage0_coefficient_shoup = coefficients_shoup[0];,"LDG.E.SYS R66, [R44]"
v07-d6,stage 0-1 coefficients,0x71b3e3263380,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3838,65536.0,65536.0,0.0,65536.0,65536.0,0.0,const Word stage0_coefficient_shoup = coefficients_shoup[0];,"LDG.E.SYS R96, [R70]"
v07-d6,stage 0-1 coefficients,0x71b3e3265530,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3838,65536.0,65536.0,0.0,65536.0,65536.0,0.0,const Word stage0_coefficient_shoup = coefficients_shoup[0];,"LDG.E.SYS R85, [R70]"
v07-d6,stage 0-1 coefficients,0x71b3e325c980,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3845,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[1], coefficients_shoup[1],","LDG.E.SYS R71, [R44+0x4]"
v07-d6,stage 0-1 coefficients,0x71b3e325c9a0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3845,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[1], coefficients_shoup[1],","LDG.E.SYS R73, [R54+0x4]"
v07-d6,stage 0-1 coefficients,0x71b3e325f580,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3845,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[1], coefficients_shoup[1],","LDG.E.SYS R73, [R54+0x4]"
v07-d6,stage 0-1 coefficients,0x71b3e325f590,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3845,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[1], coefficients_shoup[1],","LDG.E.SYS R33, [R44+0x4]"
v07-d6,stage 0-1 coefficients,0x71b3e32633a0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3845,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[1], coefficients_shoup[1],","LDG.E.SYS R94, [R70+0x4]"
v07-d6,stage 0-1 coefficients,0x71b3e32633b0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3845,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[1], coefficients_shoup[1],","LDG.E.SYS R93, [R68+0x4]"
v07-d6,stage 0-1 coefficients,0x71b3e3265a60,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3845,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[1], coefficients_shoup[1],","LDG.E.SYS R89, [R68+0x4]"
v07-d6,stage 0-1 coefficients,0x71b3e3265a70,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3845,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[1], coefficients_shoup[1],","LDG.E.SYS R33, [R70+0x4]"
v07-d6,stage 0-1 coefficients,0x71b3e325c990,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3847,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[2], coefficients_shoup[2],","LDG.E.SYS R75, [R44+0x8]"
v07-d6,stage 0-1 coefficients,0x71b3e325c9b0,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3847,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[2], coefficients_shoup[2],","LDG.E.SYS R85, [R54+0x8]"
v07-d6,stage 0-1 coefficients,0x71b3e325f360,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3847,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[2], coefficients_shoup[2],","LDG.E.SYS R84, [R54+0x8]"
v07-d6,stage 0-1 coefficients,0x71b3e325f480,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3847,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[2], coefficients_shoup[2],","LDG.E.SYS R32, [R44+0x8]"
v07-d6,stage 0-1 coefficients,0x71b3e3263400,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3847,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[2], coefficients_shoup[2],","LDG.E.SYS R92, [R70+0x8]"
v07-d6,stage 0-1 coefficients,0x71b3e3263410,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3847,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[2], coefficients_shoup[2],","LDG.E.SYS R91, [R68+0x8]"
v07-d6,stage 0-1 coefficients,0x71b3e3265810,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3847,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[2], coefficients_shoup[2],","LDG.E.SYS R92, [R68+0x8]"
v07-d6,stage 0-1 coefficients,0x71b3e3265970,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3847,65536.0,65536.0,0.0,65536.0,65536.0,0.0,"op.apply_coefficient(coefficients[2], coefficients_shoup[2],","LDG.E.SYS R32, [R70+0x8]"
v07-d6,stage 2-6 coefficients,0x71b3e325ca40,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,65536.0,65536.0,0.0,65536.0,65536.0,0.0,lane_coefficient =,"@!P0 LDG.E.SYS R57, [R52]"
v07-d6,stage 2-6 coefficients,0x71b3e325d580,/home/wt/git/Hermes/cuNTT-v05/src/ntt.cu,3858,131072.0,65536.0,65536.0,65536.0,65536.0,0.0,lane_coefficient =,"@!P1 LDG.E.SYS R71, [R52+0x10]"
