label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
atomic_n12_b16,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,256,318.08,0.0,0.0,,,,97.43,,19435.0,16384.0,,71879072.0,,,,,12.5,41.39,2.22,50.0,61496.0,0.2,4.0,1.0,8.0
balanced_n10_b16,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,160,70.24,0.0,0.0,,,,90.47,,8576.0,8192.0,,14329344.0,,,,,7.81,16.7,2.55,50.0,10272.0,0.03,7.0,9.0,12.0
balanced_n12_b16,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,192,182.272,0.0,0.0,,,,98.51,,34678.0,32768.0,,47282816.0,,,,,9.37,13.38,4.22,50.0,37928.0,0.1,6.0,2.0,10.0
balanced_n13_b1,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",1,224,314.81600000000003,0.0,0.0,,,,98.19,,4360.0,4160.0,,5609904.0,,,,,10.94,19.0,4.18,50.0,77872.0,0.01,5.0,1.0,9.0
linear_n12_b16,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,256,305.504,0.0,0.0,,,,97.38,,77568.0,73728.0,,58707840.0,,,,,12.5,51.22,2.49,50.0,61496.0,0.2,4.0,1.0,8.0
primary_n8_b256,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",256,256,46.176,0.0,0.0,,,,96.12,,18171.0,16411.0,,25220096.0,,,,,33.81,79.84,3.08,50.0,30776.0,1.07,4.0,3.0,8.0
unbalanced_n12_b16,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,256,322.72,0.0,0.0,,,,97.25,,19343.0,16384.0,,58412928.0,,,,,12.5,50.63,2.19,50.0,61496.0,0.2,4.0,1.0,8.0
us2_n12_b16,0,"void cuntt::detail::hybrid_dataflow_kernel<unsigned long,",16,64,5197.536,0.0,0.0,,,,98.48,,65536.0,65536.0,,406514816.0,,,,,3.12,11.1,1.01,50.0,32840.0,0.1,18.0,2.0,32.0
