word_bits,batch,core,time_us,time_vs_v06,dram_read_vs_v06,dram_write_vs_v06,load_sectors_vs_v06,store_sectors_vs_v06,warp_instructions_vs_v06,integer_instructions_vs_v06,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,dram_peak_pct,l1_hit_pct,l2_hit_pct,registers_per_thread,v06_time_us,v06_active_warps_pct,v06_barrier_stall_pct,v06_dram_peak_pct,v06_l1_hit_pct
32,1,warp-radix2,312.608,2.1418548563911424,1.5035012357302577,1.5532644747526183,4.64392580848706,4.250025272224776,1.0164784075861775,0.7588474845715789,25.2,52.69,20.22,12.71,44.21,93.48,72.0,145.952,41.05,4.2,17.88,45.2
32,1,cta-radix4,307.296,2.1054593290944967,1.5036302405373843,1.558029754613892,3.097043368523752,4.250013828198463,0.8018435094613643,0.9309143793868254,22.95,42.79,26.06,12.95,25.74,93.34,32.0,145.952,41.05,4.2,17.88,45.2
32,4,warp-radix2,900.7040000000001,2.588705968913823,1.9420020385317176,1.8752537209410935,4.681217808612888,4.250040650309586,1.1444746726236479,0.7654592275622977,26.85,28.76,30.49,24.2,43.28,89.45,72.0,347.93600000000004,46.78,5.12,32.65,45.99
32,4,cta-radix4,944.7040000000001,2.7151660075416166,1.867647653858085,1.8664278246999357,3.126622018140135,4.24985277673801,0.9019549704378723,0.9474235002728504,26.73,25.71,33.67,22.45,24.89,90.03,32.0,347.93600000000004,46.78,5.12,32.65,45.99
64,1,warp-radix2,669.408,2.933529659234329,1.380075997203746,1.593646850240602,3.128675378528016,4.500023841721487,1.3758177241996095,0.8808812789728964,18.35,30.55,33.88,12.03,37.46,87.66,80.0,228.192,23.48,2.79,24.26,50.69
64,1,cta-radix4,442.91200000000003,1.9409619969148788,1.6236912334269042,1.5593082895777162,2.1044550102905637,4.500023841721487,0.8322868167236089,0.9521651235980232,19.76,46.28,25.87,20.01,23.98,84.35,40.0,228.192,23.48,2.79,24.26,50.69
64,4,warp-radix2,1972.576,3.2674122760521573,1.9695559492572097,1.6795721597944506,3.1495579173081922,4.500040292682229,1.572590795391938,0.8970215394728838,22.19,19.73,39.98,21.36,36.27,82.28,80.0,603.712,24.31,3.49,37.28,51.89
64,4,cta-radix4,1383.488,2.2916357468461785,2.119899263094592,1.6404915770601751,2.11500422433463,4.500040292682229,0.9339304717705594,0.9704394387609024,22.14,28.73,34.74,31.86,23.13,79.66,40.0,603.712,24.31,3.49,37.28,51.89
