trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,2,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.763904,0.226437,2.600416,72355632.151936,74.092167,18523041830.895718,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,2,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.769920,0.226458,2.600864,72348980.931524,74.085356,18521339118.470119,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,2,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.777376,0.226458,2.609856,72349085.665676,74.085464,18521365930.412956,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.775264,0.190505,2.595552,86003013.145768,88.067085,22016771365.316521,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.769024,0.190556,2.593952,85979898.337255,88.043416,22010853974.337208,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.777824,0.190505,2.609792,86003013.145768,88.067085,22016771365.316521,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.766048,0.190515,2.597216,85998391.880398,88.062353,22015588321.382015,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.777376,0.190546,2.605920,85984524.339424,88.048153,22012038230.892479,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.779136,0.200980,2.610240,81520358.838222,83.476847,20869211862.584892,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.776928,0.200950,2.601728,81532817.652132,83.489605,20872401318.945744,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.768128,0.200980,2.596512,81520358.838222,83.476847,20869211862.584892,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.766656,0.200970,2.603840,81524505.308379,83.481093,20870273358.945080,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.768256,0.201001,2.595776,81512049.034521,83.468338,20867084552.837265,0.000000,-1
