trial,device,compute_capability,backend,stage_space,stage_handoff,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,output_order,correct
3,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,8,atomic,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.460960,0.862925,5.106304,18986590.407333,1433397.133814,4860567144.277359,fused,natural,-1
4,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,8,atomic,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.477376,0.862280,5.109984,19000796.241176,1430962.076655,4864203837.741034,fused,natural,-1
5,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,8,atomic,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.460896,0.855327,5.110592,19155253.504442,1433820.408485,4903744897.137219,fused,natural,-1
1,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,1,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.453952,0.776448,5.104160,21101219.604509,1445490.646656,5401912218.754251,fused,natural,-1
2,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,1,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.455136,0.777411,5.103392,21075093.006900,1445314.826012,5395223809.766396,fused,natural,-1
3,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,1,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.473856,0.778045,5.109824,21057896.705818,1442034.478023,5390821556.689289,fused,natural,-1
4,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,1,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.464160,0.778240,5.114112,21052632.513882,1442696.511341,5389473923.553731,fused,natural,-1
5,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,1,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.458784,0.779162,5.115488,21027729.454108,1443087.642575,5383098740.251633,fused,natural,-1
1,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,2,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.462592,0.425748,5.105760,38482816.152714,1490253.769921,9851600935.094753,fused,natural,-1
2,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,2,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.466336,0.425769,5.104512,38480962.913914,1489912.766830,9851126505.961880,fused,natural,-1
3,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,2,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.460960,0.425789,5.107232,38479112.546872,1490269.932993,9850652811.999168,fused,natural,-1
4,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,2,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.457920,0.425728,5.101888,38484666.875976,1491415.587814,9852074720.249918,fused,natural,-1
5,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,2,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.460480,0.426342,5.109920,38429206.383452,1489895.739345,9837876834.163668,fused,natural,-1
1,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,4,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.459936,0.403517,5.113312,40602952.369382,1492607.289678,10394355806.561678,fused,natural,-1
2,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,4,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.464320,0.403579,5.109216,40596772.813188,1492559.710982,10392773840.176165,fused,natural,-1
3,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,4,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.456704,0.403589,5.107040,40595741.571165,1493890.967368,10392509842.218298,fused,natural,-1
4,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,4,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.462656,0.403681,5.105344,40586471.739084,1493298.955672,10390136765.205517,fused,natural,-1
5,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,4,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.456960,0.403610,5.109664,40593685.239118,1493495.981094,10391983421.214231,fused,natural,-1
1,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,8,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.473664,0.436111,5.120576,37568386.135099,1485356.167926,9617506850.585327,fused,natural,-1
2,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,8,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.469184,0.436101,5.103808,37569269.304267,1488224.330953,9617732941.892317,fused,natural,-1
3,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,8,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.461472,0.429732,5.105120,38126104.207198,1489952.456067,9760282677.042683,fused,natural,-1
4,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,8,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.456736,0.436111,5.109248,37568386.135099,1489170.843530,9617506850.585327,fused,natural,-1
5,"Tesla V100-SXM2-16GB",7.0,stage-pipeline,8,named-barrier,radix2,64,8,256,16384,1152921504606584833,60,0,0,256,0,20,100,5.461472,0.435948,5.105728,37582503.841818,1489028.450313,9621120983.505301,fused,natural,-1
