trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
5,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,2,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.781760,0.226601,2.603904,72303317.182979,74.038597,18509649198.842739,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.787232,0.190556,2.599232,85979898.337255,88.043416,22010853974.337208,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.767776,0.190556,2.591904,85979898.337255,88.043416,22010853974.337208,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.794272,0.190566,2.600000,85975279.555576,88.038686,22009671566.227516,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.796000,0.190607,2.605056,85956809.390152,88.019773,22004943203.879032,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,4,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.782016,0.190566,2.604128,85975279.555576,88.038686,22009671566.227516,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.808992,0.200970,2.632000,81524505.308379,83.481093,20870273358.945080,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.800608,0.200991,2.602752,81516200.702848,83.472590,20868147379.929165,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.789952,0.201021,2.604288,81503740.924771,83.459831,20864957676.741421,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.811360,0.200970,2.609696,81524505.308379,83.481093,20870273358.945080,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,8,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.775040,0.200991,2.590720,81516200.702848,83.472590,20868147379.929165,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.768480,0.052460,2.593280,312316983.409454,319.812591,79953147752.820267,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.787008,0.052408,2.599424,312622124.179047,320.125055,80031263789.835999,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.783904,0.052326,2.604032,313111569.279225,320.626247,80156561735.481476,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.787328,0.052388,2.601280,312744347.504646,320.250212,80062552961.189316,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.778144,0.052398,2.591520,312683201.667512,320.187599,80046899626.883163,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.780672,0.355543,2.601824,46081625.003898,47.187584,11796896000.997818,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.791616,0.355328,2.604800,46109510.912888,47.216139,11804034793.699381,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.778752,0.355328,2.598400,46109510.912888,47.216139,11804034793.699381,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.796832,0.355256,2.599552,46118813.717364,47.225665,11806416311.645290,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,subset-zeta,uint32,forward,none,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.785664,0.355246,2.603904,46120140.784949,47.227024,11806756040.947037,0.000000,-1
