trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,64,0,0,12,4096,1024,1,4096,20,100,2.765184,0.119439,2.594912,8573387.953250,210.699582,35116597056.512932,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,64,0,0,12,4096,1024,1,4096,20,100,2.771168,0.119880,2.596096,8541897.629077,209.925676,34987612688.699722,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,64,0,0,12,4096,1024,1,4096,20,100,2.762784,0.119982,2.624608,8534607.929273,209.746524,34957754078.300163,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,64,0,0,12,4096,1024,1,4096,20,100,2.765856,0.119962,2.594528,8536065.085756,209.782336,34963722591.256569,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,128,0,0,12,4096,1024,1,4096,20,100,2.767520,0.128092,2.623072,7994244.464973,196.466552,32744425328.529766,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,128,0,0,12,4096,1024,1,4096,20,100,2.760960,0.128164,2.592800,7989772.819451,196.356657,32726109468.470966,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,128,0,0,12,4096,1024,1,4096,20,100,2.765984,0.128123,2.593984,7992327.299925,196.419436,32736572620.494495,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,128,0,0,12,4096,1024,1,4096,20,100,2.787040,0.120351,2.629920,8508465.503029,209.104048,34850674700.408424,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,128,0,0,12,4096,1024,1,4096,20,100,2.774336,0.120228,2.591424,8517161.832017,209.317769,34886294863.940773,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,128,0,0,12,4096,1024,1,4096,20,100,2.773440,0.120330,2.598816,8509914.272487,209.139653,34856608860.106262,0.000000,-1
