trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,2.765664,0.317153,2.596608,201795.173004,105.798788,13224848457.984470,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,2.763168,0.317112,2.596256,201821.230609,105.812449,13226556169.163097,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,2.776832,0.317143,2.605056,201801.677292,105.802198,13225274723.038879,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,2.763616,0.317225,2.595520,201749.578906,105.774883,13221860403.196714,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,2.777728,0.317153,2.618528,201795.173004,105.798788,13224848457.984470,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,5.528736,0.785428,5.104800,81484.187166,42.721182,5340147690.135379,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,5.524768,0.785152,5.110560,81512.883347,42.736227,5342028323.022890,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,5.519904,0.785388,5.119136,81488.435574,42.723409,5340426113.780958,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,5.518816,0.785265,5.103200,81501.183456,42.730092,5341261558.941763,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,5.530304,0.785050,5.106048,81523.509585,42.741798,5342724724.172378,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,5.519520,0.448266,5.104800,142772.286475,74.853797,9356724566.416246,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,5.550240,0.448922,5.118144,142563.871457,74.744527,9343065879.836098,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,5.519680,0.449044,5.102208,142524.851313,74.724069,9340508655.676649,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,5.518304,0.448881,5.102400,142576.876610,74.751345,9343918185.500601,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,5.523808,0.449014,5.106624,142534.613807,74.729188,9341148450.471218,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,5.520096,0.627528,5.105088,101987.527555,53.470837,6683854605.821640,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,5.520992,0.627681,5.104896,101962.579662,53.457757,6682219620.728032,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,5.519232,0.627651,5.104704,101967.566327,53.460371,6682546426.831174,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,5.528224,0.627415,5.104704,102005.839481,53.480438,6685054696.224440,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,5.517952,0.627569,5.105632,101980.882630,53.467353,6683419124.024704,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,5.521664,0.521810,5.103744,122650.021852,64.303935,8037991832.064770,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,5.522464,0.521718,5.103744,122671.685000,64.315292,8039411548.176323,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,5.527648,0.521892,5.106176,122630.775254,64.293844,8036730487.043924,0.000000,-1
