event_type,axis,operator,precision,accumulation,logN,batch,from_mapping,to_mapping,relative_margin,trial_ranges_non_overlapping,classification,reason
grid-wave,batch,structured-2x2,fp64,native,20,2,online-r4-t256,online-r4-t256,,,predicted,crosses 2 grid waves
grid-wave,batch,fft,fp64,native,20,2,online-r4-t256,online-r4-t256,,,predicted,crosses 2 grid waves
grid-wave,batch,fft,fp16,native,20,2,hier-r4-t256,online-r4-t256,,,predicted,crosses 2 grid waves
grid-wave,batch,structured-2x2,fp32,native,20,2,online-r4-t256,online-r4-t256,,,predicted,crosses 2 grid waves
numeric-pipeline,numeric-contract,fwht,multiple,multiple,15,6,online-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fwht,multiple,multiple,8,961,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,15,6,online-r4-t256,online-r2-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,15,1,online-r4-t256,online-r2-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,structured-2x2,multiple,multiple,15,6,hier-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,15,9,hier-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,8,1281,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,15,8,hier-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,15,4,online-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fwht,multiple,multiple,8,1281,temporal-r2-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,structured-2x2,multiple,multiple,15,7,hier-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,structured-2x2,multiple,multiple,15,9,hier-r4-t256,hier-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,15,5,online-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fwht,multiple,multiple,20,1,hier-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,structured-2x2,multiple,multiple,8,959,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,structured-2x2,multiple,multiple,8,1279,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fwht,multiple,multiple,20,2,hier-r4-t256,online-r2-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,8,1279,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,structured-2x2,multiple,multiple,20,1,hier-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,structured-2x2,multiple,multiple,15,1,online-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fwht,multiple,multiple,15,8,hier-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,structured-2x2,multiple,multiple,8,1281,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,ntt,multiple,multiple,15,1,ntt-hybrid-r4-t256,ntt-hybrid-r2-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,8,800,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fwht,multiple,multiple,15,7,online-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,8,801,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fwht,multiple,multiple,8,1279,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,structured-2x2,multiple,multiple,15,8,hier-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,8,1280,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,structured-2x2,multiple,multiple,8,960,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,structured-2x2,multiple,multiple,20,2,hier-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fwht,multiple,multiple,15,1,online-r4-t256,online-r2-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fwht,multiple,multiple,8,1280,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,8,1,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,8,799,temporal-r4-t128,temporal-r2-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,15,7,online-r4-t256,online-r2-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fwht,multiple,multiple,15,9,hier-r4-t256,online-r2-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,structured-2x2,multiple,multiple,8,1,temporal-r4-t128,temporal-r4-t128,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,fft,multiple,multiple,20,1,hier-r4-t256,online-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,ntt,multiple,multiple,15,319,ntt-hybrid-r2-t256,ntt-hybrid-r4-t256,,,observed,best mapping changes while shape and operator remain fixed
numeric-pipeline,numeric-contract,ntt,multiple,multiple,20,1,ntt-hybrid-r4-t256,ntt-hybrid-r2-t256,,,observed,best mapping changes while shape and operator remain fixed
