event_type,axis,operator,precision,accumulation,logN,batch,from_mapping,to_mapping,relative_margin,trial_ranges_non_overlapping,classification,reason
winner-crossover,batch,fft,bf16,fp32,8,1279,temporal-r4-t128,temporal-r2-t128,0.17289373110489992,1,confirmed,winner changes along batch
winner-crossover,batch,fwht,fp16,fp32,8,961,temporal-r4-t128,temporal-r2-t128,0.00827280064568181,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp16,fp32,8,1279,temporal-r2-t128,temporal-r4-t128,0.1568384026484586,1,confirmed,winner changes along batch
winner-crossover,batch,fwht,fp64,native,15,4,online-r2-t256,online-r4-t256,0.1423225423225425,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp64,native,15,9,online-r4-t256,online-r2-t256,0.022194361615613944,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp16,fp32,8,801,temporal-r4-t128,temporal-r2-t128,0.05299439896596292,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp16,fp32,8,1279,temporal-r2-t128,temporal-r4-t128,0.07831900668576885,1,confirmed,winner changes along batch
winner-crossover,batch,fft,fp16,fp32,8,1281,temporal-r4-t128,temporal-r2-t128,0.06861043619113727,1,confirmed,winner changes along batch
winner-crossover,batch,fwht,fp64,native,20,2,online-r4-t256,online-r2-t256,0.10359349891612646,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,fp16,native,15,6,online-r4-t256,hier-r4-t256,0.0455779587839944,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp32,native,8,799,temporal-r4-t128,temporal-r2-t128,0.03934384211200803,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp32,native,8,800,temporal-r2-t128,temporal-r4-t128,0.11693318103940609,0,ambiguous,winner changes along batch
winner-crossover,batch,subset-zeta,uint32,native,15,6,online-r4-t256,online-r2-t256,0.0819679761683112,0,ambiguous,winner changes along batch
winner-crossover,batch,subset-zeta,uint32,native,15,7,online-r2-t256,online-r4-t256,0.20570459585199363,0,ambiguous,winner changes along batch
winner-crossover,batch,subset-zeta,uint32,native,15,8,online-r4-t256,hier-r4-t256,0.14449139030612246,0,ambiguous,winner changes along batch
winner-crossover,batch,structured-2x2,fp16,fp32,15,7,online-r4-t256,hier-r4-t256,0.06883404394883574,1,confirmed,winner changes along batch
winner-crossover,batch,structured-2x2,fp32,native,8,959,temporal-r2-t128,temporal-r4-t128,0.23463135006918368,1,confirmed,winner changes along batch
winner-crossover,batch,ntt,uint64,native,15,239,ntt-hybrid-r2-t256,ntt-hybrid-r4-t256,0.029561583827604432,0,ambiguous,winner changes along batch
winner-crossover,batch,ntt,uint64,native,15,241,ntt-hybrid-r4-t256,ntt-hybrid-r2-t256,0.04586132481498195,1,confirmed,winner changes along batch
winner-crossover,batch,ntt,uint64,native,15,319,ntt-hybrid-r2-t256,ntt-hybrid-r4-t256,0.07780603718570256,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp16,fp32,15,6,online-r4-t256,online-r2-t256,0.03193979165710603,0,ambiguous,winner changes along batch
winner-crossover,batch,fwht,fp16,fp32,15,7,online-r2-t256,hier-r4-t256,0.05035595810503568,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp64,native,8,960,temporal-r4-t128,temporal-r2-t128,0.04093989556715916,0,ambiguous,winner changes along batch
winner-crossover,batch,fft,fp64,native,8,961,temporal-r2-t128,temporal-r4-t128,0.0797310845078727,1,confirmed,winner changes along batch
