rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,4,4,4,4,7,1,0,0,named-barrier,1,0.345344,0.345344,0.345344,85.017048,1.000000
2,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,4,4,8,4,7,1,0,0,named-barrier,1,0.345702,0.345702,0.345702,84.928908,1.001037
3,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,8,4,8,4,7,1,0,0,named-barrier,1,0.345907,0.345907,0.345907,84.878624,1.001630
4,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,4,8,8,8,7,1,0,0,named-barrier,1,0.347085,0.347085,0.347085,84.590643,1.005041
5,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,8,8,8,8,7,1,0,0,named-barrier,1,0.347853,0.347853,0.347853,84.403887,1.007265
6,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,4,8,4,8,7,1,0,0,named-barrier,1,0.348058,0.348058,0.348058,84.354222,1.007859
7,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,4,4,8,8,7,1,0,0,named-barrier,1,0.349491,0.349491,0.349491,84.008209,1.012008
8,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,8,4,8,8,7,1,0,0,named-barrier,1,0.350259,0.350259,0.350259,83.823999,1.014232
9,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,4,4,4,8,7,1,0,0,named-barrier,1,0.351078,0.351078,0.351078,83.628411,1.016604
10,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,8,4,16,4,7,1,0,0,named-barrier,1,0.351078,0.351078,0.351078,83.628411,1.016604
11,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,128,4,4,16,4,7,1,0,0,named-barrier,1,0.351130,0.351130,0.351130,83.616217,1.016754
12,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,512,4,4,8,16,7,1,0,0,named-barrier,1,0.351949,0.351949,0.351949,83.421589,1.019126
13,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,4,8,4,16,7,1,0,0,named-barrier,1,0.352154,0.352154,0.352154,83.373074,1.019719
14,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,512,4,4,4,16,7,1,0,0,named-barrier,1,0.352717,0.352717,0.352717,83.239947,1.021350
15,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,8,8,8,16,7,1,0,0,named-barrier,1,0.352768,0.352768,0.352768,83.227866,1.021497
16,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,512,8,4,8,16,7,1,0,0,named-barrier,1,0.352819,0.352819,0.352819,83.215788,1.021645
17,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,8,8,16,8,7,1,0,0,named-barrier,1,0.352819,0.352819,0.352819,83.215788,1.021645
18,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,4,8,8,16,7,1,0,0,named-barrier,1,0.353229,0.353229,0.353229,83.119291,1.022832
19,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,128,4,8,16,8,7,1,0,0,named-barrier,1,0.353382,0.353382,0.353382,83.083162,1.023275
20,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,8,4,16,8,7,1,0,0,named-barrier,1,0.354867,0.354867,0.354867,82.735538,1.027575
21,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,256,4,4,16,8,7,1,0,0,named-barrier,1,0.355482,0.355482,0.355482,82.592540,1.029356
22,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,128,4,4,4,4,7,1,0,0,named-barrier,1,0.356864,0.356864,0.356864,82.272596,1.033358
23,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,512,8,4,16,16,7,1,0,0,named-barrier,1,0.357734,0.357734,0.357734,82.072424,1.035877
24,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,512,4,4,16,16,7,1,0,0,named-barrier,1,0.357837,0.357837,0.357837,82.048938,1.036176
25,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,8,8,16,16,7,1,0,0,named-barrier,1,0.358349,0.358349,0.358349,81.931708,1.037658
