operator,precision,accumulation,logN,batch,decision,measured_winner,predicted_winner,regret,reason
fwht,fp32,native,8,1280,auto-select,temporal-r4-t128,temporal-r4-t128,1.0,same stable winner at both held-out batch anchors
fft,fp32,native,15,7,measurement-required,online-r4-t256,,,target is not bracketed by stable anchors
structured-2x2,bf16,fp32,8,1279,auto-select,temporal-r4-t128,temporal-r4-t128,1.0,same stable winner at both held-out batch anchors
fwht,fp64,native,8,1,measurement-required,temporal-r4-t128,,,target is not bracketed by stable anchors
structured-2x2,fp16,native,8,1,measurement-required,temporal-r4-t128,,,target is not bracketed by stable anchors
structured-2x2,fp32,native,8,961,auto-select,temporal-r4-t128,temporal-r4-t128,1.0,same stable winner at both held-out batch anchors
ntt,uint32,native,20,1,measurement-required,ntt-hybrid-r4-t256,,,target is not bracketed by stable anchors
fwht,bf16,fp32,8,1281,measurement-required,temporal-r4-t128,,,target is not bracketed by stable anchors
fft,bf16,fp32,8,801,measurement-required,temporal-r2-t128,,,target is not bracketed by stable anchors
fwht,fp16,native,8,959,auto-select,temporal-r4-t128,temporal-r4-t128,1.0,same stable winner at both held-out batch anchors
fft,fp64,native,8,1,measurement-required,temporal-r4-t128,,,target is not bracketed by stable anchors
fft,bf16,native,8,800,auto-select,temporal-r2-t128,temporal-r2-t128,1.0,same stable winner at both held-out batch anchors
fft,bf16,native,15,8,auto-select,online-r2-t256,online-r2-t256,1.0,same stable winner at both held-out batch anchors
structured-2x2,fp16,native,8,960,auto-select,temporal-r4-t128,temporal-r4-t128,1.0,same stable winner at both held-out batch anchors
fwht,fp16,fp32,8,1,measurement-required,temporal-r4-t128,,,target is not bracketed by stable anchors
fwht,fp16,native,20,1,measurement-required,hier-r4-t256,,,target is not bracketed by stable anchors
fwht,bf16,native,15,9,measurement-required,hier-r4-t256,,,target is not bracketed by stable anchors
fwht,fp16,fp32,8,959,auto-select,temporal-r4-t128,temporal-r4-t128,1.0,same stable winner at both held-out batch anchors
structured-2x2,fp64,native,8,1,measurement-required,temporal-r4-t128,,,target is not bracketed by stable anchors
structured-2x2,fp32,native,8,640,measurement-required,temporal-r4-t128,,,target is not bracketed by stable anchors
fft,bf16,fp32,18,1,measurement-required,online-r4-t256,,,target is not bracketed by stable anchors
fwht,fp16,fp32,18,1,measurement-required,online-r4-t256,,,target is not bracketed by stable anchors
subset-zeta,uint32,native,8,1920,measurement-required,temporal-r4-t128,,,target is not bracketed by stable anchors
structured-2x2,bf16,native,18,1,measurement-required,online-r4-t256,,,target is not bracketed by stable anchors
fft,fp64,native,8,1440,measurement-required,temporal-r4-t128,,,target is not bracketed by stable anchors
structured-2x2,fp32,native,15,13,measurement-required,hier-r4-t256,,,target is not bracketed by stable anchors
structured-2x2,fp16,native,18,1,measurement-required,online-r4-t256,,,target is not bracketed by stable anchors
structured-2x2,fp16,fp32,18,1,measurement-required,online-r4-t256,,,target is not bracketed by stable anchors
fft,fp64,native,18,1,measurement-required,online-r2-t256,,,target is not bracketed by stable anchors
fwht,fp32,native,15,13,measurement-required,hier-r4-t256,,,target is not bracketed by stable anchors
fft,fp16,native,20,3,measurement-required,online-r4-t256,,,target is not bracketed by stable anchors
fft,fp16,fp32,8,1600,measurement-required,temporal-r4-t128,,,target is not bracketed by stable anchors
structured-2x2,bf16,fp32,18,1,measurement-required,online-r2-t256,,,target is not bracketed by stable anchors
fwht,fp16,native,18,1,measurement-required,online-r4-t256,,,target is not bracketed by stable anchors
fwht,bf16,native,18,1,measurement-required,online-r2-t256,,,target is not bracketed by stable anchors
