suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,accumulation,storage_bits,compute_bits,accumulator_bits,emulated_native,coefficient_policy,arithmetic_pipeline,mapping_id,ctas_per_transform,estimated_registers_per_thread,estimated_shared_bytes_per_cta,resident_ctas_per_sm,resident_warps_per_sm,occupancy_upper_bound,total_ctas,grid_waves,grid_concurrent_fraction,limiting_resource,working_set_bytes,working_set_over_l2,resource_cliff,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply
structured-2x2-fp16-fp32-log15-hier-r4-t256-b6,structured-2x2-fp16-fp32-log15-b6,full,butterfly,cuButterfly-hier-r4-t256,0,1,6,1,0.001612,fp32,16,32,32,0,broadcast,floating-fma,hier-r4-t256,64,44,2048,5,40,0.625,384,0.96,0.96,register,786432,0.125,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,6,1,32768,1000,100,0.097632,0.027187,0.114080,220692.088259,54.237288,7231638348.084686,0.000000,-1,,,,,,,,,,,,
subset-zeta-uint32-zeta-log8-temporal-r4-t128-b1281,subset-zeta-uint32-zeta-log8-b1281,full,butterfly,cuButterfly-temporal-r4-t128,0,4,1281,1,0.000000,native,32,32,32,0,implicit-unit,integer-add,temporal-r4-t128,1,38,1024,12,48,0.75,1281,1.334375,1.0,register,2623488,0.4169921875,0,Tesla V100-SXM2-16GB,7.0,subset-zeta,uint32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1281,1,256,1000,100,0.308448,0.005509,0.304224,232523507.231750,238.104071,59526017851.328064,0.000000,-1,,,,,,,,,,,,
fft-fp16-fp32-log8-temporal-r2-t128-b801,fft-fp16-fp32-log8-b801,full,butterfly,cuButterfly-temporal-r2-t128,0,1,801,1,0.000747,fp32,16,32,32,0,per-stage-twiddle,floating-complex,temporal-r2-t128,1,32,1024,16,64,1.0,801,0.62578125,0.62578125,register+thread+warp,1640448,0.2607421875,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,801,1,256,1000,100,0.188480,0.007598,0.237504,105421366.741778,107.951480,26987869885.895065,0.000000,-1,,,,,,,,,,,,
fwht-bf16-native-log8-temporal-r2-t128-b961,fwht-bf16-native-log8-b961,full,butterfly,cuButterfly-temporal-r2-t128,0,5,961,1,0.005010,native,16,32,16,1,implicit-sign,floating-add,temporal-r2-t128,1,30,512,16,64,1.0,961,0.75078125,0.75078125,register+thread+warp,984064,0.15641276041666666,0,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,961,1,256,1000,100,0.140640,0.008458,0.137600,113617017.820150,116.343826,29085956561.958500,0.000000,-1,,,,,,,,,,,,
structured-2x2-fp32-log8-temporal-r2-t128-b640,structured-2x2-fp32-log8-b640,full,butterfly,cuButterfly-temporal-r2-t128,0,2,640,1,0.000000,native,32,32,32,0,broadcast,floating-fma,temporal-r2-t128,1,30,1024,16,64,1.0,640,0.5,0.5,register+thread+warp,1310720,0.20833333333333334,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,640,1,256,1000,100,0.150560,0.005571,0.180288,114889701.178339,117.647054,29411763501.654770,0.000000,-1,,,,,,,,,,,,
fwht-fp32-log15-online-r2-t256-b8,fwht-fp32-log15-b8,full,butterfly,cuButterfly-online-r2-t256,0,4,8,1,0.000000,native,32,32,32,0,implicit-sign,floating-add,online-r2-t256,64,36,2048,6,48,0.75,512,1.0666666666666667,1.0,register,2097152,0.3333333333333333,0,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,8,1,32768,1000,100,0.246016,0.030392,0.268384,263224.386371,64.690025,8625336692.620646,0.000000,-1,,,,,,,,,,,,
fft-fp16-fp32-log15-online-r2-t256-b5,fft-fp16-fp32-log15-b5,full,butterfly,cuButterfly-online-r2-t256,0,3,5,1,0.001078,fp32,16,32,32,0,per-stage-twiddle,floating-complex,online-r2-t256,64,38,2048,6,48,0.75,320,0.6666666666666666,0.6666666666666666,register,1310720,0.20833333333333334,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,5,1,32768,1000,100,0.178464,0.030505,0.172288,163907.768019,40.281973,5370929742.441119,0.000000,-1,,,,,,,,,,,,
fft-fp16-native-log20-hier-r4-t256-b2,fft-fp16-native-log20-b2,full,butterfly,cuButterfly-hier-r4-t256,0,4,2,1,0.001330,native,16,16,16,0,per-stage-twiddle,floating-complex,hier-r4-t256,512,48,4096,5,40,0.625,1024,2.56,1.0,register,16777216,2.6666666666666665,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,20,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,0,0,0,20,1048576,2,1,1048576,1000,100,1.417088,0.298097,1.375296,6709.233916,70.351417,7035141662.374957,0.000000,-1,,,,,,,,,,,,
structured-2x2-fp16-native-log20-hier-r4-t256-b1,structured-2x2-fp16-native-log20-b1,full,butterfly,cuButterfly-hier-r4-t256,0,2,1,1,0.002199,native,16,16,16,0,broadcast,floating-fma,hier-r4-t256,512,44,2048,5,40,0.625,512,1.28,1.0,register,4194304,0.6666666666666666,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,fp16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,1,20,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,0,0,0,20,1048576,1,1,1048576,1000,100,0.411360,0.063887,0.462336,15652.549046,164.128873,16412887268.406458,0.000000,-1,,,,,,,,,,,,
fft-fp16-fp32-log8-temporal-r4-t128-b1280,fft-fp16-fp32-log8-b1280,full,butterfly,cuButterfly-temporal-r4-t128,0,5,1280,1,0.000747,fp32,16,32,32,0,per-stage-twiddle,floating-complex,temporal-r4-t128,1,42,1024,10,40,0.625,1280,1.6,1.0,register,2621440,0.4166666666666667,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1280,1,256,1000,100,0.299296,0.007875,0.295424,162548772.657537,166.449943,41612485800.329353,0.000000,-1,,,,,,,,,,,,
fwht-fp16-fp32-log20-online-r4-t256-b1,fwht-fp16-fp32-log20-b1,full,butterfly,cuButterfly-online-r4-t256,0,1,1,1,0.001000,fp32,16,32,32,0,implicit-sign,floating-add,online-r4-t256,512,46,2048,5,40,0.625,512,1.28,1.0,register,4194304,0.6666666666666666,0,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix4,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,1,1,1048576,1000,100,0.426592,0.087757,0.437600,11395.128657,119.486584,11948658426.750122,0.000000,-1,,,,,,,,,,,,
ntt-uint64-ntt-log15-ntt-hybrid-r2-t256-b241,ntt-uint64-ntt-log15-b241,full,ntt,cuButterfly-ntt-hybrid-r2-t256,0,2,241,1,,native,64,64,64,0,per-stage-root,modular-multiply-reduce,ntt-hybrid-r2-t256,1,52,4096,4,32,0.5,241,0.753125,0.753125,register,126353408,20.083333333333332,0,Tesla V100-SXM2-16GB,7.0,ntt,uint64,forward,,,0,,,,0.000000,,hybrid2d,radix2,,fused,,,,,,,,,,,,,,,,0,named-barrier,,,,,,,,,,,,15,32768,241,1,32768,1000,100,10.207040,0.515246,9.520192,,,,,-1,natural,64,1152921504606748673,60,7,4,256,0,467737.656134,11905.656962,15326827516.212296,shoup
ntt-uint32-ntt-log15-ntt-hybrid-r2-t256-b320,ntt-uint32-ntt-log15-b320,full,ntt,cuButterfly-ntt-hybrid-r2-t256,0,4,320,1,,native,32,32,32,0,per-stage-root,modular-multiply-reduce,ntt-hybrid-r2-t256,1,50,2048,4,32,0.5,320,1.0,1.0,register,83886080,13.333333333333334,0,Tesla V100-SXM2-16GB,7.0,ntt,uint32,forward,,,0,,,,0.000000,,hybrid2d,radix2,,fused,,,,,,,,,,,,,,,,0,named-barrier,,,,,,,,,,,,15,32768,320,1,32768,1000,100,6.851040,0.425871,6.384000,,,,,-1,natural,32,1073643521,30,7,4,256,0,751400.641755,23424.499197,24621896229.036640,shoup
ntt-uint32-ntt-log15-ntt-hybrid-r4-t256-b321,ntt-uint32-ntt-log15-b321,full,ntt,cuButterfly-ntt-hybrid-r4-t256,0,1,321,1,,native,32,32,32,0,per-stage-root,modular-multiply-reduce,ntt-hybrid-r4-t256,1,62,4096,4,32,0.5,321,1.003125,1.0,register,84148224,13.375,0,Tesla V100-SXM2-16GB,7.0,ntt,uint32,forward,,,0,,,,0.000000,,hybrid2d,radix4,,fused,,,,,,,,,,,,,,,,0,named-barrier,,,,,,,,,,,,15,32768,321,1,32768,1000,100,6.970016,0.373750,6.375392,,,,,-1,natural,32,1073643521,30,7,4,256,0,858863.421392,23397.937863,28143236592.163551,shoup
ntt-uint32-ntt-log15-ntt-hybrid-r4-t256-b321,ntt-uint32-ntt-log15-b321,full,ntt,cuButterfly-ntt-hybrid-r4-t256,0,4,321,1,,native,32,32,32,0,per-stage-root,modular-multiply-reduce,ntt-hybrid-r4-t256,1,62,4096,4,32,0.5,321,1.003125,1.0,register,84148224,13.375,0,Tesla V100-SXM2-16GB,7.0,ntt,uint32,forward,,,0,,,,0.000000,,hybrid2d,radix4,,fused,,,,,,,,,,,,,,,,0,named-barrier,,,,,,,,,,,,15,32768,321,1,32768,1000,100,6.895776,0.375675,6.376160,,,,,-1,natural,32,1073643521,30,7,4,256,0,854462.188187,23520.600323,27999016982.516441,shoup
