trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.465184,0.217303,5.123744,4712313.002551,115.809804,19301634058.450546,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.477312,0.217252,5.111872,4713423.890657,115.837106,19306184256.129078,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.500544,0.217160,5.112480,4715424.291990,115.886267,19314377899.989563,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.505248,0.217211,5.114048,4714312.460862,115.858943,19309823839.692398,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.471616,0.202127,5.111680,5066112.589754,124.504783,20750797167.633427,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.546144,0.201062,5.120032,5092946.366464,125.164250,20860708317.037140,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.484832,0.201155,5.109472,5090612.913573,125.106903,20851150493.994408,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.461184,0.201073,5.110528,5092687.072154,125.157877,20859646247.542641,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.471808,0.200960,5.113664,5095541.140357,125.228019,20871336510.902184,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.464448,0.144753,5.107776,7074137.123804,173.853994,28975665659.101204,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.458816,0.145121,5.111392,7056167.266117,173.412367,28902061122.014709,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.484384,0.145295,5.111808,7047712.694810,173.204587,28867431197.940395,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.490816,0.144804,5.115552,7071635.818684,173.792522,28965420313.331425,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.498944,0.145009,5.119392,7061648.261678,173.547068,28924511279.831348,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.460896,0.135004,5.110112,7584951.299650,186.407763,31067960523.367390,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.470496,0.135506,5.112320,7556864.877455,185.717511,30952918538.053978,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.468256,0.135332,5.105248,7566585.994266,185.956417,30992736232.513531,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.488736,0.135680,5.115520,7547169.535737,185.479239,30913206418.377979,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.481824,0.135373,5.132544,7564296.374295,185.900148,30983357949.110786,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.513408,0.130929,5.126592,7821054.541117,192.210236,32035039400.416458,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.493728,0.130417,5.112672,7851758.396629,192.964814,32160802392.594337,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.388576,0.134318,5.110176,7623694.242270,187.359910,31226651616.337109,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.499488,0.130867,5.108608,7824726.247613,192.300472,32050078710.223881,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.482592,0.131082,5.106880,7811889.888800,191.985006,31997500984.525700,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.488032,0.125399,5.105088,8165931.850312,200.685941,33447656858.877193,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.514912,0.123843,5.109824,8268562.442681,203.208191,33868031765.221096,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.548608,0.125624,5.120800,8151287.329135,200.326037,33387672900.138618,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.501984,0.124938,5.098816,8196049.363922,201.426109,33571018194.623425,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.504000,0.125204,5.119168,8178621.493800,200.997802,33499633638.604530,0.000000,-1
