suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,accumulation,storage_bits,compute_bits,accumulator_bits,emulated_native,coefficient_policy,arithmetic_pipeline,mapping_id,ctas_per_transform,estimated_registers_per_thread,estimated_shared_bytes_per_cta,resident_ctas_per_sm,resident_warps_per_sm,occupancy_upper_bound,total_ctas,grid_waves,grid_concurrent_fraction,limiting_resource,working_set_bytes,working_set_over_l2,resource_cliff,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply
fwht-bf16-native-log8-temporal-r4-t128-b960,fwht-bf16-native-log8-b960,full,butterfly,cuButterfly-temporal-r4-t128,0,2,960,-1,,native,16,32,16,1,implicit-sign,floating-add,temporal-r4-t128,1,38,512,12,48,0.75,960,1.0,1.0,register,983040,0.15625,0,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,960,1,256,1000,100,0.139712,0.006728,0.122144,142694061.842732,146.118719,36529679831.739326,0.000000,-1,,,,,,,,,,,,
fft-bf16-fp32-log8-temporal-r4-t128-b1281,fft-bf16-fp32-log8-b1281,full,butterfly,cuButterfly-temporal-r4-t128,0,3,1281,-1,,fp32,16,32,32,0,per-stage-twiddle,floating-complex,temporal-r4-t128,1,42,1024,10,40,0.625,1281,1.60125,1.0,register,2623488,0.4169921875,0,Tesla V100-SXM2-16GB,7.0,fft,bf16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1281,1,256,1000,100,0.316256,0.018309,0.267904,69965131.791479,71.644295,17911073738.618549,0.000000,-1,,,,,,,,,,,,
fft-fp32-log20-online-r2-t256-b1,fft-fp32-log20-b1,full,butterfly,cuButterfly-online-r2-t256,0,3,1,-1,,native,32,32,32,0,per-stage-twiddle,floating-complex,online-r2-t256,512,38,4096,6,48,0.75,512,1.0666666666666667,1.0,register,16777216,2.6666666666666665,0,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,,2,10x10,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,1,1,1048576,1000,100,1.425248,0.185303,1.357952,5396.565761,56.587093,5658709339.124935,0.000000,-1,,,,,,,,,,,,
fwht-bf16-native-log8-temporal-r4-t128-b960,fwht-bf16-native-log8-b960,full,butterfly,cuButterfly-temporal-r4-t128,0,3,960,-1,,native,16,32,16,1,implicit-sign,floating-add,temporal-r4-t128,1,38,512,12,48,0.75,960,1.0,1.0,register,983040,0.15625,0,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,960,1,256,1000,100,0.151104,0.006758,0.141376,142045449.521186,145.454540,36363635077.423492,0.000000,-1,,,,,,,,,,,,
fft-bf16-native-log15-online-r4-t256-b9,fft-bf16-native-log15-b9,full,butterfly,cuButterfly-online-r4-t256,0,1,9,-1,,native,16,32,16,1,per-stage-twiddle,floating-complex,online-r4-t256,64,50,4096,4,32,0.5,576,1.8,1.0,register,2359296,0.375,0,Tesla V100-SXM2-16GB,7.0,fft,bf16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix4,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,9,1,32768,1000,100,0.351552,0.073247,0.279328,122872.387972,30.197118,4026282409.052418,0.000000,-1,,,,,,,,,,,,
fft-bf16-native-log15-online-r2-t256-b9,fft-bf16-native-log15-b9,full,butterfly,cuButterfly-online-r2-t256,0,4,9,-1,,native,16,32,16,1,per-stage-twiddle,floating-complex,online-r2-t256,64,38,2048,6,48,0.75,576,1.2,1.0,register,2359296,0.375,0,Tesla V100-SXM2-16GB,7.0,fft,bf16,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,9,1,32768,1000,100,0.340160,0.062659,0.326656,143635.611837,35.299888,4706651728.689404,0.000000,-1,,,,,,,,,,,,
fft-fp16-fp32-log8-temporal-r4-t128-b1,fft-fp16-fp32-log8-b1,full,butterfly,cuButterfly-temporal-r4-t128,0,3,1,-1,,fp32,16,32,32,0,per-stage-twiddle,floating-complex,temporal-r4-t128,1,42,1024,10,40,0.625,1,0.00125,0.00125,register,2048,0.0003255208333333333,0,Tesla V100-SXM2-16GB,7.0,fft,fp16,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,1,1,256,1000,100,0.006144,0.003492,0.018016,286381.957226,0.293255,73313781.049825,0.000000,-1,,,,,,,,,,,,
fft-bf16-native-log15-hier-r4-t256-b1,fft-bf16-native-log15-b1,full,butterfly,cuButterfly-hier-r4-t256,0,2,1,-1,,native,16,32,16,1,per-stage-twiddle,floating-complex,hier-r4-t256,64,48,4096,5,40,0.625,64,0.16,0.16,register,262144,0.041666666666666664,0,Tesla V100-SXM2-16GB,7.0,fft,bf16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,0,0,0,15,32768,1,1,32768,1000,100,0.035040,0.025344,0.046240,39457.071849,9.696970,1292929330.342596,0.000000,-1,,,,,,,,,,,,
structured-2x2-bf16-fp32-log20-hier-r4-t256-b2,structured-2x2-bf16-fp32-log20-b2,full,butterfly,cuButterfly-hier-r4-t256,0,4,2,-1,,fp32,16,32,32,0,broadcast,floating-fma,hier-r4-t256,512,44,2048,5,40,0.625,1024,2.56,1.0,register,8388608,1.3333333333333333,0,Tesla V100-SXM2-16GB,7.0,structured-2x2,bf16,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix4,four-mul,table,direct-strided,0.92387949999999996:-0.38268340000000001:0.38268340000000001:0.92387949999999996,1,20,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,10,0,0,0,20,1048576,2,1,1048576,1000,100,0.746592,0.181299,0.728608,11031.488603,115.673542,11567354193.407412,0.000000,-1,,,,,,,,,,,,
fwht-fp32-log15-online-r2-t256-b1,fwht-fp32-log15-b1,full,butterfly,cuButterfly-online-r2-t256,0,4,1,-1,,native,32,32,32,0,implicit-sign,floating-add,online-r2-t256,64,36,2048,6,48,0.75,64,0.13333333333333333,0.13333333333333333,register,262144,0.041666666666666664,0,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,online-reorder,radix2,four-mul,table,direct-strided,,2,8x7,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,15,32768,1,1,32768,1000,100,0.039968,0.008223,0.048256,121614.264139,29.887922,3985056207.322215,0.000000,-1,,,,,,,,,,,,
