group,implementation,reference,runner,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,timing_quality,correct,throughput_vs_reference
fft14-batch256,cuButterfly-base-radix2,1,butterfly,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,5,0.722483,0.722145,0.722801,0.000908,0.000311,stable,stable,1,1.000000
fft14-batch256,cuButterfly-searched-cuFFTDx-direct,0,butterfly,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,5,0.122358,0.122092,0.122808,0.005852,0.000662,stable,stable,1,5.904665
fft14-batch256,cuFFT,0,butterfly,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,5,0.124426,0.124170,0.125358,0.009548,0.002958,stable,stable,1,5.806528
fft18-batch16,cuButterfly-base-radix2,1,butterfly,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,5,0.510863,0.510249,0.513772,0.006896,0.001002,stable,stable,1,1.000000
fft18-batch16,cuButterfly-searched-auto,0,butterfly,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,5,0.196731,0.196495,0.196884,0.001977,0.000834,stable,stable,1,2.596759
fft18-batch16,cuFFT,0,butterfly,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,5,0.213156,0.213002,0.213422,0.001970,0.001346,stable,stable,1,2.396663
fft20-batch4,cuButterfly-base-radix2,1,butterfly,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,5,0.768051,0.767191,0.769557,0.003081,0.001932,stable,stable,1,1.000000
fft20-batch4,cuButterfly-searched-auto,0,butterfly,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,5,0.217283,0.216699,0.217641,0.004335,0.003203,stable,stable,1,3.534796
fft20-batch4,cuFFT,0,butterfly,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,5,0.213975,0.213893,0.214088,0.000911,0.000285,stable,stable,1,3.589443
fft8-batch16384,cuButterfly-base-radix2,1,butterfly,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,5,0.112138,0.111985,0.116193,0.037525,0.002006,stable-with-outlier,stable-with-outlier,1,1.000000
fft8-batch16384,cuButterfly-searched-cuFFTDx,0,butterfly,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,5,0.084306,0.084234,0.084378,0.001708,0.000237,stable,stable,1,1.330131
fft8-batch16384,cuFFT,0,butterfly,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,5,0.083794,0.083712,0.084060,0.004153,0.001098,stable,stable,1,1.338258
fwht15-batch256,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,5,0.117432,0.117002,0.117944,0.008022,0.002708,stable,stable,1,5.992430
fwht15-batch256,cuButterfly-base-radix2,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,5,0.703703,0.703672,0.704277,0.000860,0.000450,stable,stable,1,1.000000
fwht15-batch256,cuButterfly-searched-warp-register,0,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,5,0.108636,0.108319,0.115866,0.069471,0.026207,stable-with-outlier,stable-with-outlier,1,6.477623
fwht15-batch512,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,5,0.210289,0.210268,0.210330,0.000295,0.000100,stable,stable,1,6.596403
fwht15-batch512,cuButterfly-base-radix2,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,5,1.387151,1.387059,1.387889,0.000598,0.000162,stable,stable,1,1.000000
fwht15-batch512,cuButterfly-searched-warp-register,0,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,5,0.195328,0.195164,0.195441,0.001418,0.000471,stable,stable,1,7.101650
fwht8-batch65536,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,5,0.165396,0.165304,0.165478,0.001052,0.000925,stable,stable,1,1.136454
fwht8-batch65536,cuButterfly-base-radix2,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,5,0.187965,0.187730,0.189399,0.008879,0.001958,stable,stable,1,1.000000
fwht8-batch65536,cuButterfly-searched-warp-register,0,butterfly,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,5,0.165151,0.165110,0.165171,0.000369,0.000248,stable,stable,1,1.138140
ntt16-batch256,cuNTT-base-radix2,1,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,5,1.163162,1.161308,1.168630,0.006295,0.001197,stable,stable,1,1.000000
