label,kernels,time_us,dram_read_mib,dram_write_mib,warp_instructions,fp32_thread_instructions,shared_load_bank_conflicts,shared_store_bank_conflicts,dram_peak_pct,l2_hit_pct,l1_hit_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,registers_per_thread,shared_mem_bytes,total_waves_per_sm,dram_total_mib,shared_bank_conflicts,profiled_gpoint_s
fwht12_hierarchical_r8,3,142.752000,48.000366,48.358459,16924672.000000,50331648.000000,625983.000000,535757.000000,78.830731,50.051587,0.000000,91.192302,5.882378,71.754941,23.000000,4096.000000,32.000000,96.358826,1161740.000000,29.381753
fwht12_warp_register,1,46.112000,16.000122,15.682861,3358720.000000,55836672.000000,6048.000000,5627.000000,80.270000,50.140000,0.000000,66.000000,8.890000,21.640000,32.000000,16384.000000,2.130000,31.682983,11675.000000,90.959056
fwht20_online_r8,2,374.752000,32.000488,33.234528,19628032.000000,85983232.000000,1355005.000000,1051320.000000,20.314999,88.905001,0.025004,91.439995,13.589862,13.489959,30.000000,4096.000000,12.800000,65.235016,2406325.000000,11.192212
fwht8_temporal_r4,1,49.280000,16.000122,16.228058,8945664.000000,33554432.000000,613477.000000,544399.000000,76.390000,50.060000,0.000000,90.820000,18.160000,48.550000,16.000000,1024.000000,12.800000,32.228180,1157876.000000,85.111688
structured12_hierarchical_r8,3,147.200000,48.000946,48.451141,19349504.000000,100663296.000000,599420.000000,537363.000000,76.507891,50.072452,28.399170,82.440926,7.330135,70.143998,39.000000,4096.000000,34.130000,96.452087,1136783.000000,28.493913
structured12_warp_register_broadcast,1,52.992000,16.000244,15.878021,6873088.000000,100663296.000000,1679.000000,5127.000000,70.280000,50.250000,0.750000,65.470000,5.780000,19.200000,40.000000,16384.000000,2.130000,31.878265,6806.000000,79.149758
structured12_warp_register_per_stage,1,56.544000,16.000305,16.061249,6963200.000000,100663296.000000,2926.000000,5107.000000,66.190000,50.330000,8.390000,56.070000,5.490000,25.520000,43.000000,16384.000000,2.560000,32.061554,8033.000000,74.177702
structured20_online_r8,2,381.376000,32.000732,33.106445,23543808.000000,169869312.000000,1327127.000000,1050523.000000,19.924684,88.910000,13.264976,69.635024,17.268686,14.644586,40.000000,4096.000000,17.060000,65.107178,2377650.000000,10.997818
structured8_temporal_r4,1,52.160000,16.000366,16.168793,10846208.000000,67108864.000000,592538.000000,547156.000000,72.010000,50.090000,49.980000,91.510000,23.910000,41.050000,28.000000,1024.000000,12.800000,32.169159,1139694.000000,80.412270
