trial,implementation,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
4,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.761344,0.047933,2.601568,85451825.364274,437.513346,87502669173.016479,0.000000,-1
5,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.764192,0.047882,2.597632,85543192.185784,437.981144,87596228798.242813,0.000000,-1
5,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,10,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,10,1024,4096,1,1024,20,100,2.768800,0.044616,2.600544,91806291.839555,470.048214,94009642843.704178,0.000000,-1
1,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.761728,0.051210,2.599168,19996000.983513,491.421720,81903620028.468323,0.000000,-1
1,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.777888,0.044964,2.604960,22773855.413583,559.690271,93281711774.037369,0.000000,-1
2,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.770816,0.045005,2.605344,22753128.574366,559.180888,93196814640.602783,0.000000,-1
2,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.762080,0.051139,2.604384,20024029.815984,492.110557,82018426126.270950,0.000000,-1
3,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.766432,0.051190,2.600960,20004000.171456,491.618308,81936384702.283142,0.000000,-1
3,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.766048,0.044974,2.595840,22768671.578877,559.562873,93260478787.080566,0.000000,-1
4,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.764448,0.045015,2.599104,22747952.287528,559.053675,93175612569.715088,0.000000,-1
4,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.761344,0.051190,2.599360,20004000.171456,491.618308,81936384702.283142,0.000000,-1
5,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.765376,0.051159,2.604960,20016013.146823,491.913539,81985589849.385345,0.000000,-1
5,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,12,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,12,4096,1024,1,4096,20,100,2.765344,0.045056,2.595776,22727272.549763,558.545450,93090908363.830948,0.000000,-1
1,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.762432,0.088044,2.607040,1453826.498280,357.292400,47638986695.635551,0.000000,-1
1,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.768800,0.069253,2.596576,1848292.262202,454.236306,60564840847.840286,0.000000,-1
2,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.765440,0.069212,2.607264,1849385.977005,454.505098,60600679694.492889,0.000000,-1
2,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.765984,0.087982,2.599840,1454841.698723,357.541896,47672252783.744942,0.000000,-1
3,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.761888,0.087992,2.603776,1454672.441258,357.500299,47666706555.136864,0.000000,-1
3,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.767584,0.069243,2.605088,1848565.519880,454.303462,60573794955.434174,0.000000,-1
4,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.765152,0.069233,2.598240,1848838.858369,454.370638,60582751711.029671,0.000000,-1
4,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.766016,0.087972,2.607040,1455011.118809,357.583533,47677804341.124962,0.000000,-1
5,structured,"Tesla V100-SXM2-16GB",7.0,structured-2x2,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1:0.25:-0.5:1,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.770176,0.087982,2.599904,1454841.698723,357.541896,47672252783.744942,0.000000,-1
5,fwht,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,none,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,15,,,,,,0,,,warp-register,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,20,100,2.768288,0.069274,2.606368,1847745.790404,454.102005,60546934059.958832,0.000000,-1
