trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x128,4x8,table,direct-strided,global-scratch,2,256x128,4x8,shared,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,10.976512,0.383734,10.112768,166782.307008,87.441962,10930245272.070263,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x128,4x8,table,direct-strided,global-scratch,2,256x128,4x8,shared,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,10.964320,0.383949,10.115648,166688.903511,87.392992,10924123980.488983,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x128,4x8,table,direct-strided,global-scratch,2,256x128,4x8,shared,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,10.932640,0.384492,10.113632,166453.600405,87.269625,10908703156.156988,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x128,4x8,table,direct-strided,global-scratch,2,256x128,4x8,shared,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,10.939712,0.383939,10.120384,166693.341530,87.395319,10924414830.528671,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,256x128,4x8,table,direct-strided,global-scratch,2,256x128,4x8,shared,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,11.020000,0.384481,10.116160,166458.038806,87.271952,10908994031.209396,0.000000,-1
