rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,cufft,auto,four-mul,table,shared,scalar,0,0,0,0,8,8,0,0,0,0,0,0,named-barrier,5,0.342927,0.342743,0.343204,97.847052,1.000000
2,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,256,128,4,8,4,4,8,1,0,0,named-barrier,5,0.383949,0.383734,0.384492,87.392992,1.119623
3,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,5,0.521492,0.520755,0.522916,64.343079,1.520708
