trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,32,0,0,8,256,16384,1,256,20,100,2.791712,0.061829,2.609376,264988407.096939,271.348129,67837032216.816307,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,8,256,16384,1,256,20,100,2.775168,0.052511,2.599968,312012482.006371,319.500782,79875195393.630936,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,8,256,16384,1,256,20,100,2.773568,0.052511,2.599168,312012482.006371,319.500782,79875195393.630936,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,8,256,16384,1,256,20,100,2.776800,0.052511,2.607552,312012482.006371,319.500782,79875195393.630936,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,8,256,16384,1,256,20,100,2.775168,0.052552,2.605536,311769294.799491,319.251758,79812939468.669647,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,8,256,16384,1,256,20,100,2.776768,0.052531,2.604224,311890852.057508,319.376233,79844058126.721939,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,8,256,16384,1,256,20,100,2.777248,0.051313,2.602496,319297543.475262,326.960685,81740171129.667114,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,8,256,16384,1,256,20,100,2.786176,0.051292,2.604896,319425020.062192,327.091221,81772805135.921173,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,8,256,16384,1,256,20,100,2.769536,0.051292,2.595040,319425020.062192,327.091221,81772805135.921173,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,8,256,16384,1,256,20,100,2.794720,0.051446,2.609536,318471338.614292,326.114651,81528662685.258789,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,8,256,16384,1,256,20,100,2.772672,0.051261,2.598944,319616460.749799,327.287256,81821813951.948441,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,8,256,16384,1,256,20,100,2.696032,0.052091,2.681216,314527229.102629,322.075883,80518970650.273087,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,8,256,16384,1,256,20,100,2.795008,0.052050,2.672128,314774739.551636,322.329333,80582333325.218842,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,8,256,16384,1,256,20,100,2.807360,0.052091,2.670368,314527229.102629,322.075883,80518970650.273087,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,8,256,16384,1,256,20,100,2.826496,0.052060,2.688608,314712819.796615,322.265927,80566481867.933502,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,8,256,16384,1,256,20,100,2.788704,0.052101,2.641888,314465406.675977,322.012576,80503144109.050125,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,0,0,8,256,16384,1,256,20,100,2.783904,0.069376,2.684320,236162364.102240,241.830261,60457565210.173370,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,0,0,8,256,16384,1,256,20,100,2.796576,0.069417,2.605344,236023003.525925,241.687556,60421888902.636879,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,0,0,8,256,16384,1,256,20,100,2.782624,0.069335,2.610016,236301863.955181,241.973109,60493277172.526260,0.000000,-1
