trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,20,1048576,4,1,1048576,50,100,2.777376,0.488038,2.592416,8196.076027,85.942086,8594208616.157986,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,20,1048576,4,1,1048576,50,100,2.780000,0.487854,2.592128,8199.172775,85.974558,8597455791.576456,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,20,1048576,4,1,1048576,50,100,2.769504,0.488049,2.590656,8195.904360,85.940286,8594028610.145885,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,20,1048576,4,1,1048576,50,100,2.764640,0.492411,2.591488,8123.297056,85.178943,8517894334.302513,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,50,100,5.494976,0.293396,5.228128,3490157.839222,85.774119,14295686509.454782,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,50,100,5.500608,0.293396,5.174272,3490157.839222,85.774119,14295686509.454782,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,50,100,5.476224,0.293560,5.565856,3488209.778229,85.726244,14287707251.625898,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,50,100,5.467744,0.293263,5.665248,3491742.197304,85.813056,14302176040.158186,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,50,100,5.609760,0.293530,5.170240,3488574.918275,85.735217,14289202865.255409,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,12,4096,1024,1,4096,50,100,5.504512,0.088832,5.191584,11527377.728222,283.296835,47216139174.797523,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,12,4096,1024,1,4096,50,100,5.532448,0.088883,5.174688,11520737.483027,283.133644,47188940730.476990,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,12,4096,1024,1,4096,50,100,5.499168,0.088914,5.243424,11516757.199704,283.035825,47172637489.987450,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,12,4096,1024,1,4096,50,100,5.527296,0.088893,5.170304,11519409.772597,283.101015,47183502428.558167,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,12,4096,1024,1,4096,50,100,5.534688,0.088852,5.170880,11524720.518536,283.231531,47205255243.922935,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,14,16384,256,1,16384,50,100,5.598496,0.456940,5.183712,560249.200742,64.253860,9179122904.957142,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,14,16384,256,1,16384,50,100,5.594816,0.456919,5.180960,560274.341627,64.256744,9179534813.216419,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,14,16384,256,1,16384,50,100,5.607776,0.456868,5.160320,560337.130608,64.263945,9180563547.889162,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,14,16384,256,1,16384,50,100,5.606176,0.456888,5.151360,560311.984088,64.261061,9180151547.303085,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,14,16384,256,1,16384,50,100,5.615808,0.456888,5.162400,560311.984088,64.261061,9180151547.303085,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,14,16384,256,1,16384,50,100,5.525056,0.122747,5.172096,2085592.770100,239.192464,34170351945.325489,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,14,16384,256,1,16384,50,100,5.558624,0.122552,5.154912,2088903.737160,239.572192,34224598829.628178,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,14,16384,256,1,16384,50,100,5.518592,0.123320,5.192960,2075894.731519,238.080215,34011459281.208843,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,14,16384,256,1,16384,50,100,5.534656,0.122962,5.183808,2081945.310831,238.774144,34110591972.652874,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,14,16384,256,1,16384,50,100,5.512960,0.122624,5.176384,2087682.758270,239.432160,34204594311.501900,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,16,65536,64,1,65536,50,100,5.608224,0.627507,5.177248,101990.860030,53.472584,6684073002.898225,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,16,65536,64,1,65536,50,100,5.577600,0.627456,5.168256,101999.182480,53.476947,6684618423.036839,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,16,65536,64,1,65536,50,100,5.605728,0.627579,5.168704,101979.207006,53.466474,6683309310.315569,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,16,65536,64,1,65536,50,100,5.602816,0.627630,5.155424,101970.897498,53.462118,6682764738.424398,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,16,65536,64,1,65536,50,100,5.583328,0.627261,5.164640,102030.827941,53.493539,6686692339.924551,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,16,65536,64,1,65536,50,100,5.505760,0.179159,5.239232,357224.527763,187.288533,23411066651.506149,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,16,65536,64,1,65536,50,100,5.491072,0.179118,5.858048,357306.193274,187.331349,23416418682.410774,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,16,65536,64,1,65536,50,100,5.469120,0.179364,5.199008,356816.611315,187.074668,23384333439.118233,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,16,65536,64,1,65536,50,100,5.483232,0.179610,5.292256,356328.398735,186.818704,23352337939.503189,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,16,65536,64,1,65536,50,100,5.489760,0.179333,5.608928,356877.746796,187.106720,23388340013.990711,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,18,262144,16,1,262144,50,100,5.487776,0.812247,5.252864,19698.440565,46.474452,5163828003.495351,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,18,262144,16,1,262144,50,100,5.506496,0.812114,5.182816,19701.668938,46.482069,5164674302.109848,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,18,262144,16,1,262144,50,100,5.484416,0.812268,5.198336,19697.943319,46.473279,5163697653.441240,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,18,262144,16,1,262144,50,100,5.459040,0.812339,5.177504,19696.206046,46.469180,5163242237.767550,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,18,262144,16,1,262144,50,100,5.549120,0.812278,5.168736,19697.696151,46.472696,5163632859.787438,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,18,262144,16,1,262144,50,100,5.502688,0.211743,5.213152,75563.397522,178.276422,19808491280.086845,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,18,262144,16,1,262144,50,100,5.459360,0.211988,5.180992,75475.794526,178.069740,19785526680.301220,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,18,262144,16,1,262144,50,100,5.483072,0.212163,5.180320,75413.873365,177.923650,19769294419.313740,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,18,262144,16,1,262144,50,100,5.497600,0.211640,7.985184,75599.963698,178.362692,19818076883.559258,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,0,named-barrier,0,0,0,0,18,262144,16,1,262144,50,100,5.500448,0.211948,5.164320,75490.387109,178.104168,19789352038.358337,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,20,1048576,4,1,1048576,50,100,5.456160,1.199575,5.183520,3334.514122,34.964915,3496491480.108301,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,20,1048576,4,1,1048576,50,100,5.450368,1.199954,6.445824,3333.461356,34.953876,3495387574.600015,0.000000,-1
