trial,device,compute_capability,operator,backend,stage_space,stage_handoff,logN,N,batch,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,"Tesla V100-SXM2-16GB",7.0,xor-zeta,temporal-tile,4,named-barrier,8,256,16384,20,100,2.764000,0.051732,2.599872,316706274.534773,324.307225,81076806280.901962,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,xor-zeta,temporal-tile,4,named-barrier,8,256,16384,20,100,2.768608,0.051722,2.595264,316768958.461571,324.371413,81092853366.162094,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,xor-zeta,temporal-tile,4,named-barrier,8,256,16384,20,100,2.774144,0.051794,2.603136,316330577.572960,323.922511,80980627858.677826,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,1,named-barrier,8,256,16384,20,100,2.782688,0.353300,2.607072,46374122.972161,47.487102,11871775480.873100,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,1,named-barrier,8,256,16384,20,100,2.785984,0.353229,2.609184,46383532.867290,47.496738,11874184414.026131,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,1,named-barrier,8,256,16384,20,100,2.781568,0.353352,2.609696,46367403.397035,47.480221,11870055269.641037,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,1,named-barrier,8,256,16384,20,100,2.784352,0.353321,2.613152,46371435.690690,47.484350,11871087536.816547,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,1,named-barrier,8,256,16384,20,100,2.790144,0.353126,2.615712,46396983.319712,47.510511,11877627729.846241,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,2,named-barrier,8,256,16384,20,100,2.779520,0.224041,2.620672,73129481.562753,74.884589,18721147280.064728,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,2,named-barrier,8,256,16384,20,100,2.784192,0.223969,2.607264,73152889.304050,74.908559,18727139661.836697,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,2,named-barrier,8,256,16384,20,100,2.792128,0.224020,2.603392,73136170.045019,74.891438,18722859531.524780,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,2,named-barrier,8,256,16384,20,100,2.816352,0.224000,2.606816,73142859.750865,74.898288,18724572096.221325,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,2,named-barrier,8,256,16384,20,100,2.779680,0.224133,2.604384,73099410.675127,74.853797,18713449132.832493,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,4,named-barrier,8,256,16384,20,100,2.778336,0.186491,2.602944,87854162.815094,89.962663,22490665680.664082,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,4,named-barrier,8,256,16384,20,100,2.763680,0.186460,2.591712,87868640.032081,89.977487,22494371848.212864,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,4,named-barrier,8,256,16384,20,100,2.772256,0.186522,2.600640,87839690.367847,89.947843,22486960734.168751,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,xor-zeta,stage-pipeline,4,named-barrier,8,256,16384,20,100,2.772960,0.186481,2.590048,87858985.683811,89.967601,22491900335.055706,0.000000,-1
