trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,8,256,16384,1,256,10,50,2.948896,0.052470,2.602688,312256048.892617,319.750194,79937548516.510056,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,8,256,16384,1,256,10,50,2.769728,0.051220,2.595040,319872048.977289,327.548978,81887244538.186081,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,8,256,16384,1,256,10,50,2.805024,0.052060,2.613216,314712819.796615,322.265927,80566481867.933502,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,0,0,8,256,16384,1,256,10,50,2.764992,0.069345,2.596192,236266979.890121,241.937387,60484346851.871086,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,1,0,8,256,16384,1,256,10,50,2.782816,0.066580,2.597152,246078123.052755,251.983998,62995999501.505371,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,2,0,8,256,16384,1,256,10,50,2.768896,0.063570,2.592224,257731965.757055,263.917533,65979383233.806023,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,3,0,8,256,16384,1,256,10,50,2.796480,0.061092,2.596416,268186404.721446,274.622878,68655719608.690048,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,4,0,8,256,16384,1,256,10,50,2.769696,0.056443,2.595200,290275766.394764,297.242385,74310596197.059647,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,5,0,8,256,16384,1,256,10,50,2.765248,0.054600,2.613120,300075018.718943,307.276819,76819204792.049393,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,4,8,256,16384,1,256,10,50,2.799456,0.360817,2.595168,45408103.139028,46.497898,11624474403.591047,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,4,8,256,16384,1,256,10,50,2.825184,0.321126,2.608160,51020407.936956,52.244898,13061224431.860750,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,4,8,256,16384,1,256,10,50,2.819584,0.306729,2.596288,53415236.855861,54.697203,13674300635.100498,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,8,8,256,16384,1,256,10,50,2.781600,0.356536,2.596192,45953241.442423,47.056119,11764029809.260164,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,8,8,256,16384,1,256,10,50,2.785472,0.226263,2.610144,72411294.157317,74.149165,18537291304.273060,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,8,8,256,16384,1,256,10,50,2.767840,0.190095,2.604896,86188319.193947,88.256839,22064209713.650547,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,8,named-barrier,0,0,8,8,256,16384,1,256,10,50,2.834080,0.200622,2.600160,81665985.401737,83.625969,20906492262.844784,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,8,256,16384,1,256,10,50,2.767520,0.072806,2.599840,225035152.345038,230.435996,57608999000.329720,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,8,256,16384,1,256,10,50,2.799456,0.059023,2.601248,277585002.635010,284.247043,71061760674.562546,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,8,256,16384,1,256,10,50,2.839552,0.056054,2.604128,292290841.537771,299.305822,74826455433.669418,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,256,0,0,8,256,16384,1,256,10,50,2.770112,0.063836,2.597280,256657052.794930,262.816822,65704205515.501976,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,32,0,0,8,256,16384,1,256,10,50,2.791872,0.062116,2.608672,263765246.321869,270.095612,67523903058.398491,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,8,256,16384,1,256,10,50,2.803040,0.052572,2.600256,311647832.256726,319.127380,79781845057.721848,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,8,256,16384,1,256,10,50,2.800928,0.051528,2.608000,317965007.236845,325.596167,81399041852.632217,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,8,256,16384,1,256,10,50,2.774048,0.052040,2.598432,314836683.676878,322.392764,80598191021.280884,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,0,0,8,256,16384,1,256,10,50,2.769824,0.069325,2.596000,236336783.722748,242.008867,60502216633.023369,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,1,0,8,256,16384,1,256,10,50,2.802624,0.066560,2.605824,246153845.483735,252.061538,63015384443.836105,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,2,0,8,256,16384,1,256,10,50,2.797088,0.063631,2.608576,257483119.818427,263.662715,65915678673.517197,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,3,0,8,256,16384,1,256,10,50,2.820480,0.061071,2.599200,268276330.671541,274.714963,68678740651.914589,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,4,0,8,256,16384,1,256,10,50,2.804480,0.056484,2.599392,290065252.192779,297.026818,74256704561.351456,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,5,0,8,256,16384,1,256,10,50,2.814112,0.054620,2.596704,299962495.611373,307.161596,76790398876.511429,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,4,8,256,16384,1,256,10,50,2.802688,0.360878,2.596608,45400374.536783,46.489984,11622495881.416386,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,4,8,256,16384,1,256,10,50,2.802304,0.321352,2.598624,50984646.052796,52.208278,13052069389.515793,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,4,8,256,16384,1,256,10,50,2.816448,0.307589,2.592800,53265864.328749,54.544245,13636061268.159666,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,8,8,256,16384,1,256,10,50,2.803968,0.356721,2.593152,45929496.140000,47.031804,11757951011.839952,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,8,8,256,16384,1,256,10,50,2.829088,0.226304,2.680736,72398191.755003,74.135748,18533937089.280807,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,8,8,256,16384,1,256,10,50,2.780160,0.190566,2.670432,85975279.555576,88.038686,22009671566.227516,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,stage-pipeline,radix2,8,named-barrier,0,0,8,8,256,16384,1,256,10,50,2.797056,0.201462,2.673984,81325612.531897,83.277427,20819356808.165524,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,10,1024,4096,1,1024,10,50,2.769472,0.104305,2.675296,39269585.146703,201.060276,40212055190.224358,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,10,1024,4096,1,1024,10,50,2.773280,0.072704,2.667424,56338026.416849,288.450695,57690139050.853615,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,10,1024,4096,1,1024,10,50,2.793952,0.065290,2.682176,62735254.876238,321.204505,64240900993.267685,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,256,0,0,10,1024,4096,1,1024,10,50,2.787360,0.061460,2.672256,66644451.747503,341.219593,68243918589.442764,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,32,0,0,10,1024,4096,1,1024,10,50,2.766560,0.085053,2.824992,48157955.889443,246.568734,49313746830.789932,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,10,1024,4096,1,1024,10,50,2.775680,0.062116,2.684448,65941311.580467,337.619515,67523903058.398491,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,10,1024,4096,1,1024,10,50,2.821344,0.056975,2.686944,71890724.885311,368.080511,73616102282.558624,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,10,1024,4096,1,1024,10,50,2.812736,0.056832,2.685024,72072071.294420,369.009005,73801801005.486465,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,10,1024,4096,1,1024,10,50,2.842432,0.105001,2.728832,39009165.186297,199.726926,39945385150.768349,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,10,1024,4096,1,1024,10,50,2.812512,0.072847,2.720320,56227158.579775,287.883052,57576610385.689377,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,10,1024,4096,1,1024,10,50,2.850016,0.065434,2.954400,62597809.980906,320.500787,64100157420.447762,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,256,0,0,10,1024,4096,1,1024,10,50,2.769440,0.061522,3.194848,66577894.724234,340.878821,68175764197.616112,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,32,0,0,10,1024,4096,1,1024,10,50,2.785408,0.085524,2.667264,47892717.778059,245.210715,49042143004.732681,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,10,1024,4096,1,1024,10,50,2.765440,0.062321,3.258784,65724615.504664,336.510031,67302006276.776314,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,10,1024,4096,1,1024,10,50,2.776384,0.057221,2.710880,71581958.736155,366.499629,73299925745.822998,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,10,1024,4096,1,1024,10,50,2.764704,0.056812,2.670304,72098054.663321,369.142040,73828407975.240753,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,4,16,262144,1,16,10,50,5.468864,0.427049,5.176864,613850002.788536,19.643200,9821600044.616570,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,4,16,262144,1,16,10,50,5.469600,0.427110,5.379072,613761682.418251,19.640374,9820186918.692020,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,4,16,262144,1,16,10,50,5.479648,0.427151,6.220256,613702802.016798,19.638490,9819244832.268761,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,256,0,0,4,16,262144,1,16,10,50,5.498496,0.545014,5.186688,480985998.961046,15.391552,7695775983.376740,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,32,0,0,4,16,262144,1,16,10,50,5.496192,0.426783,6.760448,614232918.221296,19.655453,9827726691.540743,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,4,16,262144,1,16,10,50,5.503648,0.426783,5.188512,614232918.221296,19.655453,9827726691.540743,0.000000,-1
