rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,4,8,4,4,8,1,0,0,named-barrier,5,0.342098,0.341893,0.342170,98.084286,1.000000
2,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,cufft,auto,four-mul,table,shared,linear,scalar,0,0,0,0,8,8,0,0,0,0,0,0,named-barrier,5,0.342856,0.342610,0.343040,97.867508,1.002216
3,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,128,4,8,4,4,8,1,0,0,named-barrier,5,0.345027,0.344791,0.345201,97.251738,1.008562
4,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,linear,cufftdx-block,0,32,256,128,4,8,4,4,8,1,0,0,named-barrier,5,0.369459,0.369142,0.369940,90.820404,1.079980
5,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,5,0.521226,0.520520,0.522824,64.375947,1.523616
