rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
23,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,128,512,4,4,2,8,8,1,0,0,named-barrier,3,0.425165,0.425165,0.425595,78.921004,1.107082
24,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,128,256,4,8,2,8,8,1,0,0,named-barrier,3,0.426332,0.426004,0.426476,78.704902,1.110121
25,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,512,512,4,8,8,16,8,1,0,0,named-barrier,3,0.435466,0.435036,0.435671,77.054039,1.133905
26,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,256,128,8,4,8,2,8,1,0,0,named-barrier,3,0.435692,0.435671,0.504607,77.014193,1.134493
27,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,512,128,4,4,8,2,8,1,0,0,named-barrier,3,0.436797,0.432189,0.513761,76.819205,1.137371
28,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,256,512,8,8,8,16,8,1,0,0,named-barrier,3,0.437330,0.436818,0.437924,76.725678,1.138759
29,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,128,512,4,8,2,16,8,1,0,0,named-barrier,3,0.441856,0.441795,0.441877,75.939746,1.150544
30,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,128,128,4,4,2,2,8,1,0,0,named-barrier,3,0.444477,0.443679,0.446136,75.491868,1.157369
31,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,512,128,8,8,16,4,8,1,0,0,named-barrier,3,0.492564,0.492237,0.492831,68.121909,1.282582
32,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,512,256,8,4,16,4,8,1,0,0,named-barrier,3,0.493978,0.493855,0.494080,67.927035,1.286264
33,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,512,512,8,4,16,8,8,1,0,0,named-barrier,3,0.498258,0.497992,0.498770,67.343502,1.297408
34,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,512,256,8,8,16,8,8,1,0,0,named-barrier,3,0.498995,0.498975,0.499323,67.243996,1.299327
35,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,512,512,8,8,16,16,8,1,0,0,named-barrier,3,0.514191,0.513761,0.514335,65.256698,1.338896
36,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,512,128,8,4,16,2,8,1,0,0,named-barrier,3,0.514437,0.512922,0.514662,65.225532,1.339537
