search_stage,trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,512,6,1,0,0,16,65536,64,1,65536,10,30,5.561632,0.227328,5.118912,281531.528494,147.603602,18450450251.371616,0.000000,-1
confirm,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,18,262144,16,1,262144,10,30,5.469248,0.227260,5.113184,70404.027711,166.103941,18455993440.403088,0.000000,-1
confirm,2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,18,262144,16,1,262144,10,30,5.471424,0.226748,5.116960,70562.997711,166.478998,18497666471.990566,0.000000,-1
confirm,3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,18,262144,16,1,262144,10,30,5.474912,0.226918,5.115808,70509.928005,166.353791,18483754566.888508,0.000000,-1
confirm,4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,18,262144,16,1,262144,10,30,5.489472,0.226475,5.122432,70648.076535,166.679724,18519969375.225830,0.000000,-1
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,18,262144,16,1,262144,10,30,5.466624,0.226577,5.114944,70616.152008,166.604405,18511600552.060135,0.000000,-1
confirm,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,10,30,5.468672,0.212275,5.117248,75373.851817,177.829227,19758803010.642761,0.000000,-1
confirm,2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,10,30,5.468576,0.211797,5.113216,75543.918526,178.230465,19803384978.022694,0.000000,-1
confirm,3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,10,30,5.488992,0.212514,5.135264,75289.110563,177.629297,19736588599.403347,0.000000,-1
confirm,4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,10,30,5.470848,0.212275,5.117440,75373.851817,177.829227,19758803010.642761,0.000000,-1
