trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.470208,0.099707,5.105440,5258293069.298395,63.099517,42066344554.387161,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.468288,0.099615,5.108864,5263158049.739938,63.157897,42105264397.919502,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.482752,0.109363,5.101984,2397003619.709151,76.704116,38352057915.346420,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.476704,0.109210,5.106752,2400374958.347072,76.811999,38405999333.553146,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.513952,0.109240,5.100992,2399699964.890982,76.790399,38395199438.255714,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.390016,0.109353,5.104192,2397228178.963346,76.711302,38355650863.413536,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.501088,0.109087,5.105184,2403078897.854108,76.898525,38449262365.665733,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.530880,0.105953,5.100096,2474147011.525997,79.172704,39586352184.415955,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.530304,0.106025,5.231936,2472474448.158380,79.119182,39559591170.534073,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.551040,0.106004,5.179552,2472952167.101875,79.134469,39567234673.629997,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.501216,0.105994,5.100800,2473190835.037652,79.142107,39571053360.602440,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.474368,0.106004,5.110848,2472952167.101875,79.134469,39567234673.629997,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.504352,0.108493,5.097856,2416233926.715763,77.319486,38659742827.452202,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.497728,0.108585,5.098400,2414183430.771429,77.253870,38626934892.342857,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.469248,0.108513,5.119328,2415778033.709854,77.304897,38652448539.357658,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.473024,0.108513,5.104992,2415778033.709854,77.304897,38652448539.357658,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.477024,0.108595,5.109760,2413955683.883552,77.246582,38623290942.136826,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.462464,0.112548,5.107488,2329178476.698167,74.533711,37266855627.170677,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.455168,0.112538,5.097344,2329390352.797348,74.540491,37270245644.757561,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.463040,0.112712,5.109248,2325792770.964122,74.425369,37212684335.425957,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.456192,0.112650,5.107392,2327061064.126575,74.465954,37232977026.025192,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.489888,0.112558,5.104352,2328966484.977252,74.526928,37263463759.636040,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,5,32,131072,1,32,20,100,5.472704,0.105308,5.102016,1244651884.229355,99.572151,39828860295.339355,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,5,32,131072,1,32,20,100,5.464576,0.105288,5.102336,1244894006.761786,99.591521,39836608216.377159,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,5,32,131072,1,32,20,100,5.456384,0.105247,5.100384,1245378534.537687,99.630283,39852113105.205978,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,5,32,131072,1,32,20,100,5.463328,0.105103,5.102880,1247077179.197963,99.766174,39906469734.334824,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,5,32,131072,1,32,20,100,5.452032,0.105380,5.099872,1243805240.514618,99.504419,39801767696.467781,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,5,32,131072,1,32,20,100,5.468352,0.103383,5.102208,1267828910.951095,101.426313,40570525150.435043,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,5,32,131072,1,32,20,100,5.480864,0.103352,5.097120,1268205739.580685,101.456459,40582583666.581917,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,5,32,131072,1,32,20,100,5.487200,0.103444,5.104160,1267075833.846283,101.366067,40546426683.081047,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,5,32,131072,1,32,20,100,5.464960,0.103342,5.107424,1268335300.444633,101.466824,40586729614.228271,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,5,32,131072,1,32,20,100,5.464960,0.103322,5.096608,1268582792.281572,101.486623,40594649353.010292,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,5,32,131072,1,32,20,100,5.474080,0.105718,5.106400,1239829484.683771,99.186359,39674543509.880684,0.000000,-1
