trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,12,4096,1024,1,4096,20,100,5.462592,0.092467,5.106080,11074196.673236,272.159457,45359909573.573471,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,12,4096,1024,1,4096,20,100,5.463712,0.092570,5.112992,11061947.253330,271.858416,45309735949.639427,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,12,4096,1024,1,4096,20,100,5.474592,0.092457,5.111424,11075423.732225,272.189614,45364935607.195312,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,12,4096,1024,1,4096,20,100,5.463520,0.092488,5.112608,11071745.154584,272.099209,45349868153.177277,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,12,4096,1024,1,4096,20,100,5.487200,0.092457,5.108000,11075423.732225,272.189614,45364935607.195312,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.457184,0.212982,5.104256,4807923.446529,118.159527,19693254436.984238,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.466080,0.212972,5.109120,4808154.889816,118.165215,19694202428.686375,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.467680,0.213207,5.106048,4802843.367546,118.034679,19672446433.467182,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.496096,0.213596,5.122656,4794093.894774,117.819652,19636608592.994305,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.478880,0.213780,5.119712,4789960.296141,117.718064,19619677372.991791,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.458208,0.214057,5.108224,4783773.246308,117.566011,19594335216.876434,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.468096,0.214170,5.107040,4781257.656785,117.504188,19584031362.189842,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.465344,0.214190,5.107360,4780800.288965,117.492948,19582157983.601147,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.465632,0.214221,5.101856,4780114.900035,117.476104,19579350630.542858,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.480256,0.214047,5.106400,4784002.037254,117.571634,19595272344.592785,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.476256,0.195860,5.101856,5228211.554283,128.488527,21414754526.344620,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.488224,0.196127,5.114400,5221113.939523,128.314096,21385682696.286430,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.473376,0.195727,5.123712,5231767.204686,128.575911,21429318470.391987,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.490048,0.196147,5.120544,5220569.346926,128.300712,21383452045.009975,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.480736,0.195983,5.132992,5224933.641317,128.407969,21401328194.833725,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.469632,0.183388,5.118496,5583784.729484,137.227094,22871182251.965656,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.475904,0.183112,5.113152,5592215.558440,137.434290,22905714927.370712,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.480608,0.183276,5.134688,5587216.424330,137.311431,22885238474.055183,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.461824,0.183378,5.108352,5584096.445036,137.234754,22872459038.866322,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.475168,0.183030,5.108832,5594718.253966,137.495796,22915965968.243382,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.458304,0.136223,5.104896,7517101.397631,184.740284,30790047324.698372,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.401056,0.134994,5.112768,7585527.332391,186.421920,31070319953.472721,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.494208,0.136571,5.114144,7497937.749840,184.269318,30711553023.344490,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.527648,0.136827,5.120448,7483909.986783,183.924572,30654095305.864239,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.472672,0.136591,5.116384,7496813.855596,184.241697,30706949552.522987,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.457664,0.128788,5.108160,7951021.328268,195.404300,32567383360.585842,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.465312,0.128788,5.103328,7951021.328268,195.404300,32567383360.585842,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.514336,0.128840,5.107296,7947861.623345,195.326647,32554441209.219452,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.500416,0.128737,5.119744,7954184.467184,195.482037,32580339577.584213,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,512,6,1,0,0,12,4096,1024,1,4096,20,100,5.491296,0.128717,5.113408,7955449.690775,195.513132,32585521933.413116,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.513024,0.121641,5.108928,8418217.167524,206.886105,34481017518.178230,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.500672,0.121692,5.117696,8414675.312346,206.799060,34466510079.369530,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.509600,0.122931,5.113408,8329862.236339,204.714694,34119115720.044437,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.660672,0.121293,5.160384,8442380.771471,207.479950,34579991639.946915,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.510528,0.121549,5.109440,8424600.232818,207.042975,34507162553.624146,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.490656,0.120771,5.114944,8478887.660176,208.377143,34729523856.079414,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.489664,0.120197,5.109696,8519338.560559,209.371264,34895210744.050751,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.531840,0.120156,5.111840,8522242.948897,209.442643,34907107118.682503,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.499552,0.120617,5.115648,8489685.205462,208.642504,34773750601.572159,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-resident,0,named-barrier,1024,6,1,0,0,12,4096,1024,1,4096,20,100,5.494816,0.120412,5.111392,8504124.783884,208.997371,34832895114.788116,0.000000,-1
