rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
26,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,256,256,8,8,8,8,8,1,0,0,named-barrier,3,0.404644,0.404562,0.405094,82.923374,1.118738
27,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,512,128,4,4,8,2,8,1,0,0,named-barrier,3,0.408453,0.408289,0.409641,82.150023,1.129268
28,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,512,512,4,8,8,16,8,1,0,0,named-barrier,3,0.409989,0.409661,0.410132,81.842250,1.133515
29,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,256,128,8,4,8,2,8,1,0,0,named-barrier,3,0.419656,0.418836,0.419840,79.957054,1.160242
30,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,256,512,8,8,8,16,8,1,0,0,named-barrier,3,0.420024,0.419983,0.420250,79.886876,1.161259
31,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,512,128,8,8,16,4,8,1,0,0,named-barrier,3,0.476652,0.476631,0.476959,70.396146,1.317821
32,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,512,256,8,4,16,4,8,1,0,0,named-barrier,3,0.478147,0.478044,0.478228,70.176041,1.321955
33,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,512,512,8,4,16,8,8,1,0,0,named-barrier,3,0.482570,0.482406,0.482611,69.532743,1.334183
34,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,512,256,8,8,16,8,8,1,0,0,named-barrier,3,0.482877,0.482755,0.483287,69.488507,1.335032
35,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,512,128,8,4,16,2,8,1,0,0,named-barrier,3,0.498586,0.497193,0.499589,67.299243,1.378463
36,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,512,512,8,8,16,16,8,1,0,0,named-barrier,3,0.498831,0.498627,0.498995,67.266083,1.379141
