trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,radix4,four-mul,table,direct-strided,2,8x8,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,8,1,0,0,16,65536,64,1,65536,1000,100,10.986720,0.522373,10.126528,122517.784925,64.234604,8029325552.876225,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,radix4,four-mul,table,direct-strided,2,8x8,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,8,1,0,0,16,65536,64,1,65536,1000,100,10.932960,0.522916,10.126816,122390.631697,64.167940,8020992438.870215,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,radix4,four-mul,table,direct-strided,2,8x8,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,8,1,0,0,16,65536,64,1,65536,1000,100,10.927392,0.520755,10.125504,122898.443393,64.434179,8054272386.190768,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,radix4,four-mul,table,direct-strided,2,8x8,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,8,1,0,0,16,65536,64,1,65536,1000,100,10.932320,0.521492,10.129344,122724.684062,64.343079,8042884894.703877,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,radix4,four-mul,table,direct-strided,2,8x8,0x0,8x8,table,direct-strided,global-scratch,2,0x0,8x8,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,8,1,0,0,16,65536,64,1,65536,1000,100,10.943456,0.521370,10.126304,122753.614500,64.358247,8044780879.861624,0.000000,-1
