case_id,group,implementation,reference,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,correct,operator,precision,direction,normalization,placement,logN,N,performance_batch,element_stride,batch_stride,word_bits,modulus_bits,inverse,output_order,backend,compute_unit,fft_core,local_exchange,cross_twiddle,million_transforms_s,billion_points_s,comparison_basis,basis_implementation,basis_kernel_ms,throughput_vs_basis,performance_class
fft18_cub,fft-fp32-fwd-log18,cuButterfly-auto-vectorized,0,5,0.195942000,0.195389000,0.196137000,0.003817,0.001148,stable,1,fft,fp32,forward,none,in-place,18,262144,16,1,262144,,,,,online-reorder,auto,cufftdx-block,shared,recurrence,0.081657,21.405845,declared-reference,cuFFT,0.211097598,1.077347,faster
fft18_vkfft,fft-fp32-fwd-log18,VkFFT,0,5,0.201103359,0.201052144,0.201287687,0.001171,0.000713,stable,1,fft,fp32,forward,none,in-place,18,262144,16,1,262144,,,,,,,,,,0.079561,20.856459,declared-reference,cuFFT,0.211097598,1.049697,faster
fft18_cufft,fft-fp32-fwd-log18,cuFFT,1,5,0.211097598,0.211077124,0.211527675,0.002134,0.001940,stable,1,fft,fp32,forward,none,in-place,18,262144,16,1,262144,,,,,,,,,,0.075794,19.869028,declared-reference,cuFFT,0.211097598,1.000000,parity
fft20_vkfft,fft-fp32-fwd-log20,VkFFT,0,5,0.206520334,0.206059515,0.206653446,0.002876,0.001140,stable,1,fft,fp32,forward,none,in-place,20,1048576,4,1,1048576,,,,,,,,,,0.019369,20.309400,declared-reference,cuFFT,0.210329607,1.018445,parity
fft20_cufft,fft-fp32-fwd-log20,cuFFT,1,5,0.210329607,0.210216954,0.210462719,0.001168,0.000779,stable,1,fft,fp32,forward,none,in-place,20,1048576,4,1,1048576,,,,,,,,,,0.019018,19.941577,declared-reference,cuFFT,0.210329607,1.000000,parity
fft20_cub,fft-fp32-fwd-log20,cuButterfly-auto-vectorized,0,5,0.214733000,0.213985000,0.218593000,0.021459,0.003861,stable,1,fft,fp32,forward,none,in-place,20,1048576,4,1,1048576,,,,,online-reorder,auto,cufftdx-block,shared,recurrence,0.018628,19.532648,declared-reference,cuFFT,0.210329607,0.979494,parity
