trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,logN,N,batch,element_stride,batch_stride,kernel_ms,transforms_s,Gbutterfly_s,max_roundtrip_error,correct
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.044012,93066539.745620,476.500683,0.000000,1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.027341,37453182.476521,920.449413,0.000977,1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.027331,37467215.247868,920.794282,0.000977,1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.027341,37453182.476521,920.449413,0.000977,1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.027372,37411147.160808,919.416353,0.000977,1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.027361,37425148.444779,919.760448,0.000977,1
1,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.028641,35752590.654943,878.655668,0.007812,1
2,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.028662,35727046.744892,878.027901,0.007812,1
3,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.028652,35739815.622754,878.341709,0.007812,1
4,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.028621,35778174.098004,879.284407,0.007812,1
5,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.028549,35868005.203447,881.492096,0.007812,1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.044073,23234199.790755,571.003694,0.000001,1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.044052,23245001.453162,571.269156,0.000001,1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.044063,23239600.624287,571.136425,0.000001,1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.044083,23228803.979527,570.871087,0.000001,1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.044175,23180344.213732,569.680139,0.000001,1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.036772,6961848.868473,798.440523,0.000977,1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.036669,6981290.091115,800.670198,0.000977,1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.036782,6959910.699858,798.218238,0.000977,1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.036772,6961848.868473,798.440523,0.000977,1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.036813,6954103.113992,797.552178,0.000977,1
1,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.038636,6626026.873827,759.925770,0.007812,1
2,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.038605,6631299.614310,760.530490,0.007812,1
3,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.038656,6622516.369382,759.523157,0.007812,1
4,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.038615,6629541.101986,760.328810,0.007812,1
5,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.037970,6742178.959482,773.247021,0.007812,1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.053606,4775549.144522,547.698180,0.000001,1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.053617,4774637.289332,547.593601,0.000001,1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.053760,4761904.826105,546.133341,0.000001,1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.053617,4774637.289332,547.593601,0.000001,1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,14,16384,256,1,16384,0.053780,4760091.444103,545.925368,0.000001,1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.044411,2882176.490237,708.323694,0.000977,1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,15,32768,128,1,32768,0.044349,2886169.376412,709.304986,0.000977,1
