trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.903136,2.089011,10.124480,30636.504120,16.062351,2007793933.999152,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.919392,2.089216,10.126464,30633.500886,16.060777,2007597114.077258,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.937184,2.089574,10.135840,30628.247517,16.058023,2007252829.306129,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.921088,2.089216,10.122752,30633.500886,16.060777,2007597114.077258,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.943616,2.176512,10.132096,29404.845879,15.416608,1927075979.514409,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.922624,2.176205,10.122688,29408.995181,15.418783,1927347908.190758,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.938592,2.176307,10.128512,29407.613024,15.418059,1927257327.150224,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.921088,2.181786,10.123392,29333.771606,15.379344,1922418055.984698,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.914976,2.182297,10.119520,29326.891010,15.375737,1921967129.205147,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.931648,2.181990,10.119104,29331.018339,15.377901,1922237617.877145,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,32,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.929696,2.021530,10.125440,31659.193929,16.598535,2074816933.357708,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,32,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.911776,2.021888,10.124256,31653.582909,16.595594,2074449209.539205,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix4,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,32,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.909056,2.021427,10.125568,31660.799577,16.599377,2074922161.096801,0.000000,-1
