trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.482240,0.088904,5.115264,11518082.368157,283.068392,47178065379.971977,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.465152,0.088893,5.104064,11519409.772597,283.101015,47183502428.558167,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.466848,0.088852,5.106176,11524720.518536,283.231531,47205255243.922935,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.447328,0.088740,5.107360,11539348.897692,283.591039,47265173084.944832,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,5,1,0,0,12,4096,1024,1,4096,20,100,5.453152,0.214016,5.099648,4784688.874560,117.588514,19598085630.196854,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,5,1,0,0,12,4096,1024,1,4096,20,100,5.447360,0.214057,5.100736,4783773.246308,117.566011,19594335216.876434,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,5,1,0,0,12,4096,1024,1,4096,20,100,5.449952,0.214180,5.102464,4781028.795621,117.498564,19583093946.863663,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,5,1,0,0,12,4096,1024,1,4096,20,100,5.462368,0.214190,5.100864,4780800.288965,117.492948,19582157983.601147,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,5,1,0,0,12,4096,1024,1,4096,20,100,5.447616,0.214282,5.100224,4778744.046934,117.442414,19573735616.243347,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,5,1,0,0,12,4096,1024,1,4096,20,100,5.449856,0.214149,5.100352,4781714.779396,117.515422,19585903736.408054,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,5,1,0,0,12,4096,1024,1,4096,20,100,5.448896,0.213914,5.099168,4786979.646126,117.644812,19607468630.531384,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,5,1,0,0,12,4096,1024,1,4096,20,100,5.449056,0.214098,5.100832,4782858.301315,117.543526,19590587602.186768,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,5,1,0,0,12,4096,1024,1,4096,20,100,5.449440,0.213914,5.102656,4786979.646126,117.644812,19607468630.531384,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,5,1,0,0,12,4096,1024,1,4096,20,100,5.449440,0.214139,5.098752,4781943.040724,117.521032,19586838694.804634,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.449856,0.212101,5.098208,4827885.942153,118.650125,19775020819.057648,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.449024,0.211825,5.102496,4834187.358687,118.804989,19800831421.180725,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.447520,0.211896,5.100000,4832551.839991,118.764794,19794132336.604145,0.000000,-1
