trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.465344,0.099994,5.226176,5243215490.216537,62.918586,41945723921.732300,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.457216,0.099953,5.421792,5245364301.611221,62.944372,41962914412.889771,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.629216,0.100454,5.208736,2609582124.079185,83.506628,41753313985.266960,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.480224,0.100813,5.179584,2600304717.313490,83.209751,41604875477.015846,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.464192,0.100844,5.840416,2599512617.878346,83.184404,41592201886.053543,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.489824,0.100700,5.184224,2603213280.688962,83.302825,41651412491.023399,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,4,16,262144,1,16,20,100,5.491264,0.100526,5.179360,2607721505.109588,83.447088,41723544081.753403,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.580064,0.099830,5.201664,2625910266.289442,84.029129,42014564260.631073,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.510336,0.099932,5.243200,2623219683.962332,83.943030,41971514943.397316,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.548224,0.099850,5.191808,2625371630.007089,84.011892,42005946080.113426,0.000000,-1
