suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,backend,stage_space,stage_handoff,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct,operator,precision,direction,normalization,placement,element_stride,batch_stride,library,library_version,plan_ms,transforms_s,Gbutterfly_s,points_s,max_abs_error,relative_l2_error,complex_multiply,local_exchange,fft_core,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,max_error
fft8_vkfft,fft-fp32-fwd-log8,quick,fft-library,VkFFT,0,1,16384,1,,Tesla V100-SXM2-16GB,7.0,,,,,,8,256,16384,,,,,,,5,20,,0.084121600,,,,,,,,-1,fft,fp32,forward,none,in-place,1,256,vkfft,10304,203.162694000,194765673.028472334,199.440049181,49860012295.288917542,0.000000000,0.000000000,,,,,,,,,,,,,,,
fwht20_hier,fwht-fp32-fwd-log20,quick,butterfly,cuButterfly-hierarchical-radix4,0,2,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,hierarchical,0,named-barrier,radix4,,20,1048576,4,,,,,,,5,20,2.763456,0.495206,2.612736,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,1048576,,,,8077.439778,84.698095,8469809492.405863,,,four-mul,shared,scalar,256,0,0,8,8,0,0,10,0,0,0,0.000000
fft14_cufft,fft-fp32-fwd-log14,quick,fft-library,cuFFT,1,3,256,1,,Tesla V100-SXM2-16GB,7.0,,,,,,14,16384,256,,,,,,,5,20,,0.133990392,,,,,,,,-1,fft,fp32,forward,none,in-place,1,16384,cufft,10900,1.837262000,1910584.751704943,219.121144004,31303020571.933788300,0.000000000,0.000000000,,,,,,,,,,,,,,,
fft20_cufft,fft-fp32-fwd-log20,quick,fft-library,cuFFT,1,3,4,1,,Tesla V100-SXM2-16GB,7.0,,,,,,20,1048576,4,,,,,,,5,20,,0.224512011,,,,,,,,-1,fft,fp32,forward,none,in-place,1,1048576,cufft,10900,1.836578000,17816.418754255,186.818691117,18681869111.661933899,0.000000000,0.000000000,,,,,,,,,,,,,,,
fwht15_warp,fwht-fp32-fwd-log15,quick,butterfly,cuButterfly-warp-register,0,1,128,1,0.000000,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,radix2,,15,32768,128,,,,,,,5,20,2.764192,0.069530,2.613664,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,32768,,,,1840942.550904,452.430041,60324005508.008324,,,four-mul,warp-register,scalar,256,0,0,8,8,0,0,0,0,0,0,0.000000
ntt16_60_r4,ntt-u60-natural-log16,quick,ntt,cuNTT-Hybrid2D-radix4,0,3,64,1,,Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,16,65536,64,1152921504606584833,60,8,4,256,0,5,20,5.463776,0.306074,5.111552,209100.029347,5881.595319,13703579523.301661,fused,shoup,natural,-1,ntt,uint64,forward,,,1,65536,,,,,,,,,,,,,,,,,,,,,,,
fft14_cufft,fft-fp32-fwd-log14,quick,fft-library,cuFFT,1,2,256,1,,Tesla V100-SXM2-16GB,7.0,,,,,,14,16384,256,,,,,,,5,20,,0.135731190,,,,,,,,-1,fft,fp32,forward,none,in-place,1,16384,cufft,10900,2.184934000,1886080.857055720,216.310841334,30901548762.000911713,0.000000000,0.000000000,,,,,,,,,,,,,,,
fft20_vkfft,fft-fp32-fwd-log20,quick,fft-library,VkFFT,0,3,4,1,,Tesla V100-SXM2-16GB,7.0,,,,,,20,1048576,4,,,,,,,5,20,,0.218060806,,,,,,,,-1,fft,fp32,forward,none,in-place,1,1048576,vkfft,10304,789.076747000,18343.507327858,192.345615398,19234561539.815769196,0.000000000,0.000000000,,,,,,,,,,,,,,,
fft14_cub,fft-fp32-fwd-log14,quick,butterfly,cuButterfly-cuFFTDx-direct,0,1,256,1,0.000095,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,auto,,14,16384,256,,,,,,,5,20,5.520672,0.134195,5.102496,,,,table,,,-1,fft,fp32,forward,none,in-place,1,16384,,,,1907668.918984,218.786733,31255247568.637020,,,four-mul,shared,cufftdx-direct,1024,0,0,8,8,0,0,0,0,0,0,0.000000
fwht20_online,fwht-fp32-fwd-log20,quick,butterfly,cuButterfly-online-radix4,0,2,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,online-reorder,0,named-barrier,radix4,,20,1048576,4,,,,,,,5,20,2.782368,0.372838,2.619168,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,1048576,,,,10728.508428,112.496565,11249656453.734543,,,four-mul,shared,scalar,256,0,0,8,8,0,0,10,1,0,0,0.000000
xor8_r2,xor-u32-fwd-log8,quick,butterfly,cuButterfly-radix2,0,2,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,radix2,,8,256,16384,,,,,,,5,20,2.776576,0.052634,2.629984,,,,table,,,-1,xor-zeta,uint32,forward,none,out-of-place,1,256,,,,311284033.846225,318.754851,79688712664.633499,,,four-mul,shared,scalar,128,0,0,8,8,0,0,0,0,0,0,0.000000
fwht8_warp,fwht-fp32-fwd-log8,quick,butterfly,cuButterfly-warp-register,0,1,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,radix2,,8,256,16384,,,,,,,5,20,2.762336,0.043110,2.592672,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,256,,,,380047502.074253,389.168642,97292160531.008713,,,four-mul,warp-register,scalar,32,0,0,8,8,0,0,0,0,0,0,0.000000
fwht15_online,fwht-fp32-fwd-log15,quick,butterfly,cuButterfly-online-radix4,0,1,128,1,0.000000,Tesla V100-SXM2-16GB,7.0,online-reorder,0,named-barrier,radix4,,15,32768,128,,,,,,,5,20,2.770592,0.370022,2.619968,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,32768,,,,345925.016255,85.014532,11335270932.656223,,,four-mul,shared,scalar,256,0,0,8,8,0,0,8,1,0,0,0.000000
fft8_cub,fft-fp32-fwd-log8,quick,butterfly,cuButterfly-cuFFTDx,0,1,16384,1,0.000008,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,auto,,8,256,16384,,,,,,,5,20,5.474208,0.084838,5.113152,,,,table,,,-1,fft,fp32,forward,none,in-place,1,256,,,,193120084.605901,197.754967,49438741659.110741,,,four-mul,shared,cufftdx-block,32,0,0,8,8,0,0,0,0,0,0,0.000000
fft14_cub,fft-fp32-fwd-log14,quick,butterfly,cuButterfly-cuFFTDx-direct,0,2,256,1,0.000095,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,auto,,14,16384,256,,,,,,,5,20,5.530560,0.133683,5.101536,,,,table,,,-1,fft,fp32,forward,none,in-place,1,16384,,,,1914975.038701,219.624657,31374951034.078346,,,four-mul,shared,cufftdx-direct,1024,0,0,8,8,0,0,0,0,0,0,0.000000
xor20_hier,xor-u32-fwd-log20,quick,butterfly,cuButterfly-hierarchical-radix4,0,3,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,hierarchical,0,named-barrier,radix4,,20,1048576,4,,,,,,,5,20,2.779968,0.493773,2.630144,,,,table,,,-1,xor-zeta,uint32,forward,none,out-of-place,1,1048576,,,,8100.891668,84.944006,8494400582.132614,,,four-mul,shared,scalar,256,0,0,8,8,0,0,10,0,0,0,0.000000
fft20_cufft,fft-fp32-fwd-log20,quick,fft-library,cuFFT,1,2,4,1,,Tesla V100-SXM2-16GB,7.0,,,,,,20,1048576,4,,,,,,,5,20,,0.223948792,,,,,,,,-1,fft,fp32,forward,none,in-place,1,1048576,cufft,10900,2.257087000,17861.226091059,187.288530097,18728853009.658626556,0.000000000,0.000000000,,,,,,,,,,,,,,,
fft8_vkfft,fft-fp32-fwd-log8,quick,fft-library,VkFFT,0,2,16384,1,,Tesla V100-SXM2-16GB,7.0,,,,,,8,256,16384,,,,,,,5,20,,0.084377602,,,,,,,,-1,fft,fp32,forward,none,in-place,1,256,vkfft,10304,203.665097000,194174753.271046191,198.834947350,49708736837.387825012,0.000000000,0.000000000,,,,,,,,,,,,,,,
fwht8_shared,fwht-fp32-fwd-log8,quick,butterfly,cuButterfly-shared-radix4,0,2,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,radix4,,8,256,16384,,,,,,,5,20,2.777920,0.051405,2.606016,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,256,,,,318725121.050057,326.374524,81593630988.814590,,,four-mul,shared,scalar,128,0,0,8,8,0,0,0,0,0,0,0.000000
ntt16_60_r2,ntt-u60-natural-log16,quick,ntt,cuNTT-Hybrid2D-radix2,0,2,64,1,,Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,16,65536,64,1152921504606584833,60,8,4,256,0,5,20,5.489440,0.332339,5.110720,192574.335201,5854.105098,12620551631.731579,fused,shoup,natural,-1,ntt,uint64,forward,,,1,65536,,,,,,,,,,,,,,,,,,,,,,,
ntt20_60_compact,ntt-u60-bitrev-log20,quick,ntt,cuNTT-compact-stage,0,3,4,1,,Tesla V100-SXM2-16GB,7.0,compact-stage,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,0,0,256,0,5,20,5.480064,0.349850,5.117504,11433.484184,365.382972,11988877111.418558,fused,shoup,bit-reversed,-1,ntt,uint64,forward,,,1,1048576,,,,,,,,,,,,,,,,,,,,,,,
fft18_cub,fft-fp32-fwd-log18,quick,butterfly,cuButterfly-cuFFTDx-online,0,1,16,1,0.000512,Tesla V100-SXM2-16GB,7.0,online-reorder,0,named-barrier,auto,,18,262144,16,,,,,,,5,20,5.479520,0.212122,5.114976,,,,recurrence,,,-1,fft,fp32,forward,none,in-place,1,262144,,,,75428.431414,177.957997,19773110724.557930,,,four-mul,shared,cufftdx-block,128,256,256,8,8,4,4,9,1,0,0,0.000000
fft14_vkfft,fft-fp32-fwd-log14,quick,fft-library,VkFFT,0,3,256,1,,Tesla V100-SXM2-16GB,7.0,,,,,,14,16384,256,,,,,,,5,20,,0.173721597,,,,,,,,-1,fft,fp32,forward,none,in-place,1,16384,vkfft,10304,367.806375000,1473622.192130060,169.006781971,24143825995.858901978,0.000000000,0.000000000,,,,,,,,,,,,,,,
ntt12_30_hybrid,ntt-u30-natural-log12,quick,ntt,cuNTT-Hybrid2D-radix4,0,3,1024,1,,Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.827872,0.157901,2.629312,6485084.497463,182365.898897,26562906101.608421,fused,shoup,natural,-1,ntt,uint32,forward,,,1,4096,,,,,,,,,,,,,,,,,,,,,,,
fwht8_warp,fwht-fp32-fwd-log8,quick,butterfly,cuButterfly-warp-register,0,2,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,radix2,,8,256,16384,,,,,,,5,20,2.768416,0.043315,2.619040,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,256,,,,378250606.102258,387.328621,96832155162.178101,,,four-mul,warp-register,scalar,32,0,0,8,8,0,0,0,0,0,0,0.000000
fwht8_shared,fwht-fp32-fwd-log8,quick,butterfly,cuButterfly-shared-radix4,0,3,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,radix4,,8,256,16384,,,,,,,5,20,2.766592,0.051558,2.596448,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,256,,,,317775585.115196,325.402199,81350549789.490280,,,four-mul,shared,scalar,128,0,0,8,8,0,0,0,0,0,0,0.000000
xor20_online,xor-u32-fwd-log20,quick,butterfly,cuButterfly-online-radix4,0,1,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,online-reorder,0,named-barrier,radix4,,20,1048576,4,,,,,,,5,20,2.771968,0.372480,2.602112,,,,table,,,-1,xor-zeta,uint32,forward,none,out-of-place,1,1048576,,,,10738.831470,112.604809,11260480947.718960,,,four-mul,shared,scalar,256,0,0,8,8,0,0,10,1,0,0,0.000000
fft8_cufft,fft-fp32-fwd-log8,quick,fft-library,cuFFT,1,1,16384,1,,Tesla V100-SXM2-16GB,7.0,,,,,,8,256,16384,,,,,,,5,20,,0.084224001,,,,,,,,-1,fft,fp32,forward,none,in-place,1,256,cufft,10900,1.811585000,194528874.056138039,199.197567033,49799391758.371337891,0.000000000,0.000000000,,,,,,,,,,,,,,,
ntt12_30_r2,ntt-u30-natural-log12,quick,ntt,cuNTT-Hybrid2D-radix2,1,3,1024,1,,Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.836928,0.184627,2.643360,5546311.548506,180761.759148,22717692102.681152,fused,shoup,natural,-1,ntt,uint32,forward,,,1,4096,,,,,,,,,,,,,,,,,,,,,,,
ntt12_30_r2,ntt-u30-natural-log12,quick,ntt,cuNTT-Hybrid2D-radix2,1,2,1024,1,,Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.816288,0.184422,2.618624,5552470.741925,182227.988689,22742920158.923393,fused,shoup,natural,-1,ntt,uint32,forward,,,1,4096,,,,,,,,,,,,,,,,,,,,,,,
ntt16_60_r2,ntt-u60-natural-log16,quick,ntt,cuNTT-Hybrid2D-radix2,0,3,64,1,,Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,16,65536,64,1152921504606584833,60,8,4,256,0,5,20,5.462944,0.332032,5.104736,192752.508651,5871.714842,12632228406.984022,fused,shoup,natural,-1,ntt,uint64,forward,,,1,65536,,,,,,,,,,,,,,,,,,,,,,,
xor8_r4,xor-u32-fwd-log8,quick,butterfly,cuButterfly-radix4,0,1,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,radix4,,8,256,16384,,,,,,,5,20,2.774880,0.050278,2.625216,,,,table,,,-1,xor-zeta,uint32,forward,none,out-of-place,1,256,,,,325865561.879793,333.686335,83421583841.227066,,,four-mul,shared,scalar,128,0,0,8,8,0,0,0,0,0,0,0.000000
fft14_cub,fft-fp32-fwd-log14,quick,butterfly,cuButterfly-cuFFTDx-direct,0,3,256,1,0.000095,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,auto,,14,16384,256,,,,,,,5,20,5.541024,0.132608,5.107776,,,,table,,,-1,fft,fp32,forward,none,in-place,1,16384,,,,1930501.981982,221.405411,31629344472.795444,,,four-mul,shared,cufftdx-direct,1024,0,0,8,8,0,0,0,0,0,0,0.000000
fwht8_shared,fwht-fp32-fwd-log8,quick,butterfly,cuButterfly-shared-radix4,0,1,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,radix4,,8,256,16384,,,,,,,5,20,2.769504,0.051456,2.625088,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,256,,,,318407979.192353,326.049771,81512442673.242294,,,four-mul,shared,scalar,128,0,0,8,8,0,0,0,0,0,0,0.000000
fft18_cufft,fft-fp32-fwd-log18,quick,fft-library,cuFFT,1,1,16,1,,Tesla V100-SXM2-16GB,7.0,,,,,,18,262144,16,,,,,,,5,20,,0.226150393,,,,,,,,-1,fft,fp32,forward,none,in-place,1,262144,cufft,10900,1.948990000,70749.379443325,166.918727923,18546525324.791114807,0.000000000,0.000000000,,,,,,,,,,,,,,,
