search_stage,trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
coarse,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,512,512,9,1,0,0,18,262144,16,1,262144,20,100,5.494624,0.282143,5.112544,56708.886602,133.793049,14865894369.495157,0.000000,-1
coarse,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,512,9,1,0,0,18,262144,16,1,262144,20,100,5.491936,0.250788,5.116480,63798.942941,150.520591,16724510098.263063,0.000000,-1
fine,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,20,100,5.503104,0.211968,5.111584,75483.090112,178.086953,19787439174.447792,0.000000,-1
