trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,8,1,0,0,12,4096,1024,1,4096,10,30,2.788704,0.576853,2.607680,1775147.924162,43.626035,7271005897.365704,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,8,1,0,0,12,4096,1024,1,4096,10,30,2.767968,0.573372,2.602272,1785926.788087,43.890937,7315156124.004557,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,8,1,0,0,12,4096,1024,1,4096,10,30,2.764640,0.572314,2.599296,1789228.821301,43.972088,7328681252.047293,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,12,4096,1024,1,4096,10,30,2.770656,0.754586,2.605248,1357036.297364,33.350524,5558420674.002249,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,8,2,0,0,12,4096,1024,1,4096,10,30,2.766688,0.362257,2.597920,2826721.970362,69.469519,11578253190.602640,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,8,2,0,0,12,4096,1024,1,4096,10,30,2.798848,0.358844,2.602080,2853609.733175,70.130313,11688385467.086815,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,8,2,0,0,12,4096,1024,1,4096,10,30,2.780064,0.357956,2.603104,2860684.468763,70.304182,11717363584.052645,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,2,0,0,12,4096,1024,1,4096,10,30,2.771200,0.447010,2.603008,2290775.828077,56.298107,9383017791.805161,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,8,4,0,0,12,4096,1024,1,4096,10,30,2.788544,0.255625,2.606944,4005875.293681,98.448391,16408065202.917084,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,8,4,0,0,12,4096,1024,1,4096,10,30,2.770016,0.251665,2.609056,4068900.217160,99.997292,16666215289.485983,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,8,4,0,0,12,4096,1024,1,4096,10,30,2.768640,0.250709,2.602336,4084411.298595,100.378492,16729748679.044018,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,4,0,0,12,4096,1024,1,4096,10,30,2.771168,0.306586,2.600672,3340013.252060,82.084166,13680694280.439213,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,8,8,0,0,12,4096,1024,1,4096,10,30,2.768832,0.239718,2.597920,4271678.638025,104.980774,17496795701.351692,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,8,8,0,0,12,4096,1024,1,4096,10,30,2.783104,0.235042,2.603552,4356665.853230,107.069420,17844903334.830959,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,8,8,0,0,12,4096,1024,1,4096,10,30,2.769088,0.232994,2.625824,4394960.615877,108.010552,18001758682.633526,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,8,0,0,12,4096,1024,1,4096,10,30,2.790176,0.245965,2.620256,4163197.414242,102.314740,17052456608.735825,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,8,16,0,0,12,4096,1024,1,4096,10,30,2.762784,0.241937,2.592128,4232505.566046,104.018057,17336342798.523933,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,8,16,0,0,12,4096,1024,1,4096,10,30,2.790944,0.235827,2.631872,4342162.257578,106.712980,17785496607.037895,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,8,16,0,0,12,4096,1024,1,4096,10,30,2.778784,0.233540,2.601728,4384682.839668,107.757965,17959660911.279301,0.000000,-1
