rank,operator,precision,direction,normalization,placement,stage_matrices,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,temporal-tile,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,0,0,0,0,named-barrier,3,0.060047,0.060037,0.060099,349.249669,1.000000
2,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,temporal-tile,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,0,0,0,0,named-barrier,3,0.060918,0.060918,0.060928,344.259554,1.014505
3,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,temporal-tile,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,0,0,0,0,named-barrier,3,0.061051,0.061030,0.061051,343.508886,1.016720
4,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,temporal-tile,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,0,0,0,0,named-barrier,3,0.061327,0.061245,0.061338,341.960257,1.021317
5,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,temporal-tile,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,0,0,0,0,named-barrier,3,0.068618,0.068608,0.068628,305.626035,1.142738
6,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,temporal-tile,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,0,0,0,0,named-barrier,3,0.069929,0.069908,0.070001,299.897500,1.164571
