trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,9,0,0,0,18,262144,16,1,262144,50,100,2.779808,0.439910,2.601632,36371.044316,85.810059,9534451041.192152,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,9,0,0,0,18,262144,16,1,262144,50,100,2.791072,0.439931,2.604992,36369.349159,85.806060,9534006666.020035,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,9,0,0,0,18,262144,16,1,262144,50,100,2.801248,0.439880,2.598176,36373.582419,85.816048,9535116389.597147,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,9,0,0,0,18,262144,16,1,262144,50,100,2.785312,0.439900,2.600992,36371.889490,85.812053,9534672598.358332,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,9,0,0,0,18,262144,16,1,262144,50,100,2.799008,0.439859,2.594432,36375.275506,85.820042,9535560222.150402,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,1,0,0,18,262144,16,1,262144,50,100,2.777440,0.313876,2.589120,50975.466550,120.266214,13362912703.161913,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,1,0,0,18,262144,16,1,262144,50,100,2.772928,0.313846,2.603456,50980.457161,120.277989,13364220961.911386,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,1,0,0,18,262144,16,1,262144,50,100,2.761824,0.313876,2.591584,50975.466550,120.266214,13362912703.161913,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,1,0,0,18,262144,16,1,262144,50,100,2.769760,0.313856,2.585440,50978.791901,120.274060,13363784424.212107,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,1,0,0,18,262144,16,1,262144,50,100,2.793344,0.313836,2.592384,50982.117687,120.281906,13364656259.002050,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,18,262144,16,1,262144,50,100,2.807712,0.400783,2.623136,39921.817113,94.187383,10465264825.250456,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,18,262144,16,1,262144,50,100,2.764576,0.400804,2.593184,39919.777793,94.182572,10464730229.871113,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,18,262144,16,1,262144,50,100,2.777280,0.400763,2.589632,39923.859610,94.192202,10465800253.531210,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,18,262144,16,1,262144,50,100,2.769632,0.400845,2.595616,39915.696812,94.172944,10463660424.987137,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,18,262144,16,1,262144,50,100,2.786464,0.400886,2.601312,39911.619631,94.163325,10462591616.613588,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,18,262144,16,1,262144,50,100,2.774464,0.316088,2.590848,50618.763957,119.424647,13269405258.614517,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,18,262144,16,1,262144,50,100,2.792224,0.315996,2.591456,50633.529852,119.459484,13273276049.488682,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,18,262144,16,1,262144,50,100,2.769728,0.315935,2.592672,50643.373792,119.482709,13275856579.262541,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,18,262144,16,1,262144,50,100,2.769600,0.315955,2.594624,50640.092053,119.474967,13274996291.190741,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,18,262144,16,1,262144,50,100,2.777056,0.316006,2.596512,50631.887180,119.455609,13272845432.846682,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,4,0,0,18,262144,16,1,262144,50,100,2.763136,0.319621,2.594240,50059.270814,118.104637,13122737488.381079,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,4,0,0,18,262144,16,1,262144,50,100,2.802016,0.319621,2.601312,50059.270814,118.104637,13122737488.381079,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,4,0,0,18,262144,16,1,262144,50,100,2.798464,0.319703,2.601120,50046.442707,118.074372,13119374676.911036,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,4,0,0,18,262144,16,1,262144,50,100,2.794656,0.319611,2.591168,50060.871873,118.108415,13123157196.234892,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,4,0,0,18,262144,16,1,262144,50,100,2.783840,0.319570,2.609664,50067.291138,118.123560,13124839968.129030,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,9,0,0,0,18,262144,16,1,262144,50,100,5.467264,0.896051,5.101376,17856.123136,42.127880,4680875543.406599,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,9,0,0,0,18,262144,16,1,262144,50,100,5.461632,0.896266,5.099520,17851.838669,42.117772,4679752396.157387,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,9,0,0,0,18,262144,16,1,262144,50,100,5.453440,0.896266,5.096608,17851.838669,42.117772,4679752396.157387,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,9,0,0,0,18,262144,16,1,262144,50,100,5.474880,0.896276,5.104288,17851.634472,42.117290,4679698867.120516,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,9,0,0,0,18,262144,16,1,262144,50,100,5.497472,0.900567,5.104800,17766.584925,41.916633,4657403638.615297,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,1,0,0,18,262144,16,1,262144,50,100,5.487424,0.466545,5.100800,34294.680536,80.911303,8990144734.416330,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,1,0,0,18,262144,16,1,262144,50,100,5.504288,0.466432,5.104384,34302.963396,80.930844,8992316036.499716,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,1,0,0,18,262144,16,1,262144,50,100,5.501888,0.466565,5.104704,34293.175589,80.907752,8989750221.479103,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,1,0,0,18,262144,16,1,262144,50,100,5.479296,0.466565,5.095936,34293.175589,80.907752,8989750221.479103,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,1,0,0,18,262144,16,1,262144,50,100,5.465984,0.466688,5.098240,34284.146488,80.886450,8987383296.855555,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,18,262144,16,1,262144,50,100,5.502464,0.812411,5.110592,19694.467635,46.465079,5162786523.636806,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,18,262144,16,1,262144,50,100,5.485280,0.811981,5.104096,19704.898369,46.489688,5165520878.169195,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,18,262144,16,1,262144,50,100,5.509280,0.812104,5.109952,19701.919098,46.482659,5164739880.038501,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,18,262144,16,1,262144,50,100,5.469024,0.812339,5.095776,19696.206046,46.469180,5163242237.767550,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,18,262144,16,1,262144,50,100,5.475328,0.812001,5.099904,19704.402244,46.488517,5165390821.799499,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,18,262144,16,1,262144,50,100,5.512768,0.472422,5.115008,33867.994594,79.904624,8878291574.968397,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,18,262144,16,1,262144,50,100,5.502400,0.472381,5.109152,33870.932579,79.911556,8879061749.905918,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,18,262144,16,1,262144,50,100,5.477600,0.472494,5.099104,33862.857018,79.892503,8876944790.165880,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,18,262144,16,1,262144,50,100,5.496864,0.472351,5.096992,33873.135867,79.916754,8879639328.742304,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,18,262144,16,1,262144,50,100,5.518272,0.472412,5.161088,33868.731714,79.906363,8878484806.305212,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,4,0,0,18,262144,16,1,262144,50,100,5.512864,0.446853,5.183360,35805.950446,84.476836,9386315073.643139,0.000000,-1
