rank,operator,precision,direction,normalization,placement,stage_matrices,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
23,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.421908,0.421888,0.421970,59.647587,2.930853
24,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.427684,0.427643,0.427745,58.842122,2.970977
25,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.494572,0.494551,0.494572,50.884093,3.435625
26,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.496087,0.496005,0.496108,50.728646,3.446149
27,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.503194,0.503173,0.503194,50.012208,3.495519
28,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.690094,0.690074,0.690156,36.467238,4.793851
29,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.767467,0.767386,0.767488,32.790736,5.331335
30,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.850145,0.850084,0.850166,29.601792,5.905671
31,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,1.551852,1.551811,1.558794,16.216644,10.780194
32,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,1.551974,1.551933,1.552241,16.215361,10.781041
33,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,1.557791,1.555804,1.783460,16.154818,10.821450
34,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,1.996616,1.996554,1.999401,12.604240,13.869820
35,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,2.150892,2.150830,2.151035,11.700183,14.941523
36,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,2.156872,2.156831,2.156954,11.667743,14.983064
1,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.314184,0.314143,0.314184,106.798774,1.000000
2,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.314860,0.314819,0.314880,106.569537,1.002152
3,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.315085,0.315023,0.315105,106.493333,1.002868
4,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.316662,0.316539,0.316662,105.963011,1.007887
5,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.317686,0.317624,0.317706,105.621457,1.011146
6,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.318976,0.318833,0.319037,105.194217,1.015252
7,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.319918,0.319898,0.319959,104.884455,1.018250
8,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.320348,0.320287,0.320492,104.743635,1.019619
9,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.320573,0.320553,0.320696,104.670038,1.020335
10,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.320635,0.320594,0.320655,104.649977,1.020533
11,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.325448,0.325427,0.325591,103.102385,1.035852
12,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.328356,0.328274,0.328458,102.189241,1.045107
13,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.333312,0.333189,0.333496,100.669737,1.060882
14,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.333373,0.333292,0.333537,100.651180,1.061076
15,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.334971,0.334889,0.335012,100.171188,1.066162
16,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.337879,0.337797,0.338186,99.309010,1.075418
17,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.339026,0.338944,0.339087,98.973059,1.079068
18,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.341033,0.340910,0.341053,98.390586,1.085456
19,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.344863,0.344781,0.344965,97.297945,1.097647
20,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.358994,0.358830,0.359158,93.467968,1.142623
21,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.361062,0.360940,0.361329,92.932499,1.149206
