rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,stage_space,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix4,four-mul,0,256,10,1,0,0,named-barrier,3,0.674355,0.671744,0.675123,62.197251,1.000000
2,fft,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix4,gauss3,0,256,10,1,0,0,named-barrier,3,0.674406,0.674048,0.674458,62.192529,1.000076
3,fft,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix8,four-mul,0,256,10,1,0,0,named-barrier,3,0.689306,0.688691,0.689715,60.848250,1.022171
4,fft,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix8,gauss3,0,256,10,1,0,0,named-barrier,3,0.689357,0.689101,0.689869,60.843731,1.022246
5,fft,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix8,gauss3,0,128,10,1,0,0,named-barrier,3,0.706867,0.706099,0.707584,59.336519,1.048212
6,fft,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix8,four-mul,0,128,10,1,0,0,named-barrier,3,0.707328,0.706560,0.707379,59.297868,1.048896
7,fft,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix4,gauss3,0,128,10,1,0,0,named-barrier,3,0.729395,0.728986,0.729498,57.503860,1.081619
8,fft,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix4,four-mul,0,128,10,1,0,0,named-barrier,3,0.729600,0.729446,0.729856,57.487718,1.081923
9,fft,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix2,gauss3,0,256,10,1,0,0,named-barrier,3,0.824064,0.821043,0.824166,50.897797,1.222003
10,fft,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix2,four-mul,0,256,10,1,0,0,named-barrier,3,0.826112,0.825754,0.828211,50.771616,1.225040
11,fft,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix2,gauss3,0,128,10,1,0,0,named-barrier,3,0.831130,0.829901,0.832563,50.465098,1.232481
12,fft,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix2,four-mul,0,128,10,1,0,0,named-barrier,3,0.832000,0.829389,0.832256,50.412310,1.233772
1,fwht,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix4,four-mul,0,256,10,1,0,0,named-barrier,3,0.372787,0.372736,0.372992,112.512024,1.000000
2,fwht,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix8,four-mul,0,256,10,1,0,0,named-barrier,3,0.373094,0.372941,0.373248,112.419383,1.000824
3,fwht,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix2,four-mul,0,256,10,1,0,0,named-barrier,3,0.377037,0.376986,0.377088,111.243886,1.011401
4,fwht,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix8,four-mul,0,128,10,1,0,0,named-barrier,3,0.380467,0.380365,0.380621,110.240881,1.020602
5,fwht,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix4,four-mul,0,128,10,1,0,0,named-barrier,3,0.380723,0.380723,0.381133,110.166763,1.021288
6,fwht,fp32,forward,inverse,out-of-place,20,1048576,4,1,1048576,online-reorder,radix2,four-mul,0,128,10,1,0,0,named-barrier,3,0.387891,0.387789,0.388045,108.130939,1.040516
1,xor-zeta,uint32,forward,none,out-of-place,20,1048576,4,1,1048576,online-reorder,radix4,four-mul,0,256,10,1,0,0,named-barrier,3,0.372634,0.372634,0.372634,112.558393,1.000000
2,xor-zeta,uint32,forward,none,out-of-place,20,1048576,4,1,1048576,online-reorder,radix8,four-mul,0,256,10,1,0,0,named-barrier,3,0.373299,0.373146,0.373350,112.357707,1.001785
3,xor-zeta,uint32,forward,none,out-of-place,20,1048576,4,1,1048576,online-reorder,radix2,four-mul,0,256,10,1,0,0,named-barrier,3,0.378317,0.378317,0.378419,110.867500,1.015251
4,xor-zeta,uint32,forward,none,out-of-place,20,1048576,4,1,1048576,online-reorder,radix4,four-mul,0,128,10,1,0,0,named-barrier,3,0.380621,0.380518,0.380672,110.196401,1.021434
5,xor-zeta,uint32,forward,none,out-of-place,20,1048576,4,1,1048576,online-reorder,radix8,four-mul,0,128,10,1,0,0,named-barrier,3,0.380928,0.380621,0.380928,110.107533,1.022258
6,xor-zeta,uint32,forward,none,out-of-place,20,1048576,4,1,1048576,online-reorder,radix2,four-mul,0,128,10,1,0,0,named-barrier,3,0.387072,0.386918,0.387226,108.359789,1.038746
