rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
79,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,128,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.678656,0.678554,0.679219,49.442476,1.971886
80,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.679629,0.679322,0.679731,49.371705,1.974713
81,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.680806,0.680397,0.683213,49.286305,1.978133
82,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,32,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.682035,0.680960,0.682650,49.197507,1.981704
83,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.682138,0.681984,0.682138,49.190122,1.982003
84,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,8,2,0,0,named-barrier,3,0.683878,0.682650,0.689050,49.064908,1.987059
85,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,10,2,0,0,named-barrier,3,0.686234,0.683776,0.701696,48.896513,1.993904
86,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix8,gauss3,table,shared,scalar,0,32,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.686797,0.682291,0.690944,48.856420,1.995540
87,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.690432,0.689459,0.690637,48.599188,2.006102
88,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix2,gauss3,table,shared,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.690995,0.690944,0.692070,48.559572,2.007738
