operator,precision,accumulation,logN,batch,base_mapping,base_ms,searched_mapping,searched_ms,searched_speedup_vs_base
structured-2x2,fp16,fp32,15,1,online-r2-t256,0.009523,online-r4-t256,0.009062,1.0508717722357095
structured-2x2,fp16,native,8,1,temporal-r2-t128,0.003123,temporal-r4-t128,0.002755,1.1335753176043557
structured-2x2,fp16,native,15,7,online-r2-t256,0.026778,hier-r4-t256,0.023511,1.13895623325252
structured-2x2,fp16,native,15,8,online-r2-t256,0.029256,hier-r4-t256,0.024136,1.2121312562147828
structured-2x2,fp32,native,20,1,online-r2-t256,0.100352,online-r4-t256,0.095857,1.046892767351367
structured-2x2,fp32,native,20,2,online-r2-t256,0.178954,online-r4-t256,0.17408,1.0279986213235293
structured-2x2,fp64,native,8,801,temporal-r2-t128,0.007711,temporal-r4-t128,0.00597,1.2916247906197655
structured-2x2,fp64,native,15,4,online-r2-t256,0.019692,online-r4-t256,0.018657,1.055475156777617
structured-2x2,fp64,native,15,5,online-r2-t256,0.022692,online-r4-t256,0.021514,1.0547550432276658
structured-2x2,fp64,native,15,6,online-r2-t256,0.025774,online-r4-t256,0.024453,1.0540220013904225
structured-2x2,fp64,native,15,7,online-r2-t256,0.028795,online-r4-t256,0.027249,1.0567360270101656
structured-2x2,fp64,native,20,1,online-r2-t256,0.117873,online-r4-t256,0.107366,1.0978615204068327
structured-2x2,fp64,native,20,2,online-r2-t256,0.209838,online-r4-t256,0.192932,1.087626728588311
subset-zeta,uint32,native,8,1279,temporal-r2-t128,0.005253,temporal-r4-t128,0.004731,1.1103360811667724
subset-zeta,uint32,native,15,9,online-r2-t256,0.028733,hier-r4-t256,0.024596,1.1681980809887786
